window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2017-01,2017-12,0,0.0,0.0,0.0,0.0,0,0,False
2017-07,2018-06,16,160.0,-42.9,-26.81,50.0,1,1,False
2018-01,2018-12,19,190.0,-72.9,-38.37,80.0,1,2,False
2018-07,2019-06,17,170.0,-45.4,-26.71,66.3,1,2,False
2019-01,2019-12,45,450.0,-129.5,-28.78,188.1,2,5,False
2019-07,2020-06,31,310.0,-114.1,-36.81,151.7,1,4,False
2020-01,2020-12,0,0.0,0.0,0.0,0.0,0,0,False
2020-07,2021-06,17,170.0,10.3,6.06,44.2,1,1,False
2021-01,2021-12,27,270.0,32.3,11.96,77.1,2,2,False
2021-07,2022-06,17,170.0,54.8,32.24,60.0,2,1,False
2022-01,2022-12,14,140.0,20.9,14.93,50.0,2,1,False
2022-07,2023-06,15,150.0,15.3,10.2,40.0,2,1,False
2023-01,2023-12,8,80.0,27.2,34.0,40.0,1,0,False
2023-07,2024-06,15,150.0,-30.0,-20.0,50.0,1,1,False
2024-01,2024-12,25,250.0,-9.9,-3.96,66.0,2,1,False
2024-07,2025-06,24,240.0,44.8,18.67,80.3,2,1,False
2025-01,2025-12,45,450.0,-134.5,-29.89,174.3,1,4,False
