date,month,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_probability,market_prob_bucket,favorite_relation,odds_source,won,unit_profit,rule_label,league_prior_matches,league_draw_rate,form_points_diff,form_goal_diff_delta,season_points_per_match_delta,season_goal_diff_per_match_delta,rest_days_delta,lambda_total,lambda_diff,bet_date,season,log_odds,is_draw,is_home,league_prior_matches_scaled,abs_form_points_diff,abs_form_goal_diff_delta,abs_season_points_per_match_delta,abs_season_goal_diff_per_match_delta,predicted_probability,predicted_ev
2017-04-02,2017-04,USA,Minnesota United,Real Salt Lake,home,home,2.7,"[2.2,2.8)",0.3471529121084543,"[0.34,0.42)",market_non_favorite,AVG_CLOSE,True,1.7000000000000002,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1768,0.257919,-0.15,-2.0,-1.217391,-3.119565,0.0,2.39344,0.247524,2017-04-02,2017,0.9932517730102834,0.0,1.0,1.768,0.15,2.0,1.217391,3.119565,0.38003032215688487,0.026081869823589177
2017-04-09,2017-04,USA,Orlando City,New York Red Bulls,home,home,2.56,"[2.2,2.8)",0.3663888248278589,"[0.34,0.42)",market_favorite,AVG_CLOSE,True,1.56,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1777,0.257175,1.0,1.4,-0.344626,-0.553373,1.0,2.371856,0.074845,2017-04-09,2017,0.9400072584914712,0.0,1.0,1.777,1.0,1.4,0.344626,0.553373,0.4000215943978306,0.02405528165844628
2017-04-15,2017-04,USA,Vancouver Whitecaps,Seattle Sounders,home,home,2.71,"[2.2,2.8)",0.34609298751998674,"[0.34,0.42)",market_non_favorite,AVG_CLOSE,True,1.71,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1784,0.257287,-0.4,-1.0,-0.265263,-0.257327,0.0,2.363137,0.005097,2017-04-15,2017,0.9969486348916096,0.0,1.0,1.784,0.4,1.0,0.265263,0.257327,0.3801169706434412,0.03011699044372551
2017-04-30,2017-04,USA,Minnesota United,San Jose Earthquakes,home,away,2.48,"[2.2,2.8)",0.37767268036975177,"[0.34,0.42)",market_favorite,AVG_CLOSE,False,-1.0,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1810,0.256354,0.8,0.2,-0.355556,-1.363889,-1.0,2.401681,0.313447,2017-04-30,2017,0.9082585601768908,0.0,1.0,1.81,0.8,0.2,0.355556,1.363889,0.4120696754795863,0.021932795189373966
2017-05-07,2017-05,USA,Minnesota United,Sporting Kansas City,home,home,3.32,"[2.8,3.5)",0.2821495319794493,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,True,2.32,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1823,0.256171,-1.0,-1.4,-0.687831,-1.592593,4.0,2.365872,0.026976,2017-05-07,2017,1.199964782928397,0.0,1.0,1.823,1.0,1.4,0.687831,1.592593,0.31433498565777507,0.0435921523838132
2017-05-13,2017-05,USA,Colorado Rapids,San Jose Earthquakes,home,home,2.3,"[2.2,2.8)",0.40778465487271964,"[0.34,0.42)",market_favorite,AVG_CLOSE,True,1.2999999999999998,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1832,0.255459,-1.6,-1.8,-0.160512,-0.185852,1.0,2.391098,0.228784,2017-05-13,2017,0.8329091229351039,0.0,1.0,1.832,1.6,1.8,0.160512,0.185852,0.44392620613877576,0.021030274119184122
2017-05-28,2017-05,USA,Colorado Rapids,Sporting Kansas City,home,home,2.65,"[2.2,2.8)",0.35296197757047115,"[0.34,0.42)",market_favorite,AVG_CLOSE,True,1.65,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1862,0.254028,-0.8,-1.0,-0.355089,-0.426124,0.0,2.369063,0.052505,2017-05-28,2017,0.9745596399981308,0.0,1.0,1.862,0.8,1.0,0.355089,0.426124,0.3884459043799524,0.029381646606873923
2017-06-04,2017-06,USA,Colorado Rapids,Columbus Crew,home,home,2.37,"[2.2,2.8)",0.39479709409537006,"[0.34,0.42)",market_favorite,AVG_CLOSE,True,1.37,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1878,0.252929,0.0,0.4,-0.145332,-0.160706,4.0,2.389862,0.218899,2017-06-04,2017,0.8628899551470398,0.0,1.0,1.878,0.0,0.4,0.145332,0.160706,0.43387285219892335,0.028278659711448384
2017-06-05,2017-06,USA,Orlando City,Chicago Fire,home,draw,2.25,"[2.2,2.8)",0.41700960219478733,"[0.34,0.42)",market_favorite,AVG_CLOSE,False,-1.0,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1883,0.252788,-1.6,-2.0,0.083378,-0.0171,-6.0,2.400223,0.301787,2017-06-05,2017,0.8109302162163288,0.0,1.0,1.883,1.6,2.0,0.083378,0.0171,0.45430678461298596,0.02219026537921831
2017-06-18,2017-06,USA,San Jose Earthquakes,Sporting Kansas City,home,draw,2.66,"[2.2,2.8)",0.3521022660462616,"[0.34,0.42)",market_favorite,AVG_CLOSE,False,-1.0,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1889,0.253044,-0.6,-1.8,-0.202936,-0.276492,8.0,2.372351,0.078806,2017-06-18,2017,0.9783261227936078,0.0,1.0,1.889,0.6,1.8,0.202936,0.276492,0.39168140934840023,0.04187254886674463
2017-06-22,2017-06,USA,Minnesota United,Portland Timbers,home,home,3.03,"[2.8,3.5)",0.30929063311649635,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,True,2.03,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1899,0.253818,-0.6,-0.8,-0.490136,-1.066327,0.0,2.374144,0.09315,2017-06-22,2017,1.1085626195212777,0.0,1.0,1.899,0.6,0.8,0.490136,1.066327,0.34400150141814234,0.04232454929697127
2017-06-25,2017-06,USA,Los Angeles Galaxy,Sporting Kansas City,home,away,3.3,"[2.8,3.5)",0.2837311935807423,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1906,0.253935,1.2,1.0,0.035684,0.231341,-4.0,2.408364,0.36691,2017-06-25,2017,1.1939224684724346,0.0,1.0,1.906,1.2,1.0,0.035684,0.231341,0.32034982843583354,0.057154433838250585
2017-06-30,2017-06,USA,New York City,Minnesota United,draw,home,5.89,"[5.0,7.0)",0.15971696368090946,"[0.00,0.20)",market_non_favorite,AVG_CLOSE,False,-1.0,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1914,0.253918,0.6,0.8,0.331981,0.823529,1.0,2.430893,0.547142,2017-06-30,2017,1.7732559976634952,1.0,0.0,1.914,0.6,0.8,0.331981,0.823529,0.17406263815371717,0.025228938725394112
2017-07-02,2017-07,USA,Colorado Rapids,Houston Dynamo,home,home,2.42,"[2.2,2.8)",0.38839667302255243,"[0.34,0.42)",market_favorite,AVG_CLOSE,True,1.42,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1916,0.253653,0.6,-0.6,-0.088,-0.091967,-1.0,2.389232,0.213858,2017-07-02,2017,0.883767540168595,0.0,1.0,1.916,0.6,0.6,0.088,0.091967,0.4266244250545423,0.03243110863199239
2017-07-05,2017-07,USA,Minnesota United,Columbus Crew,home,away,3.3,"[2.8,3.5)",0.284385837874919,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1924,0.253119,-0.4,-1.2,-0.352041,-0.868481,2.0,2.391016,0.228129,2017-07-05,2017,1.1939224684724346,0.0,1.0,1.924,0.4,1.2,0.352041,0.868481,0.3180798510560437,0.04966350848494416
2017-07-06,2017-07,USA,Orlando City,Toronto FC,home,away,2.71,"[2.2,2.8)",0.3460053692047739,"[0.34,0.42)",market_non_favorite,AVG_CLOSE,False,-1.0,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1929,0.252462,-0.6,-1.4,0.064191,-0.117065,1.0,2.361998,0.004017,2017-07-06,2017,0.9969486348916096,0.0,1.0,1.929,0.6,1.4,0.064191,0.117065,0.3815186444556929,0.03391552647492779
2017-07-20,2017-07,USA,Minnesota United,Houston Dynamo,home,draw,3.02,"[2.8,3.5)",0.3105985928140128,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1935,0.252713,-0.2,-0.4,-0.367632,-0.814737,1.0,2.382998,0.163983,2017-07-20,2017,1.1052568313867783,0.0,1.0,1.935,0.2,0.4,0.367632,0.814737,0.3452717179178568,0.04272058811192769
2017-07-22,2017-07,USA,Minnesota United,New York Red Bulls,home,away,3.81,"[3.5,4.0)",0.2460395425126341,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1942,0.252832,-0.8,-1.2,-0.672549,-1.178431,0.0,2.364862,0.018893,2017-07-22,2017,1.3376291891386096,0.0,1.0,1.942,0.8,1.2,0.672549,1.178431,0.27877643251753,0.06213820789178914
2017-07-23,2017-07,USA,Real Salt Lake,Sporting Kansas City,home,draw,2.68,"[2.2,2.8)",0.34975591250369986,"[0.34,0.42)",market_non_favorite,AVG_CLOSE,False,-1.0,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1945,0.252442,0.4,1.0,-0.112239,-0.200274,-13.0,2.372816,0.082526,2017-07-23,2017,0.9858167945227654,0.0,1.0,1.945,0.4,1.0,0.112239,0.200274,0.38665705037374554,0.036240895001638185
2017-07-27,2017-07,USA,Philadelphia Union,Columbus Crew,home,home,2.45,"[2.2,2.8)",0.3825742133936182,"[0.34,0.42)",market_favorite,AVG_CLOSE,True,1.4500000000000002,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1953,0.252432,-0.4,0.2,-0.185441,-0.126025,0.0,2.391857,0.234856,2017-07-27,2017,0.8960880245566357,0.0,1.0,1.953,0.4,0.2,0.185441,0.126025,0.41946460982064177,0.027688294060572494
2017-07-30,2017-07,USA,Minnesota United,DC United,home,home,2.54,"[2.2,2.8)",0.3690837770372465,"[0.34,0.42)",market_favorite,AVG_CLOSE,True,1.54,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1955,0.252685,0.4,0.4,-0.383795,-0.788202,1.0,2.402302,0.318413,2017-07-30,2017,0.9321640810304452,0.0,1.0,1.955,0.4,0.4,0.383795,0.788202,0.4050804252573929,0.028904280153777995
2017-08-06,2017-08,USA,Minnesota United,Seattle Sounders,home,away,3.92,"[3.5,4.0)",0.23963644424739527,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1965,0.252926,-1.4,-1.6,-0.584906,-0.953688,0.0,2.360641,0.01487,2017-08-06,2017,1.366091653802371,0.0,1.0,1.965,1.4,1.6,0.584906,0.953688,0.27288939396794754,0.06972642435435428
2017-08-13,2017-08,USA,Los Angeles Galaxy,New York City,home,away,2.54,"[2.2,2.8)",0.37009482129832244,"[0.34,0.42)",market_favorite,AVG_CLOSE,False,-1.0,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1978,0.253286,-1.2,-1.0,0.136852,0.431805,0.0,2.383003,0.164026,2017-08-13,2017,0.9321640810304452,0.0,1.0,1.978,1.2,1.0,0.136852,0.431805,0.40579089726104367,0.030708879043050974
2017-08-17,2017-08,USA,CF Montreal,Chicago Fire,home,home,2.35,"[2.2,2.8)",0.3994023139105574,"[0.34,0.42)",market_favorite,AVG_CLOSE,True,1.35,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1986,0.252769,1.0,0.2,0.050726,0.014438,0.0,2.397013,0.276107,2017-08-17,2017,0.8544153281560676,0.0,1.0,1.986,1.0,0.2,0.050726,0.014438,0.4357052205832573,0.02390726837065471
2017-08-20,2017-08,USA,Chicago Fire,Toronto FC,home,away,2.63,"[2.2,2.8)",0.35718861572987864,"[0.34,0.42)",market_non_favorite,AVG_CLOSE,False,-1.0,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1988,0.252515,-1.2,-2.2,-0.017375,-0.078913,-5.0,2.363745,0.009964,2017-08-20,2017,0.9669838461896731,0.0,1.0,1.988,1.2,2.2,0.017375,0.078913,0.39278615838917064,0.033027596563518724
2017-08-24,2017-08,USA,DC United,Atlanta Utd,home,home,2.97,"[2.8,3.5)",0.3155996393146979,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,True,1.9700000000000002,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,1997,0.252379,-1.4,-2.2,-0.307982,-0.771397,-13.0,2.355599,0.055205,2017-08-24,2017,1.0885619528146082,0.0,1.0,1.997,1.4,2.2,0.307982,0.771397,0.350441622004388,0.0408116173530324
2017-08-27,2017-08,USA,CF Montreal,Toronto FC,home,away,2.96,"[2.8,3.5)",0.317169403080056,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0,AVG_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,2005,0.252868,-0.2,-1.4,0.039409,-0.049261,4.0,2.366922,0.035375,2017-08-27,2017,1.085189268335969,0.0,1.0,2.005,0.2,1.4,0.039409,0.049261,0.35194919995840246,0.041769631876871216
