window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2017-01,2017-12,41,410.0,77.3,18.85,55.8,3,5,False
2017-07,2018-06,31,310.0,-11.3,-3.65,50.0,1,5,False
2018-01,2018-12,3,30.0,-2.2,-7.33,10.0,0,1,False
2018-07,2019-06,0,0.0,0.0,0.0,0.0,0,0,False
2019-01,2019-12,0,0.0,0.0,0.0,0.0,0,0,False
2019-07,2020-06,0,0.0,0.0,0.0,0.0,0,0,False
2020-01,2020-12,1,10.0,17.5,175.0,0.0,1,0,False
2020-07,2021-06,21,210.0,57.2,27.24,74.8,3,1,True
2021-01,2021-12,20,200.0,39.7,19.85,74.8,2,1,False
2021-07,2022-06,0,0.0,0.0,0.0,0.0,0,0,False
2022-01,2022-12,4,40.0,-10.0,-25.0,30.0,0,1,False
2022-07,2023-06,11,110.0,48.3,43.91,30.0,3,1,False
2023-01,2023-12,23,230.0,29.9,13.0,74.3,5,2,False
2023-07,2024-06,27,270.0,13.4,4.96,83.7,4,2,False
2024-01,2024-12,11,110.0,41.8,38.0,50.0,2,0,False
2024-07,2025-06,11,110.0,-2.8,-2.55,60.0,1,1,False
2025-01,2025-12,11,110.0,-2.8,-2.55,60.0,1,1,False
