bet_date,settlement_date,league,home_team,away_team,outcome,actual_result,odds,stake,won,profit,rule_label,month,season
2017-05-04,2017-05-05,USA,Toronto FC,Orlando City,draw,home,4.53,10.0,False,-10.0,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,2017-05,2016-17
2017-05-06,2017-05-07,USA,Colorado Rapids,Vancouver Whitecaps,home,away,2.33,10.0,False,-10.0,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,2017-05,2016-17
2017-05-07,2017-05-08,USA,Minnesota United,Sporting Kansas City,home,home,3.45,10.0,True,24.5,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,2017-05,2016-17
2017-05-11,2017-05-12,USA,Columbus Crew,Toronto FC,home,away,2.32,10.0,False,-10.0,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,2017-05,2016-17
2017-05-13,2017-05-14,USA,Toronto FC,Minnesota United,draw,home,5.14,10.0,False,-10.0,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,2017-05,2016-17
2017-05-14,2017-05-15,USA,Chicago Fire,Seattle Sounders,home,home,2.32,10.0,True,13.2,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,2017-05,2016-17
2017-05-15,2017-05-16,USA,FC Dallas,New York City,draw,draw,4.59,10.0,True,35.9,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,2017-05,2016-17
2017-05-18,2017-05-19,USA,Real Salt Lake,New York City,home,home,2.4,10.0,True,14.0,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,2017-05,2016-17
2017-05-20,2017-05-21,USA,Seattle Sounders,Real Salt Lake,draw,home,5.35,10.0,False,-10.0,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,2017-05,2016-17
2017-05-21,2017-05-22,USA,Minnesota United,Los Angeles Galaxy,home,away,2.46,10.0,False,-10.0,PS_CLOSE_rulesusa_train30_n120_ev0p02_top1_ridge10_cap0.03_val6|USA,2017-05,2016-17
