month,decision,reason,prior_candidates,candidate_count,probability_validation
2017-01,ABSTAIN,no_candidates,,,
2017-02,ABSTAIN,no_candidates,,,
2017-03,ABSTAIN,no_candidates,,,
2017-04,ABSTAIN,no_candidates,,,
2017-05,ABSTAIN,selected_tail_did_not_show_prior_edge,2487.0,90.0,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 2340, 'validation_rows': 147, 'market': {'matches': 49, 'log_loss': 0.935698, 'brier': 0.556186}, 'model': {'matches': 49, 'log_loss': 0.931101, 'brier': 0.554334}, 'log_loss_improvement': 0.004597, 'brier_improvement': 0.001852, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2017-06,ABSTAIN,insufficient_prior_validation_rows,2397.0,210.0,"{'passed': False, 'reason': 'insufficient_prior_validation_rows', 'fit_rows': 2280, 'validation_rows': 117}"
2017-07,ABSTAIN,selected_tail_did_not_show_prior_edge,2577.0,204.0,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 2277, 'validation_rows': 300, 'market': {'matches': 100, 'log_loss': 0.973866, 'brier': 0.576302}, 'model': {'matches': 100, 'log_loss': 0.969928, 'brier': 0.572416}, 'log_loss_improvement': 0.003938, 'brier_improvement': 0.003886, 'selected_tail': {'bets': 0, 'profit_units': 0.0, 'hit_rate': 0.0, 'average_market_probability': 0.0, 'edge_vs_market_probability': 0.0, 'passed': False}}"
2017-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,2781.0,153.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2277, 'validation_rows': 504, 'market': {'matches': 168, 'log_loss': 1.03774, 'brier': 0.621474}, 'model': {'matches': 168, 'log_loss': 1.050171, 'brier': 0.628579}, 'log_loss_improvement': -0.012431, 'brier_improvement': -0.007105, 'selected_tail': {'bets': 1, 'profit_units': -1.0, 'hit_rate': 0.0, 'average_market_probability': 0.514553, 'edge_vs_market_probability': -0.514553, 'passed': False}}"
2017-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,2934.0,102.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2277, 'validation_rows': 657, 'market': {'matches': 219, 'log_loss': 1.061383, 'brier': 0.636257}, 'model': {'matches': 219, 'log_loss': 1.07769, 'brier': 0.644705}, 'log_loss_improvement': -0.016307, 'brier_improvement': -0.008448, 'selected_tail': {'bets': 1, 'profit_units': -1.0, 'hit_rate': 0.0, 'average_market_probability': 0.514553, 'edge_vs_market_probability': -0.514553, 'passed': False}}"
2017-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,3036.0,171.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 2277, 'validation_rows': 759, 'market': {'matches': 253, 'log_loss': 1.070021, 'brier': 0.642406}, 'model': {'matches': 253, 'log_loss': 1.08786, 'brier': 0.651953}, 'log_loss_improvement': -0.017839, 'brier_improvement': -0.009547, 'selected_tail': {'bets': 4, 'profit_units': -1.03, 'hit_rate': 0.25, 'average_market_probability': 0.362668, 'edge_vs_market_probability': -0.112668, 'passed': False}}"
