bet_date,settlement_date,league,home_team,away_team,outcome,actual_result,odds,stake,won,profit,rule_label,month,season
2019-08-03,2019-08-04,NOR,Sarpsborg 08,Rosenborg,home,draw,3.07,10.0,False,-10.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2019-08,2019-20
2019-08-04,2019-08-05,NOR,Ranheim,Brann,home,away,3.73,10.0,False,-10.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2019-08,2019-20
2019-08-05,2019-08-06,NOR,Stromsgodset,Bodo/Glimt,home,away,3.51,10.0,False,-10.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2019-08,2019-20
2019-08-11,2019-08-12,NOR,Kristiansund,Odd,home,draw,3.19,10.0,False,-10.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2019-08,2019-20
2019-08-12,2019-08-13,NOR,Lillestrom,Mjondalen,home,home,2.3,10.0,True,13.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2019-08,2019-20
2019-08-14,2019-08-15,NOR,Stabaek,Valerenga,home,draw,3.29,10.0,False,-10.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2019-08,2019-20
2019-08-18,2019-08-19,NOR,Ranheim,Molde,home,away,3.99,10.0,False,-10.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2019-08,2019-20
2019-08-19,2019-08-20,NOR,Sarpsborg 08,Bodo/Glimt,home,draw,2.31,10.0,False,-10.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2019-08,2019-20
2019-08-25,2019-08-26,NOR,Stromsgodset,Sarpsborg 08,home,home,2.86,10.0,True,18.6,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2019-08,2019-20
2021-09-11,2021-09-12,NOR,Stabaek,Viking,draw,away,3.66,10.0,False,-10.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2021-09,2021-22
2021-09-12,2021-09-13,NOR,Stromsgodset,Kristiansund,draw,away,3.74,10.0,False,-10.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2021-09,2021-22
2021-09-18,2021-09-19,NOR,Odd,Lillestrom,draw,away,3.8,10.0,False,-10.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2021-09,2021-22
2021-09-19,2021-09-20,NOR,Sarpsborg 08,Rosenborg,draw,away,3.34,10.0,False,-10.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2021-09,2021-22
2021-09-25,2021-09-26,NOR,Stromsgodset,Sarpsborg 08,draw,home,3.61,10.0,False,-10.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2021-09,2021-22
2021-09-26,2021-09-27,NOR,Brann,Kristiansund,draw,home,3.86,10.0,False,-10.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2021-09,2021-22
2021-09-29,2021-09-30,NOR,Stabaek,Stromsgodset,draw,draw,3.99,10.0,True,29.9,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2021-09,2021-22
2021-12-05,2021-12-06,NOR,Stromsgodset,Haugesund,draw,draw,3.85,10.0,True,28.5,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2021-12,2021-22
2021-12-12,2021-12-13,NOR,Odd,Stabaek,draw,home,3.64,10.0,False,-10.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2021-12,2021-22
2022-09-04,2022-09-05,NOR,Haugesund,Tromso,draw,home,3.24,10.0,False,-10.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2022-09,2022-23
2022-09-10,2022-09-11,NOR,Sandefjord,Odd,draw,away,3.52,10.0,False,-10.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2022-09,2022-23
2022-09-11,2022-09-12,NOR,Ham-Kam,Viking,draw,away,3.54,10.0,False,-10.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2022-09,2022-23
2022-09-17,2022-09-18,NOR,Odd,Ham-Kam,draw,home,3.52,10.0,False,-10.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2022-09,2022-23
2022-09-18,2022-09-19,NOR,Viking,Tromso,draw,draw,3.6,10.0,True,26.0,PS_CLOSE_rulesnor_train30_n120_ev0p02_top1_ridge10_cap0.03_val6_tail20_odds1.8_4|NOR,2022-09,2022-23
