window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2017-01,2017-12,65,650.0,83.8,12.89,91.5,5,2,True
2017-07,2018-06,52,520.0,23.6,4.54,68.2,4,2,False
2018-01,2018-12,10,100.0,0.7,0.7,30.0,1,0,False
2018-07,2019-06,0,0.0,0.0,0.0,0.0,0,0,False
2019-01,2019-12,10,100.0,-4.5,-4.5,25.9,0,1,False
2019-07,2020-06,10,100.0,-4.5,-4.5,25.9,0,1,False
2020-01,2020-12,5,50.0,9.0,18.0,20.0,1,0,False
2020-07,2021-06,9,90.0,42.8,47.56,20.0,2,0,False
2021-01,2021-12,4,40.0,33.8,84.5,10.0,1,0,False
2021-07,2022-06,0,0.0,0.0,0.0,0.0,0,0,False
2022-01,2022-12,7,70.0,-39.0,-55.71,60.0,0,1,False
2022-07,2023-06,7,70.0,-39.0,-55.71,60.0,0,1,False
2023-01,2023-12,0,0.0,0.0,0.0,0.0,0,0,False
2023-07,2024-06,14,140.0,201.0,143.57,30.0,2,0,False
2024-01,2024-12,14,140.0,201.0,143.57,30.0,2,0,False
2024-07,2025-06,0,0.0,0.0,0.0,0.0,0,0,False
2025-01,2025-12,0,0.0,0.0,0.0,0.0,0,0,False
