month,bets,staked,profit,roi_pct
2017-03,12,12.0,2.25,18.75
2017-04,17,17.0,0.66,3.88
2017-05,18,18.0,1.46,8.11
2017-06,12,12.0,1.43,11.92
2017-07,16,16.0,-0.4,-2.5
2017-08,15,15.0,3.32,22.13
2017-09,18,18.0,-3.71,-20.61
2017-10,11,11.0,-2.78,-25.27
2017-11,2,2.0,0.19,9.5
2017-12,1,1.0,0.82,82.0
2018-03,13,13.0,3.13,24.08
2018-04,17,17.0,1.32,7.76
2018-05,23,23.0,1.22,5.3
2018-06,16,16.0,-6.79,-42.44
2018-07,17,17.0,-2.77,-16.29
2018-08,15,15.0,-4.94,-32.93
2018-09,17,17.0,4.92,28.94
2018-10,10,10.0,5.58,55.8
2018-11,4,4.0,1.83,45.75
2019-03,17,17.0,1.77,10.41
2019-04,18,18.0,1.07,5.94
2019-05,30,30.0,2.67,8.9
2019-06,20,20.0,6.2,31.0
2019-07,24,24.0,-4.94,-20.58
2019-08,21,21.0,3.84,18.29
2019-09,25,25.0,4.29,17.16
2019-10,8,8.0,-4.34,-54.25
2019-11,1,1.0,0.94,94.0
2020-02,5,5.0,-3.07,-61.4
2020-03,7,7.0,-0.74,-10.57
2020-07,12,12.0,-1.59,-13.25
2020-08,16,16.0,-2.17,-13.56
2020-09,23,23.0,-0.31,-1.35
2020-10,25,25.0,3.3,13.2
2020-11,17,17.0,1.35,7.94
2020-12,1,1.0,-1.0,-100.0
2022-03,3,3.0,-0.93,-31.0
2022-04,1,1.0,-1.0,-100.0
2022-05,5,5.0,3.64,72.8
2022-06,1,1.0,-1.0,-100.0
2022-07,2,2.0,2.35,117.5
2022-08,4,4.0,-2.01,-50.25
2022-09,6,6.0,-3.96,-66.0
2022-10,2,2.0,2.19,109.5
2025-03,5,5.0,1.24,24.8
2025-04,7,7.0,-7.0,-100.0
2025-05,10,10.0,-0.98,-9.8
2025-06,7,7.0,-0.69,-9.86
2025-07,5,5.0,-5.0,-100.0
2025-08,5,5.0,4.06,81.2
2025-09,5,5.0,-1.79,-35.8
2025-10,6,6.0,0.05,0.83
2025-11,1,1.0,-1.0,-100.0
