date,month,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_probability,market_prob_bucket,favorite_relation,odds_source,won,unit_profit
2012-05-19,2012-05,BRA,Palmeiras,Portuguesa,home,draw,1.75,"[1.0,1.8)",0.5596906718221363,"[0.55,1.00]",market_favorite,PS_CLOSE,False,-1.0
2012-05-19,2012-05,BRA,Palmeiras,Portuguesa,draw,draw,3.86,"[3.5,4.0)",0.2537457709038183,"[0.20,0.28)",market_non_favorite,PS_CLOSE,True,2.86
2012-05-19,2012-05,BRA,Palmeiras,Portuguesa,away,draw,5.25,"[5.0,7.0)",0.18656355727404542,"[0.00,0.20)",market_non_favorite,PS_CLOSE,False,-1.0
2012-05-19,2012-05,BRA,Sport Recife,Flamengo RJ,home,draw,2.83,"[2.8,3.5)",0.34592758716536004,"[0.34,0.42)",market_non_favorite,PS_CLOSE,False,-1.0
2012-05-19,2012-05,BRA,Sport Recife,Flamengo RJ,draw,draw,3.39,"[2.8,3.5)",0.2887832069846516,"[0.28,0.34)",market_non_favorite,PS_CLOSE,True,2.39
2012-05-19,2012-05,BRA,Sport Recife,Flamengo RJ,away,draw,2.68,"[2.2,2.8)",0.36528920584998836,"[0.34,0.42)",market_favorite,PS_CLOSE,False,-1.0
2012-05-20,2012-05,BRA,Bahia,Santos,home,draw,2.33,"[2.2,2.8)",0.4203212177420542,"[0.42,0.55)",market_favorite,PS_CLOSE,False,-1.0
2012-05-20,2012-05,BRA,Bahia,Santos,draw,draw,3.44,"[2.8,3.5)",0.2846943131799379,"[0.28,0.34)",market_non_favorite,PS_CLOSE,True,2.44
2012-05-20,2012-05,BRA,Bahia,Santos,away,draw,3.32,"[2.8,3.5)",0.2949844690780079,"[0.28,0.34)",market_non_favorite,PS_CLOSE,False,-1.0
2012-05-20,2012-05,BRA,Botafogo RJ,Sao Paulo,home,home,2.49,"[2.2,2.8)",0.39467040673211784,"[0.34,0.42)",market_favorite,PS_CLOSE,True,1.4900000000000002
