columns,key,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
outcome|market_prob_bucket,"away|[0.55,1.00]",147,0.85,0.58,71,43,28,2026-07,-0.53,30.0636
league|outcome|market_prob_bucket,"NOR|away|[0.55,1.00]",147,0.85,0.58,71,43,28,2026-07,-0.53,30.0636
outcome|odds_bucket|market_prob_bucket,"away|[1.0,1.8)|[0.55,1.00]",147,0.85,0.58,71,43,28,2026-07,-0.53,30.0636
outcome|market_prob_bucket|favorite_relation,"away|[0.55,1.00]|market_favorite",147,0.85,0.58,71,43,28,2026-07,-0.53,30.0636
outcome|odds_bucket,"away|[1.0,1.8)",189,2.64,1.4,85,49,36,2026-07,-0.53,26.1537
league|outcome|odds_bucket,"NOR|away|[1.0,1.8)",189,2.64,1.4,85,49,36,2026-07,-0.53,26.1537
outcome|odds_bucket|favorite_relation,"away|[1.0,1.8)|market_favorite",189,2.64,1.4,85,49,36,2026-07,-0.53,26.1537
odds_bucket|market_prob_bucket,"[1.8,2.2)|[0.42,0.55)",1105,13.02,1.18,125,69,56,2026-07,-0.86,26.1296
league|odds_bucket|market_prob_bucket,"NOR|[1.8,2.2)|[0.42,0.55)",1105,13.02,1.18,125,69,56,2026-07,-0.86,26.1296
odds_bucket|market_prob_bucket|favorite_relation,"[1.8,2.2)|[0.42,0.55)|market_favorite",1105,13.02,1.18,125,69,56,2026-07,-0.86,26.1296
odds_bucket,"[1.8,2.2)",1106,12.02,1.09,125,69,56,2026-07,-0.86,26.1195
league|odds_bucket,"NOR|[1.8,2.2)",1106,12.02,1.09,125,69,56,2026-07,-0.86,26.1195
odds_bucket|favorite_relation,"[1.8,2.2)|market_favorite",1106,12.02,1.09,125,69,56,2026-07,-0.86,26.1195
league|odds_bucket|favorite_relation,"NOR|[1.8,2.2)|market_favorite",1106,12.02,1.09,125,69,56,2026-07,-0.86,26.1195
outcome|odds_bucket,"home|[1.8,2.2)",786,3.69,0.47,125,66,59,2026-07,-1.0,14.0516
league|outcome|odds_bucket,"NOR|home|[1.8,2.2)",786,3.69,0.47,125,66,59,2026-07,-1.0,14.0516
outcome|odds_bucket|market_prob_bucket,"home|[1.8,2.2)|[0.42,0.55)",786,3.69,0.47,125,66,59,2026-07,-1.0,14.0516
outcome|odds_bucket|favorite_relation,"home|[1.8,2.2)|market_favorite",786,3.69,0.47,125,66,59,2026-07,-1.0,14.0516
outcome|odds_bucket|market_prob_bucket,"away|[1.8,2.2)|[0.42,0.55)",319,9.33,2.92,111,58,53,2026-07,0.14,10.3217
outcome|odds_bucket,"away|[1.8,2.2)",320,8.33,2.6,111,58,53,2026-07,0.14,10.2863
league|outcome|odds_bucket,"NOR|away|[1.8,2.2)",320,8.33,2.6,111,58,53,2026-07,0.14,10.2863
outcome|odds_bucket|favorite_relation,"away|[1.8,2.2)|market_favorite",320,8.33,2.6,111,58,53,2026-07,0.14,10.2863
outcome|odds_bucket|favorite_relation,"away|[2.2,2.8)|market_non_favorite",189,18.3,9.68,99,51,48,2026-05,-1.0,7.0651
outcome|market_prob_bucket|favorite_relation,"away|[0.34,0.42)|market_non_favorite",154,8.86,5.75,89,46,43,2026-05,-1.0,6.6329
