date,month,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_probability,market_prob_bucket,favorite_relation,odds_source,won,unit_profit
2012-03-10,2012-03,USA,Colorado Rapids,Columbus Crew,home,home,2.01,"[1.8,2.2)",0.4585517428786346,"[0.42,0.55)",market_favorite,AVG_CLOSE,True,1.0099999999999998
2012-03-10,2012-03,USA,Colorado Rapids,Columbus Crew,draw,home,3.19,"[2.8,3.5)",0.2889307220018983,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-03-10,2012-03,USA,Colorado Rapids,Columbus Crew,away,home,3.65,"[3.5,4.0)",0.25251753511946723,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-03-10,2012-03,USA,Vancouver Whitecaps,CF Montreal,home,home,1.97,"[1.8,2.2)",0.468410640381883,"[0.42,0.55)",market_favorite,AVG_CLOSE,True,0.97
2012-03-10,2012-03,USA,Vancouver Whitecaps,CF Montreal,draw,home,3.27,"[2.8,3.5)",0.2821923429823576,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-03-10,2012-03,USA,Vancouver Whitecaps,CF Montreal,away,home,3.7,"[3.5,4.0)",0.2493970166357593,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-03-11,2012-03,USA,Chivas USA,Houston Dynamo,home,away,2.46,"[2.2,2.8)",0.37567727191022776,"[0.34,0.42)",market_favorite,AVG_CLOSE,False,-1.0
2012-03-11,2012-03,USA,Chivas USA,Houston Dynamo,draw,away,3.08,"[2.8,3.5)",0.30005392496725986,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-03-11,2012-03,USA,Chivas USA,Houston Dynamo,away,away,2.85,"[2.8,3.5)",0.3242688031225124,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,True,1.85
2012-03-11,2012-03,USA,DC United,Sporting Kansas City,home,away,2.46,"[2.2,2.8)",0.37503164923634147,"[0.34,0.42)",market_favorite,AVG_CLOSE,False,-1.0
