date,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_prob_bucket,favorite_relation,stake,won,profit,rule_label,month,candidate_id,odds_source,rule_key,combo_rules,validation_start,validation_end,train_start,train_end
2017-04-02,NOR,Sarpsborg 08,Sogndal,home,home,1.79,"[1.0,1.8)","[0.42,0.55)",market_favorite,1.0,True,0.79,"league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-04,rolling-low-correlation-selector,PS_CLOSE,"PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)","PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-01,2017-12,2013-01,2016-12
2017-04-03,NOR,Valerenga,Viking,home,home,1.87,"[1.8,2.2)","[0.42,0.55)",market_favorite,1.0,True,0.8700000000000001,"league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-04,rolling-low-correlation-selector,PS_CLOSE,"PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)","PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-01,2017-12,2013-01,2016-12
2017-04-05,NOR,Sogndal,Stabaek,home,home,2.16,"[1.8,2.2)","[0.42,0.55)",market_favorite,1.0,True,1.16,"league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-04,rolling-low-correlation-selector,PS_CLOSE,"PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)","PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-01,2017-12,2013-01,2016-12
2017-04-06,NOR,Brann,Stromsgodset,home,home,2.2,"[2.2,2.8)","[0.42,0.55)",market_favorite,1.0,True,1.2000000000000002,"league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-04,rolling-low-correlation-selector,PS_CLOSE,"PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)","PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-01,2017-12,2013-01,2016-12
2017-04-06,NOR,Viking,Tromso,home,away,2.0,"[1.8,2.2)","[0.42,0.55)",market_favorite,1.0,False,-1.0,"league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-04,rolling-low-correlation-selector,PS_CLOSE,"PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)","PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-01,2017-12,2013-01,2016-12
2017-04-09,NOR,Tromso,Sogndal,home,home,2.04,"[1.8,2.2)","[0.42,0.55)",market_favorite,1.0,True,1.04,"league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-04,rolling-low-correlation-selector,PS_CLOSE,"PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)","PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-01,2017-12,2013-01,2016-12
2017-04-09,NOR,Sarpsborg 08,Viking,home,home,1.84,"[1.8,2.2)","[0.42,0.55)",market_favorite,1.0,True,0.8400000000000001,"league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-04,rolling-low-correlation-selector,PS_CLOSE,"PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)","PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-01,2017-12,2013-01,2016-12
2017-04-09,NOR,Lillestrom,Haugesund,home,away,2.12,"[1.8,2.2)","[0.42,0.55)",market_favorite,1.0,False,-1.0,"league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-04,rolling-low-correlation-selector,PS_CLOSE,"PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)","PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-01,2017-12,2013-01,2016-12
2017-04-17,NOR,Sandefjord,Kristiansund,home,home,2.21,"[2.2,2.8)","[0.42,0.55)",market_favorite,1.0,True,1.21,"league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-04,rolling-low-correlation-selector,PS_CLOSE,"PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)","PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-01,2017-12,2013-01,2016-12
2017-04-23,NOR,Tromso,Stabaek,home,away,1.88,"[1.8,2.2)","[0.42,0.55)",market_favorite,1.0,False,-1.0,"league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-04,rolling-low-correlation-selector,PS_CLOSE,"PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)","PS_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",2017-01,2017-12,2013-01,2016-12
