month,decision,reason,prior_candidates,candidate_count,selected,mean_predicted_ev
2022-08,INVEST,,412.0,30.0,17.0,0.3607
2022-09,INVEST,,442.0,35.0,13.0,0.1189
2022-10,INVEST,,477.0,59.0,15.0,0.1048
2022-11,INVEST,,536.0,31.0,7.0,0.0802
2022-12,INVEST,,567.0,46.0,20.0,0.1282
2023-01,INVEST,,613.0,32.0,16.0,0.1759
2023-02,INVEST,,645.0,50.0,23.0,0.1497
2023-03,INVEST,,672.0,40.0,16.0,0.1496
2023-04,INVEST,,660.0,56.0,21.0,0.1493
2023-05,INVEST,,666.0,42.0,18.0,0.2391
2023-06,INVEST,,660.0,1.0,1.0,0.2918
2023-07,ABSTAIN,no_candidates,,,,
2023-08,INVEST,,603.0,26.0,17.0,0.3936
2023-09,INVEST,,566.0,52.0,29.0,0.2407
2023-10,INVEST,,572.0,42.0,24.0,0.2712
2023-11,INVEST,,558.0,35.0,23.0,0.2995
2023-12,INVEST,,577.0,56.0,29.0,0.3323
2024-01,INVEST,,633.0,38.0,23.0,0.2378
2024-02,INVEST,,671.0,51.0,27.0,0.2113
2024-03,INVEST,,692.0,35.0,17.0,0.207
2024-04,INVEST,,692.0,43.0,22.0,0.2004
2024-05,INVEST,,676.0,38.0,18.0,0.1381
2024-06,ABSTAIN,no_candidates,,,,
2024-07,ABSTAIN,no_candidates,,,,
2024-08,INVEST,,605.0,39.0,24.0,0.1795
2024-09,INVEST,,594.0,45.0,28.0,0.1054
2024-10,INVEST,,599.0,41.0,22.0,0.1861
2024-11,INVEST,,584.0,39.0,23.0,0.2941
2024-12,INVEST,,581.0,50.0,28.0,0.482
2025-01,INVEST,,630.0,34.0,18.0,0.2542
2025-02,INVEST,,664.0,49.0,32.0,0.2856
2025-03,INVEST,,687.0,44.0,27.0,0.2511
2025-04,INVEST,,679.0,37.0,24.0,0.2503
2025-05,INVEST,,674.0,47.0,21.0,0.2756
2025-06,ABSTAIN,no_candidates,,,,
2025-07,ABSTAIN,no_candidates,,,,
2025-08,INVEST,,592.0,25.0,10.0,0.5549
2025-09,INVEST,,566.0,43.0,19.0,0.2477
2025-10,INVEST,,574.0,44.0,26.0,0.2459
2025-11,INVEST,,575.0,48.0,25.0,0.2646
2025-12,INVEST,,585.0,39.0,21.0,0.2426
2026-01,INVEST,,624.0,36.0,19.0,0.2094
2026-02,INVEST,,660.0,51.0,28.0,0.223
2026-03,INVEST,,672.0,49.0,22.0,0.176
2026-04,INVEST,,676.0,37.0,17.0,0.1552
2026-05,INVEST,,672.0,16.0,9.0,0.1237
