bet_date,settlement_date,league,home_team,away_team,outcome,actual_result,odds,stake,won,profit,rule_label,month,season
2022-08-13,2022-08-14,I2,Palermo,Perugia,draw,home,3.18,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-08,2022-23
2022-08-14,2022-08-15,I2,Modena,Frosinone,draw,away,3.05,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-08,2022-23
2022-08-20,2022-08-21,I2,Perugia,Parma,draw,draw,3.17,10.0,True,21.7,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-08,2022-23
2022-08-21,2022-08-22,I2,Cagliari,Cittadella,draw,home,3.39,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-08,2022-23
2022-08-27,2022-08-28,I2,Palermo,Ascoli,draw,away,3.2,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-08,2022-23
2022-08-28,2022-08-29,I2,Reggina,Sudtirol,draw,home,3.24,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-08,2022-23
2022-08-29,2022-08-30,I2,Como,Brescia,draw,away,3.28,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-08,2022-23
2022-09-03,2022-09-04,I2,Reggina,Palermo,draw,home,3.24,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-09,2022-23
2022-09-09,2022-09-10,I2,Palermo,Genoa,draw,home,3.41,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-09,2022-23
2022-09-17,2022-09-18,I2,Cagliari,Bari,draw,away,3.49,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-09,2022-23
2022-09-30,2022-10-01,I2,Cosenza,Como,draw,home,3.2,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-09,2022-23
2022-10-01,2022-10-02,I2,Bari,Brescia,draw,home,3.25,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-10,2022-23
2022-10-08,2022-10-09,I2,Ascoli,Modena,draw,away,3.24,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-10,2022-23
2022-10-09,2022-10-10,I2,Como,Perugia,draw,home,3.25,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-10,2022-23
2022-10-15,2022-10-16,I2,Cittadella,Spal,draw,draw,3.28,10.0,True,22.8,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-10,2022-23
2022-10-22,2022-10-23,I2,Sudtirol,Parma,draw,home,3.13,10.0,False,-10.0,AVG_OPEN_train30_n120_ev0p0_top1_ridge10|I2_draw_2p8_3p5,2022-10,2022-23
