label,stop_after_losing_settlement_days,cooldown_days,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate
stop3_cool14,3,14,231,510.2,22.09,70.4,24,16,6,5,6,5,0.8333
stop3_cool3,3,3,303,644.1,21.26,90.0,25,15,6,5,6,5,0.8333
stop2_cool7,2,7,218,347.2,15.93,140.0,25,15,6,5,6,5,0.8333
stop2_cool0,2,0,334,625.7,18.73,110.0,25,15,6,4,6,4,0.6667
stop3_cool0,3,0,334,625.7,18.73,110.0,25,15,6,4,6,4,0.6667
stop4_cool0,4,0,334,625.7,18.73,110.0,25,15,6,4,6,4,0.6667
stop999_cool0,999,0,334,625.7,18.73,110.0,25,15,6,4,6,4,0.6667
stop3_cool7,3,7,276,532.9,19.31,111.3,23,17,6,3,6,3,0.5
stop4_cool7,4,7,284,526.1,18.52,90.0,25,15,6,3,6,3,0.5
stop2_cool3,2,3,281,488.3,17.38,148.7,23,17,6,3,6,3,0.5
stop2_cool14,2,14,155,237.0,15.29,67.2,24,16,6,3,6,3,0.5
stop4_cool3,4,3,317,451.2,14.23,110.0,23,17,6,3,6,3,0.5
stop4_cool14,4,14,243,165.5,6.81,161.0,22,18,6,3,6,3,0.5
