date,league,home_team,away_team,outcome,actual_result,probability,uncertainty,lower_ev,odds,stake,won,profit,month
2023-02-05,SP2,Ponferradina,Santander,draw,draw,0.618489,0.012038,0.158321,1.91,1.99,True,1.81,2023-02
2023-02-12,SP2,Eibar,Cartagena,home,away,0.599038,0.012832,-0.00345,1.7,1.0,False,-1.0,2023-02
2023-02-17,SP2,Cartagena,Oviedo,draw,home,0.390749,0.012038,0.060393,2.8,1.0,False,-1.0,2023-02
2023-03-03,SP2,Andorra,Las Palmas,draw,draw,0.363226,0.011919,0.018792,2.9,1.0,True,1.9,2023-03
2023-03-04,SP2,Tenerife,Eibar,draw,away,0.37378,0.011919,0.013212,2.8,1.0,False,-1.0,2023-03
2023-03-04,SP2,Mirandes,Oviedo,draw,home,0.353419,0.011919,-0.00965,2.9,1.0,False,-1.0,2023-03
2023-03-05,SP2,Albacete,Sp Gijon,draw,home,0.356508,0.011919,-0.000692,2.9,1.0,False,-1.0,2023-03
2023-03-05,SP2,Ponferradina,Cartagena,draw,away,0.332263,0.011919,-0.006933,3.1,1.0,False,-1.0,2023-03
2023-03-10,SP2,Oviedo,Tenerife,draw,draw,0.561151,0.011919,0.428005,2.6,2.87,True,4.59,2023-03
2023-03-11,SP2,Las Palmas,Malaga,home,draw,0.649884,0.012731,0.000329,1.57,1.0,False,-1.0,2023-03
2023-03-18,SP2,Tenerife,Las Palmas,draw,home,0.361135,0.011919,0.005743,2.88,1.0,False,-1.0,2023-03
2023-03-19,SP2,Huesca,Zaragoza,draw,draw,0.358352,0.011919,0.004658,2.9,1.0,True,1.9,2023-03
2023-03-19,SP2,Burgos,Sp Gijon,draw,draw,0.35569,0.011919,-0.003064,2.9,1.0,True,1.9,2023-03
2023-04-01,SP2,Oviedo,Eibar,draw,draw,0.557547,0.011906,0.473231,2.7,2.97,True,5.05,2023-04
2023-04-01,SP2,Burgos,Santander,draw,home,0.37405,0.011906,0.042975,2.88,1.0,False,-1.0,2023-04
2023-04-02,SP2,Lugo,Ponferradina,draw,draw,0.377082,0.011906,0.004235,2.75,1.0,True,1.75,2023-04
2023-04-09,SP2,Ponferradina,Leganes,draw,away,0.372441,0.011906,0.045551,2.9,1.0,False,-1.0,2023-04
2023-04-09,SP2,Huesca,Burgos,draw,home,0.351155,0.011906,0.017748,3.0,1.0,False,-1.0,2023-04
2023-04-15,SP2,Zaragoza,Santander,draw,home,0.343493,0.011906,-0.00524,3.0,1.0,False,-1.0,2023-04
2023-04-21,SP2,Eibar,Zaragoza,draw,draw,0.375132,0.011906,0.053356,2.9,1.0,True,1.9,2023-04
2023-04-22,SP2,Ibiza,Oviedo,draw,away,0.368612,0.011906,-0.001223,2.8,1.0,False,-1.0,2023-04
2023-04-23,SP2,Mirandes,Burgos,draw,home,0.375173,0.011906,0.04621,2.88,1.0,False,-1.0,2023-04
2023-04-29,SP2,Tenerife,Leganes,draw,home,0.374257,0.011906,0.043571,2.88,1.0,False,-1.0,2023-04
2023-04-30,SP2,Zaragoza,Las Palmas,draw,draw,0.352061,0.011906,0.020464,3.0,1.0,True,2.0,2023-04
2023-05-07,SP2,Ponferradina,Malaga,draw,home,0.373918,0.011972,0.049643,2.9,1.0,False,-1.0,2023-05
2023-05-07,SP2,Oviedo,Zaragoza,draw,home,0.37141,0.011972,0.035182,2.88,1.0,False,-1.0,2023-05
2023-05-12,SP2,Burgos,Leganes,draw,away,0.378076,0.011972,0.025091,2.8,1.0,False,-1.0,2023-05
2023-08-19,SP2,Alcorcon,Leganes,draw,away,0.357882,0.01273,-0.005961,2.88,1.0,False,-1.0,2023-08
2023-08-21,SP2,Huesca,Tenerife,draw,away,0.383123,0.01273,0.037102,2.8,1.0,False,-1.0,2023-08
2023-08-26,SP2,Burgos,Oviedo,draw,home,0.357882,0.01273,-0.005961,2.88,1.0,False,-1.0,2023-08
2023-12-02,SP2,Zaragoza,Leganes,draw,home,0.369458,0.012758,0.070098,3.0,1.0,False,-1.0,2023-12
2023-12-08,SP2,Espanol,Zaragoza,home,draw,0.557277,0.013698,-0.00525,1.83,1.0,False,-1.0,2023-12
2023-12-10,SP2,Elche,Cartagena,home,away,0.588108,0.013698,-0.006271,1.73,1.0,False,-1.0,2023-12
2023-12-20,SP2,Leganes,Tenerife,draw,draw,0.36097,0.012758,0.009815,2.9,1.0,True,1.9,2023-12
2024-05-04,SP2,Huesca,Oviedo,draw,away,0.371476,0.012136,0.042086,2.9,1.0,False,-1.0,2024-05
