date,league,home_team,away_team,outcome,actual_result,probability,uncertainty,lower_ev,odds,stake,won,profit,month
2023-04-01,SP2,Oviedo,Eibar,draw,draw,0.557547,0.011906,0.473231,2.7,2.97,True,5.05,2023-04
2023-04-01,SP2,Burgos,Santander,draw,home,0.37405,0.011906,0.042975,2.88,0.41,False,-0.41,2023-04
2023-04-02,SP2,Lugo,Ponferradina,draw,draw,0.377082,0.011906,0.004235,2.75,0.25,True,0.44,2023-04
2023-04-09,SP2,Ponferradina,Leganes,draw,away,0.372441,0.011906,0.045551,2.9,0.42,False,-0.42,2023-04
2023-04-09,SP2,Huesca,Burgos,draw,home,0.351155,0.011906,0.017748,3.0,0.27,False,-0.27,2023-04
2023-04-15,SP2,Zaragoza,Santander,draw,home,0.343493,0.011906,-0.00524,3.0,0.25,False,-0.25,2023-04
2023-04-21,SP2,Eibar,Zaragoza,draw,draw,0.375132,0.011906,0.053356,2.9,0.46,True,0.88,2023-04
2023-04-22,SP2,Ibiza,Oviedo,draw,away,0.368612,0.011906,-0.001223,2.8,0.25,False,-0.25,2023-04
2023-04-23,SP2,Mirandes,Burgos,draw,home,0.375173,0.011906,0.04621,2.88,0.43,False,-0.43,2023-04
2023-04-29,SP2,Tenerife,Leganes,draw,home,0.374257,0.011906,0.043571,2.88,0.41,False,-0.41,2023-04
2023-04-30,SP2,Zaragoza,Las Palmas,draw,draw,0.352061,0.011906,0.020464,3.0,0.28,True,0.56,2023-04
2023-05-07,SP2,Ponferradina,Malaga,draw,home,0.373918,0.011972,0.049643,2.9,0.44,False,-0.44,2023-05
2023-05-07,SP2,Oviedo,Zaragoza,draw,home,0.37141,0.011972,0.035182,2.88,0.37,False,-0.37,2023-05
2023-05-12,SP2,Burgos,Leganes,draw,away,0.378076,0.011972,0.025091,2.8,0.33,False,-0.33,2023-05
2023-08-19,SP2,Alcorcon,Leganes,draw,away,0.357882,0.01273,-0.005961,2.88,0.25,False,-0.25,2023-08
2023-08-21,SP2,Huesca,Tenerife,draw,away,0.383123,0.01273,0.037102,2.8,0.4,False,-0.4,2023-08
2023-08-26,SP2,Burgos,Oviedo,draw,home,0.357882,0.01273,-0.005961,2.88,0.25,False,-0.25,2023-08
2023-10-14,SP2,Mirandes,Tenerife,draw,draw,0.357446,0.01279,-0.000498,2.9,0.25,True,0.47,2023-10
2023-10-21,SP2,Zaragoza,Eibar,draw,away,0.366091,0.01279,0.017509,2.88,0.29,False,-0.29,2023-10
2023-11-18,SP2,Alcorcon,Sp Gijon,away,draw,0.437241,0.012592,0.010665,2.38,0.29,False,-0.29,2023-11
2023-12-02,SP2,Zaragoza,Leganes,draw,home,0.369458,0.012758,0.070098,3.0,0.54,False,-0.54,2023-12
2023-12-08,SP2,Espanol,Zaragoza,home,draw,0.557277,0.013698,-0.00525,1.83,0.25,False,-0.25,2023-12
2023-12-10,SP2,Elche,Cartagena,home,away,0.588108,0.013698,-0.006271,1.73,0.25,False,-0.25,2023-12
2023-12-20,SP2,Leganes,Tenerife,draw,draw,0.36097,0.012758,0.009815,2.9,0.25,True,0.47,2023-12
2024-01-20,SP2,Amorebieta,Eldense,draw,away,0.360382,0.012364,0.009252,2.9,1.0,False,-1.0,2024-01
2024-01-21,SP2,Huesca,Eibar,draw,away,0.348838,0.012364,0.009424,3.0,1.0,False,-1.0,2024-01
2024-01-27,SP2,Oviedo,Leganes,draw,home,0.354417,0.012364,-0.008045,2.9,1.0,False,-1.0,2024-01
2024-02-05,SP2,Zaragoza,Sp Gijon,draw,home,0.359997,0.012103,0.008892,2.9,1.0,False,-1.0,2024-02
2024-02-09,SP2,Levante,Leganes,draw,draw,0.351194,0.012103,0.017272,3.0,1.0,True,2.0,2024-02
2024-02-24,SP2,Santander,Leganes,draw,home,0.359204,0.012103,0.006593,2.9,1.0,False,-1.0,2024-02
2024-02-25,SP2,Alcorcon,Tenerife,draw,draw,0.355478,0.012103,-0.004214,2.9,1.0,True,1.9,2024-02
2024-03-08,SP2,Huesca,Andorra,draw,home,0.368213,0.012034,-0.002699,2.8,1.0,False,-1.0,2024-03
2024-03-09,SP2,Mirandes,Eldense,draw,home,0.363671,0.012034,0.012713,2.88,1.0,False,-1.0,2024-03
2024-03-10,SP2,Santander,Tenerife,draw,home,0.369887,0.012034,0.037773,2.9,1.0,False,-1.0,2024-03
2024-03-15,SP2,Eldense,Cartagena,draw,draw,0.355299,0.012034,-0.004533,2.9,1.0,True,1.9,2024-03
2024-03-16,SP2,Tenerife,Huesca,draw,draw,0.346251,0.012034,0.002651,3.0,1.0,True,2.0,2024-03
2024-03-24,SP2,Huesca,Burgos,draw,home,0.364193,0.012034,0.014217,2.88,1.0,False,-1.0,2024-03
2024-03-30,SP2,Albacete,Huesca,draw,draw,0.367014,0.012034,0.022342,2.88,1.0,True,1.88,2024-03
2024-03-31,SP2,Ferrol,Elche,draw,home,0.370942,0.012034,0.040833,2.9,1.0,False,-1.0,2024-03
2024-04-07,SP2,Huesca,Leganes,draw,draw,0.376309,0.011957,0.020186,2.8,1.0,True,1.8,2024-04
2024-04-07,SP2,Tenerife,Eibar,draw,home,0.362997,0.011957,0.018016,2.9,1.0,False,-1.0,2024-04
2024-04-14,SP2,Zaragoza,Elche,draw,draw,0.363595,0.011957,0.012719,2.88,1.0,True,1.88,2024-04
2024-04-14,SP2,Ferrol,Huesca,draw,home,0.359301,0.011957,0.007299,2.9,1.0,False,-1.0,2024-04
2024-04-19,SP2,Tenerife,Leganes,draw,draw,0.518696,0.011957,0.332724,2.63,2.23,True,3.64,2024-04
2024-04-20,SP2,Huesca,Zaragoza,draw,away,0.502166,0.011957,0.323565,2.7,2.09,False,-2.09,2024-04
2024-05-04,SP2,Huesca,Oviedo,draw,away,0.371476,0.012136,0.042086,2.9,1.0,False,-1.0,2024-05
2024-05-05,SP2,Eldense,Leganes,draw,away,0.366338,0.012136,0.027185,2.9,1.0,False,-1.0,2024-05
2024-05-12,SP2,Cartagena,Tenerife,draw,home,0.376927,0.012136,0.057892,2.9,1.0,False,-1.0,2024-05
2024-05-12,SP2,Albacete,Leganes,draw,home,0.370695,0.012136,0.039819,2.9,1.0,False,-1.0,2024-05
2024-05-26,SP2,Burgos,Tenerife,draw,draw,0.322155,0.012136,-0.007941,3.2,1.0,True,2.2,2024-05
2024-12-07,SP2,La Coruna,Zaragoza,draw,draw,0.319776,0.012919,-0.002715,3.25,1.0,True,2.25,2024-12
2024-12-08,SP2,Burgos,Eldense,draw,home,0.323971,0.012919,-0.004633,3.2,1.0,False,-1.0,2024-12
2025-01-11,SP2,Huesca,Mirandes,draw,home,0.384744,0.012481,0.042336,2.8,1.0,False,-1.0,2025-01
2025-01-11,SP2,Ferrol,Cartagena,draw,draw,0.321436,0.012481,0.004103,3.25,1.0,True,2.25,2025-01
2025-01-18,SP2,Levante,Granada,draw,home,0.325557,0.012481,0.001841,3.2,1.0,False,-1.0,2025-01
2025-02-08,SP2,Sp Gijon,Eibar,draw,draw,0.323806,0.012183,-0.002806,3.2,1.0,True,2.2,2025-02
2025-02-16,SP2,Huesca,Granada,draw,draw,0.404014,0.012183,0.097125,2.8,1.0,True,1.8,2025-02
2025-03-08,SP2,Zaragoza,Eldense,draw,away,0.324606,0.012079,8.8e-05,3.2,1.0,False,-1.0,2025-03
2025-03-29,SP2,Eldense,Burgos,draw,draw,0.399418,0.012079,0.115537,2.88,1.0,True,1.88,2025-03
2025-03-29,SP2,Almeria,Levante,draw,home,0.316905,0.012079,-0.009315,3.25,1.0,False,-1.0,2025-03
2025-03-30,SP2,Huesca,Sp Gijon,draw,home,0.399224,0.012079,0.084007,2.8,1.0,False,-1.0,2025-03
2025-04-12,SP2,Tenerife,Burgos,draw,draw,0.383756,0.012018,0.040868,2.8,1.0,True,1.8,2025-04
2025-05-03,SP2,Huesca,Oviedo,draw,away,0.39142,0.012187,0.061855,2.8,1.0,False,-1.0,2025-05
2025-08-23,SP2,Ceuta,Sp Gijon,draw,away,0.368616,0.01272,0.02498,2.88,1.0,False,-1.0,2025-08
