bet_date,settlement_date,league,home_team,away_team,outcome,actual_result,odds,stake,won,profit,rule_label,month,season,open_home,close_home,open_draw,close_draw,open_away,close_away,close_odds,open_odds_reference,clv,raw_closing_price_edge,no_vig_closing_market_probability,no_vig_closing_edge,odds_band
2022-08-13,2022-08-14,I2,Palermo,Perugia,draw,home,3.18,10.0,False,-10.0,AVG_OPEN_rulesi2_train30_n120_ev0p02_top1_ridge10_cap0.08|I2_draw_2p8_3p5,2022-08,2022-23,2.25,2.39,3.18,3.08,3.26,3.09,3.08,3.18,0.032467532467532534,0.032467532467532534,0.30437076266820534,-0.03210097471510698,"[2.8,3.3)"
2022-08-14,2022-08-15,I2,Venezia,Genoa,draw,away,3.24,10.0,False,-10.0,AVG_OPEN_rulesi2_train30_n120_ev0p02_top1_ridge10_cap0.08|I2_draw_2p8_3p5,2022-08,2022-23,3.38,4.05,3.24,3.34,2.17,1.93,3.34,3.24,-0.029940119760478945,-0.029940119760478945,0.281273277509293,-0.08867458086989066,"[2.8,3.3)"
2022-08-20,2022-08-21,I2,Perugia,Parma,draw,draw,3.17,10.0,True,21.7,AVG_OPEN_rulesi2_train30_n120_ev0p02_top1_ridge10_cap0.08|I2_draw_2p8_3p5,2022-08,2022-23,2.8,2.83,3.17,3.12,2.56,2.55,3.12,3.17,0.01602564102564097,0.01602564102564097,0.3006611921456872,-0.04690402089817158,"[2.8,3.3)"
2022-08-21,2022-08-22,I2,Cagliari,Cittadella,draw,home,3.39,10.0,False,-10.0,AVG_OPEN_rulesi2_train30_n120_ev0p02_top1_ridge10_cap0.08|I2_draw_2p8_3p5,2022-08,2022-23,1.92,2.09,3.39,3.17,4.0,3.67,3.17,3.39,0.06940063091482651,0.06940063091482651,0.2958136485470217,0.0028082685744035274,"[3.3,3.5)"
2022-08-27,2022-08-28,I2,Palermo,Ascoli,draw,away,3.2,10.0,False,-10.0,AVG_OPEN_rulesi2_train30_n120_ev0p02_top1_ridge10_cap0.08|I2_draw_2p8_3p5,2022-08,2022-23,2.34,2.28,3.2,3.17,3.08,3.2,3.17,3.2,0.009463722397476504,0.009463722397476504,0.2957725923883961,-0.0535277043571325,"[2.8,3.3)"
2022-08-28,2022-08-29,I2,Reggina,Sudtirol,draw,home,3.24,10.0,False,-10.0,AVG_OPEN_rulesi2_train30_n120_ev0p02_top1_ridge10_cap0.08|I2_draw_2p8_3p5,2022-08,2022-23,2.02,2.01,3.24,3.18,3.82,3.93,3.18,3.24,0.018867924528301883,0.018867924528301883,0.2948765328405845,-0.044600033596506106,"[2.8,3.3)"
2022-09-03,2022-09-04,I2,Reggina,Palermo,draw,home,3.24,10.0,False,-10.0,AVG_OPEN_rulesi2_train30_n120_ev0p02_top1_ridge10_cap0.08|I2_draw_2p8_3p5,2022-09,2022-23,2.17,2.12,3.24,3.23,3.38,3.54,3.23,3.24,0.003095975232198178,0.003095975232198178,0.29103487858034793,-0.057046993399672674,"[2.8,3.3)"
2022-09-10,2022-09-11,I2,Cosenza,Bari,draw,away,3.21,10.0,False,-10.0,AVG_OPEN_rulesi2_train30_n120_ev0p02_top1_ridge10_cap0.08|I2_draw_2p8_3p5,2022-09,2022-23,3.07,3.11,3.21,3.14,2.33,2.35,3.14,3.21,0.022292993630573132,0.022292993630573132,0.2988807053560109,-0.04059293580720502,"[2.8,3.3)"
2022-09-17,2022-09-18,I2,Cagliari,Bari,draw,away,3.49,10.0,False,-10.0,AVG_OPEN_rulesi2_train30_n120_ev0p02_top1_ridge10_cap0.08|I2_draw_2p8_3p5,2022-09,2022-23,1.82,1.87,3.49,3.52,4.33,4.07,3.52,3.49,-0.008522727272727182,-0.008522727272727182,0.26686465846414936,-0.06864234196011865,"[3.3,3.5)"
2022-09-30,2022-10-01,I2,Cosenza,Como,draw,home,3.2,10.0,False,-10.0,AVG_OPEN_rulesi2_train30_n120_ev0p02_top1_ridge10_cap0.08|I2_draw_2p8_3p5,2022-09,2022-23,2.65,2.91,3.2,3.17,2.69,2.47,3.17,3.2,0.009463722397476504,0.009463722397476504,0.29649414453249073,-0.051218737496029565,"[2.8,3.3)"
