candidate_id,band_low,band_high,odds_source,bets,profit,roi_pct,positive_months,negative_months
market-bias-i2-draw-2.80-3.30-plus-sp1-home-v1,2.8,3.3,AVG_OPEN,313,110.5,3.53,9,7
market-bias-i2-draw-2.80-3.30-plus-sp1-home-v1,2.8,3.3,AVG_CLOSE,295,134.4,4.56,8,5
market-bias-i2-draw-2.80-3.40-plus-sp1-home-v1,2.8,3.4,AVG_OPEN,363,191.6,5.28,9,8
market-bias-i2-draw-2.80-3.40-plus-sp1-home-v1,2.8,3.4,AVG_CLOSE,329,60.7,1.84,7,6
market-bias-i2-draw-2.80-3.50-plus-sp1-home-v1,2.8,3.5,AVG_OPEN,483,271.8,5.63,11,9
market-bias-i2-draw-2.80-3.50-plus-sp1-home-v1,2.8,3.5,AVG_CLOSE,374,106.3,2.84,7,7
market-bias-i2-draw-2.90-3.30-plus-sp1-home-v1,2.9,3.3,AVG_OPEN,264,235.4,8.92,9,6
market-bias-i2-draw-2.90-3.30-plus-sp1-home-v1,2.9,3.3,AVG_CLOSE,252,-75.5,-3.0,6,6
market-bias-i2-draw-2.90-3.40-plus-sp1-home-v1,2.9,3.4,AVG_OPEN,345,171.4,4.97,9,8
market-bias-i2-draw-2.90-3.40-plus-sp1-home-v1,2.9,3.4,AVG_CLOSE,258,-152.3,-5.9,4,7
market-bias-i2-draw-2.90-3.50-plus-sp1-home-v1,2.9,3.5,AVG_OPEN,366,190.4,5.2,10,7
market-bias-i2-draw-2.90-3.50-plus-sp1-home-v1,2.9,3.5,AVG_CLOSE,203,-78.9,-3.89,3,6
market-bias-i2-draw-3.00-3.30-plus-sp1-home-v1,3.0,3.3,AVG_OPEN,216,110.0,5.09,7,7
market-bias-i2-draw-3.00-3.30-plus-sp1-home-v1,3.0,3.3,AVG_CLOSE,92,6.5,0.71,3,4
market-bias-i2-draw-3.00-3.40-plus-sp1-home-v1,3.0,3.4,AVG_OPEN,276,180.2,6.53,8,8
market-bias-i2-draw-3.00-3.40-plus-sp1-home-v1,3.0,3.4,AVG_CLOSE,132,-49.3,-3.73,3,5
market-bias-i2-draw-3.00-3.50-plus-sp1-home-v1,3.0,3.5,AVG_OPEN,331,155.2,4.69,9,8
market-bias-i2-draw-3.00-3.50-plus-sp1-home-v1,3.0,3.5,AVG_CLOSE,138,-36.9,-2.67,3,5
market-bias-i2-draw-3.10-3.40-plus-sp1-home-v1,3.1,3.4,AVG_OPEN,119,22.1,1.86,6,5
market-bias-i2-draw-3.10-3.40-plus-sp1-home-v1,3.1,3.4,AVG_CLOSE,50,-66.2,-13.24,1,4
market-bias-i2-draw-3.10-3.50-plus-sp1-home-v1,3.1,3.5,AVG_OPEN,108,69.0,6.39,5,5
market-bias-i2-draw-3.10-3.50-plus-sp1-home-v1,3.1,3.5,AVG_CLOSE,52,-51.8,-9.96,2,3
