combo_id,window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
"AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2013-04,2014-03,0,0.0,0.0,0.0,0.0,0,0,False
"AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2013-10,2014-09,0,0.0,0.0,0.0,0.0,0,0,False
"AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2014-04,2015-03,0,0.0,0.0,0.0,0.0,0,0,False
"AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2014-10,2015-09,0,0.0,0.0,0.0,0.0,0,0,False
"AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2015-04,2016-03,2,2.0,3.93,196.5,0.0,1,0,False
"AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2015-10,2016-09,19,19.0,-0.2,-1.05,8.0,2,2,False
"AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2016-04,2017-03,17,17.0,-4.13,-24.29,8.0,1,2,False
"AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2016-10,2017-09,0,0.0,0.0,0.0,0.0,0,0,False
"AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2017-04,2018-03,0,0.0,0.0,0.0,0.0,0,0,False
"AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2017-10,2018-09,0,0.0,0.0,0.0,0.0,0,0,False
"AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2018-04,2019-03,10,10.0,5.1,51.0,5.0,1,0,False
"AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2018-10,2019-09,57,57.0,5.91,10.37,9.64,3,1,False
"AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2019-04,2020-03,47,47.0,0.81,1.72,10.64,2,1,False
"AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2019-10,2020-09,0,0.0,0.0,0.0,0.0,0,0,False
