combo_id,window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)",2013-04,2014-03,155,155.0,5.97,3.85,23.91,3,8,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)",2013-10,2014-09,149,149.0,15.35,10.3,16.51,4,6,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)",2014-04,2015-03,151,151.0,5.78,3.83,19.74,5,5,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)",2014-10,2015-09,160,160.0,3.98,2.49,19.09,6,5,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)",2015-04,2016-03,155,155.0,26.65,17.19,11.76,8,3,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)",2015-10,2016-09,141,141.0,39.4,27.94,8.2,9,2,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)",2016-04,2017-03,130,130.0,46.42,35.71,7.25,9,2,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)",2016-10,2017-09,145,145.0,14.41,9.94,27.7,7,4,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)",2017-04,2018-03,156,156.0,-7.23,-4.63,36.92,6,5,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)",2017-10,2018-09,148,148.0,31.18,21.07,11.89,7,4,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)",2018-04,2019-03,153,153.0,37.39,24.44,10.63,7,4,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)",2018-10,2019-09,174,174.0,12.74,7.32,16.48,5,6,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)",2019-04,2020-03,161,161.0,1.27,0.79,21.9,5,6,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)",2019-10,2020-09,134,134.0,21.55,16.08,12.93,6,3,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)",2020-04,2021-03,157,157.0,32.06,20.42,10.08,7,3,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)",2020-10,2021-09,166,166.0,24.72,14.89,10.47,8,4,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)",2021-04,2022-03,151,151.0,0.21,0.14,16.25,5,6,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)",2021-10,2022-09,164,164.0,-13.65,-8.32,22.2,4,7,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)",2022-04,2023-03,154,154.0,13.68,8.88,18.29,5,5,False
