month,decision,reason,prior_candidates,candidate_count,selected,mean_predicted_ev
2022-08,INVEST,,113.0,11.0,7.0,0.0404
2022-09,INVEST,,124.0,13.0,6.0,0.0537
2022-10,INVEST,,137.0,11.0,6.0,0.0527
2022-11,INVEST,,148.0,7.0,2.0,0.0259
2022-12,INVEST,,155.0,3.0,2.0,0.0451
2023-01,INVEST,,158.0,12.0,5.0,0.052
2023-02,INVEST,,170.0,13.0,5.0,0.0284
2023-03,INVEST,,171.0,8.0,4.0,0.0351
2023-04,INVEST,,170.0,19.0,13.0,0.0542
2023-05,INVEST,,178.0,14.0,5.0,0.0459
2023-06,ABSTAIN,no_candidates,,,,
2023-07,ABSTAIN,no_candidates,,,,
2023-08,INVEST,,158.0,11.0,9.0,0.0536
2023-09,INVEST,,152.0,14.0,11.0,0.0645
2023-10,INVEST,,155.0,9.0,5.0,0.0587
2023-11,INVEST,,150.0,6.0,5.0,0.0627
2023-12,INVEST,,151.0,13.0,8.0,0.0685
2024-01,INVEST,,164.0,16.0,12.0,0.0601
2024-02,INVEST,,180.0,15.0,10.0,0.0634
2024-03,INVEST,,184.0,13.0,6.0,0.025
2024-04,INVEST,,184.0,16.0,11.0,0.0521
2024-05,INVEST,,189.0,12.0,6.0,0.0529
2024-06,ABSTAIN,no_candidates,,,,
2024-07,ABSTAIN,no_candidates,,,,
2024-08,INVEST,,179.0,17.0,3.0,0.0557
2024-09,INVEST,,183.0,11.0,4.0,0.0386
2024-10,INVEST,,186.0,7.0,5.0,0.0452
2024-11,INVEST,,174.0,5.0,2.0,0.0266
2024-12,INVEST,,165.0,19.0,6.0,0.0526
2025-01,INVEST,,184.0,12.0,5.0,0.0444
2025-02,ABSTAIN,no_positive_feature_edge,196.0,12.0,0.0,0.0
2025-03,INVEST,,197.0,15.0,2.0,0.052
2025-04,INVEST,,198.0,13.0,3.0,0.0289
2025-05,INVEST,,202.0,9.0,2.0,0.0477
2025-06,ABSTAIN,no_candidates,,,,
2025-07,ABSTAIN,no_candidates,,,,
2025-08,ABSTAIN,no_positive_feature_edge,176.0,13.0,0.0,0.0
2025-09,INVEST,,174.0,14.0,4.0,0.0245
2025-10,INVEST,,175.0,8.0,1.0,0.0082
2025-11,INVEST,,167.0,11.0,3.0,0.0273
2025-12,INVEST,,166.0,14.0,4.0,0.0317
2026-01,INVEST,,180.0,12.0,4.0,0.0346
2026-02,INVEST,,192.0,19.0,10.0,0.0309
2026-03,INVEST,,194.0,9.0,7.0,0.0386
2026-04,INVEST,,192.0,18.0,12.0,0.0331
2026-05,INVEST,,203.0,14.0,6.0,0.0437
