date,month,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_probability,market_prob_bucket,favorite_relation,odds_source,won,unit_profit,rule_label,rule_description,league_prior_matches,league_draw_rate,form_points_diff,form_goal_diff_delta,season_points_per_match_delta,season_goal_diff_per_match_delta,rest_days_delta,lambda_total,lambda_diff,bet_date,season,log_odds,is_draw,is_home,league_prior_matches_scaled,abs_form_points_diff,abs_form_goal_diff_delta,abs_season_points_per_match_delta,abs_season_goal_diff_per_match_delta,predicted_probability,predicted_ev
2022-08-13,2022-08,P1,Casa Pia,Benfica,away,away,1.23,"[1.0,1.8)",0.7684722006661812,"[0.55,1.00]",market_favorite,AVG_OPEN,True,0.22999999999999998,AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08|ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,316,0.281646,-1.0,-1.2,-1.2,-1.485714,-2.0,2.352509,0.079932,2022-08-13,2022,0.20701416938432612,0.0,0.0,0.316,1.0,1.2,1.2,1.485714,0.8484722006661811,0.043620806819402835
2022-08-14,2022-08,P1,Vizela,Porto,away,away,1.28,"[1.0,1.8)",0.7394819885670502,"[0.55,1.00]",market_favorite,AVG_OPEN,True,0.28,AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08|ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,318,0.279874,-1.0,-2.2,-1.657143,-2.514286,0.0,2.311885,0.404916,2022-08-14,2022,0.2468600779315258,0.0,0.0,0.318,1.0,2.2,1.657143,2.514286,0.8194819885670501,0.04893694536582416
2022-08-21,2022-08,P1,Sp Braga,Maritimo,home,home,1.38,"[1.0,1.8)",0.6822836372519808,"[0.55,1.00]",market_favorite,AVG_OPEN,True,0.3799999999999999,AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08|ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,328,0.277439,1.8,2.2,0.861111,0.944444,3.0,2.446108,0.668865,2022-08-21,2022,0.3220834991691132,0.0,1.0,0.328,1.8,2.2,0.861111,0.944444,0.7622836372519808,0.05195141940773329
2022-08-27,2022-08,P1,Boavista,Benfica,away,away,1.37,"[1.0,1.8)",0.6891765961718991,"[0.55,1.00]",market_favorite,AVG_OPEN,True,0.3700000000000001,AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08|ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,333,0.276276,-0.8,-1.4,-1.033033,-1.823574,-8.0,2.3408,0.173599,2022-08-27,2022,0.3148107398400336,0.0,0.0,0.333,0.8,1.4,1.033033,1.823574,0.7614821478359642,0.04323054253527103
2022-08-28,2022-08,P1,Arouca,Sp Braga,away,away,1.69,"[1.0,1.8)",0.5590160139727699,"[0.55,1.00]",market_favorite,AVG_OPEN,True,0.69,AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08|ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,336,0.27381,-0.6,-2.2,-0.945946,-1.486486,1.0,2.341816,0.165471,2022-08-28,2022,0.5247285289349821,0.0,0.0,0.336,0.6,2.2,0.945946,1.486486,0.6390160139727699,0.07993706361398112
2022-09-02,2022-09,P1,Estoril,Sp Lisbon,away,away,1.47,"[1.0,1.8)",0.6430649854510184,"[0.55,1.00]",market_favorite,AVG_OPEN,True,0.47,AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08|ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,342,0.27193,0.0,0.0,-1.131579,-1.342105,1.0,2.345613,0.135093,2022-09-02,2022,0.3852624007906449,0.0,0.0,0.342,0.0,0.0,1.131579,1.342105,0.7230649854510184,0.06290552861299692
2022-09-03,2022-09,P1,Gil Vicente,Porto,away,away,1.44,"[1.0,1.8)",0.657288918746211,"[0.55,1.00]",market_favorite,AVG_OPEN,True,0.43999999999999995,AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08|ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,344,0.270349,-1.4,-2.6,-1.157895,-1.710526,-1.0,2.335191,0.218471,2022-09-03,2022,0.36464311358790924,0.0,0.0,0.344,1.4,2.6,1.157895,1.710526,0.7372889187462109,0.061696042994543676
2022-09-10,2022-09,P1,Famalicao,Benfica,away,away,1.41,"[1.0,1.8)",0.6694348323089373,"[0.55,1.00]",market_favorite,AVG_OPEN,True,0.4099999999999999,AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08|ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,352,0.269886,-2.2,-3.0,-1.179487,-1.769231,-2.0,2.334979,0.220169,2022-09-10,2022,0.34358970439007686,0.0,0.0,0.352,2.2,3.0,1.179487,1.769231,0.7494348323089373,0.056703113555601536
2022-09-11,2022-09,P1,Rio Ave,Sp Braga,away,away,1.61,"[1.0,1.8)",0.585709597080912,"[0.55,1.00]",market_favorite,AVG_OPEN,True,0.6100000000000001,AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08|ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,355,0.267606,-1.6,-3.4,-1.0,-1.323077,-2.0,2.359544,0.023644,2022-09-11,2022,0.4762341789963717,0.0,0.0,0.355,1.6,3.4,1.0,1.323077,0.6657095970809119,0.07179245130026835
2022-09-17,2022-09,P1,Boavista,Sp Lisbon,away,home,1.47,"[1.0,1.8)",0.6428473897410222,"[0.55,1.00]",market_favorite,AVG_OPEN,False,-1.0,AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08|ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,361,0.263158,0.0,-1.2,-1.125,-1.7,-1.0,2.337793,0.197652,2022-09-17,2022,0.3852624007906449,0.0,0.0,0.361,0.0,1.2,1.125,1.7,0.7228473897410221,0.06258566291930245
2022-10-01,2022-10,P1,Guimaraes,Benfica,away,draw,1.37,"[1.0,1.8)",0.6886612203624365,"[0.55,1.00]",market_favorite,AVG_OPEN,False,-1.0,AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08|ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,371,0.266846,-2.2,-2.6,-0.902439,-1.341463,0.0,2.349385,0.104923,2022-10-01,2022,0.3148107398400336,0.0,0.0,0.371,2.2,2.6,0.902439,1.341463,0.7686612203624364,0.053065871896538
2022-10-08,2022-10,P1,Santa Clara,Sp Lisbon,away,away,1.51,"[1.0,1.8)",0.6236643335274964,"[0.55,1.00]",market_favorite,AVG_OPEN,True,0.51,AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08|ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,379,0.269129,-1.0,-1.4,-1.261905,-1.785714,-2.0,2.331042,0.251668,2022-10-08,2022,0.412109650826833,0.0,0.0,0.379,1.0,1.4,1.261905,1.785714,0.7036643335274964,0.06253314362651952
2022-10-09,2022-10,P1,Sp Braga,Chaves,home,away,1.29,"[1.0,1.8)",0.7327445207719987,"[0.55,1.00]",market_favorite,AVG_OPEN,False,-1.0,AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08|ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,383,0.266319,1.4,1.8,0.875,1.107143,1.0,2.441837,0.634693,2022-10-09,2022,0.25464221837358075,0.0,1.0,0.383,1.4,1.8,0.875,1.107143,0.8127445207719987,0.0484404317958782
2022-10-22,2022-10,P1,Famalicao,Pacos Ferreira,home,home,1.71,"[1.0,1.8)",0.5513805141225009,"[0.55,1.00]",market_favorite,AVG_OPEN,True,0.71,AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08|ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,388,0.265464,0.2,0.2,0.139535,0.325581,-2.0,2.421697,0.47358,2022-10-22,2022,0.5364933705145685,0.0,1.0,0.388,0.2,0.2,0.139535,0.325581,0.6313805141225008,0.0796606791494765
2022-10-29,2022-10,P1,Arouca,Sp Lisbon,away,home,1.45,"[1.0,1.8)",0.6465181966322651,"[0.55,1.00]",market_favorite,AVG_OPEN,False,-1.0,AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08|ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,397,0.261965,-1.2,-1.2,-1.363636,-2.0,-1.0,2.321934,0.324528,2022-10-29,2022,0.371563556432483,0.0,0.0,0.397,1.2,1.2,1.363636,2.0,0.726518196632265,0.053451385116784156
2022-11-05,2022-11,P1,Sp Lisbon,Guimaraes,home,home,1.33,"[1.0,1.8)",0.7102011696159293,"[0.55,1.00]",market_favorite,AVG_OPEN,True,0.33000000000000007,AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08|ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,406,0.263547,-0.4,0.0,0.8,1.0,2.0,2.439217,0.613738,2022-11-05,2022,0.28517894223366247,0.0,1.0,0.406,0.4,0.0,0.8,1.0,0.7845441844191973,0.043443765277532354
2022-11-06,2022-11,P1,Estoril,Benfica,away,away,1.29,"[1.0,1.8)",0.7316263181591002,"[0.55,1.00]",market_favorite,AVG_OPEN,True,0.29000000000000004,AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08|ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,409,0.261614,-1.4,-2.8,-1.111111,-1.711111,-1.0,2.332123,0.24302,2022-11-06,2022,0.25464221837358075,0.0,0.0,0.409,1.4,2.8,1.111111,1.711111,0.8083133716867446,0.04272424947590059
2022-11-13,2022-11,P1,Guimaraes,Maritimo,home,home,1.7,"[1.0,1.8)",0.5547994744265102,"[0.55,1.00]",market_favorite,AVG_OPEN,True,0.7,AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08|ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,416,0.262019,0.8,0.0,0.521739,0.695652,1.0,2.434966,0.579729,2022-11-13,2022,0.5306282510621704,0.0,1.0,0.416,0.8,0.0,0.521739,0.695652,0.6347994744265102,0.07915910652506719
2023-01-05,2023-01,P1,Santa Clara,Sp Braga,away,away,1.68,"[1.0,1.8)",0.5616017710174425,"[0.55,1.00]",market_favorite,AVG_OPEN,True,0.6799999999999999,AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08|ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,431,0.25522,-0.8,-0.8,-0.895833,-1.25,1.0,2.341722,0.16622,2023-01-05,2023,0.5187937934151675,0.0,0.0,0.431,0.8,0.8,0.895833,1.25,0.6416017710174424,0.07789097530930333
