date,month,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_probability,market_prob_bucket,favorite_relation,odds_source,won,unit_profit,rule_label,rule_description,league_prior_matches,league_draw_rate,form_points_diff,form_goal_diff_delta,season_points_per_match_delta,season_goal_diff_per_match_delta,rest_days_delta,lambda_total,lambda_diff,bet_date,season,log_odds,is_draw,is_home,league_prior_matches_scaled,abs_form_points_diff,abs_form_goal_diff_delta,abs_season_points_per_match_delta,abs_season_goal_diff_per_match_delta,predicted_probability,predicted_ev
2022-08-15,2022-08,SP1,Betis,Elche,home,home,1.58,"[1.0,1.8)",0.6061015145393809,"[0.55,1.00]",market_favorite,AVG_CLOSE,True,0.5800000000000001,AVG_CLOSE_rulesra5ae079e_train18_n80_ev0p0_top1_ridge35_cap0.08|ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,387,0.29199,0.8,1.6,0.605263,0.894737,0.0,2.438402,0.60722,2022-08-15,2022,0.4574248470388755,0.0,1.0,0.387,0.8,1.6,0.605263,0.894737,0.6861015145393808,0.08404039297222177
2022-08-19,2022-08,SP1,Sevilla,Valladolid,home,draw,1.54,"[1.0,1.8)",0.6233501243384556,"[0.55,1.00]",market_favorite,AVG_CLOSE,False,-1.0,AVG_CLOSE_rulesra5ae079e_train18_n80_ev0p0_top1_ridge35_cap0.08|ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,390,0.292308,-1.2,-1.0,1.794872,3.564103,1.0,2.394004,0.252034,2022-08-19,2022,0.43178241642553783,0.0,1.0,0.39,1.2,1.0,1.794872,3.564103,0.7033501243384556,0.08315919148122153
2022-08-21,2022-08,SP1,Ath Bilbao,Valencia,home,home,1.69,"[1.0,1.8)",0.5675978024899208,"[0.55,1.00]",market_favorite,AVG_CLOSE,True,0.69,AVG_CLOSE_rulesra5ae079e_train18_n80_ev0p0_top1_ridge35_cap0.08|ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,395,0.291139,-0.6,0.0,0.128205,0.282051,-1.0,2.411056,0.388451,2022-08-21,2022,0.5247285289349821,0.0,1.0,0.395,0.6,0.0,0.128205,0.282051,0.6475978024899207,0.09444028620796607
2022-08-28,2022-08,SP1,Barcelona,Valladolid,home,home,1.14,"[1.0,1.8)",0.8407808066006247,"[0.55,1.00]",market_favorite,AVG_CLOSE,True,0.1399999999999999,AVG_CLOSE_rulesra5ae079e_train18_n80_ev0p0_top1_ridge35_cap0.08|ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,405,0.28642,-0.4,-0.0,1.425,2.325,-2.0,2.409812,0.378496,2022-08-28,2022,0.131028262406404,0.0,1.0,0.405,0.4,0.0,1.425,2.325,0.8775224460742106,0.00037558852459995684
2022-09-02,2022-09,SP1,Celta,Cadiz,home,home,1.62,"[1.0,1.8)",0.5921772266866744,"[0.55,1.00]",market_favorite,AVG_CLOSE,True,0.6200000000000001,AVG_CLOSE_rulesra5ae079e_train18_n80_ev0p0_top1_ridge35_cap0.08|ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,410,0.285366,0.6,0.6,0.268293,0.512195,3.0,2.420436,0.463491,2022-09-02,2022,0.4824261492442928,0.0,1.0,0.41,0.6,0.6,0.268293,0.512195,0.6721772266866743,0.08892710723241248
2022-09-03,2022-09,SP1,Real Madrid,Betis,home,home,1.37,"[1.0,1.8)",0.6966500797600057,"[0.55,1.00]",market_favorite,AVG_CLOSE,True,0.3700000000000001,AVG_CLOSE_rulesra5ae079e_train18_n80_ev0p0_top1_ridge35_cap0.08|ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,411,0.284672,-0.4,-0.2,0.512195,0.682927,-2.0,2.428927,0.53142,2022-09-03,2022,0.3148107398400336,0.0,1.0,0.411,0.4,0.2,0.512195,0.682927,0.7624310924619434,0.04453059667286263
2022-09-04,2022-09,SP1,Ath Bilbao,Espanol,home,away,1.51,"[1.0,1.8)",0.6345109381411854,"[0.55,1.00]",market_favorite,AVG_CLOSE,False,-1.0,AVG_CLOSE_rulesra5ae079e_train18_n80_ev0p0_top1_ridge35_cap0.08|ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,415,0.286747,1.4,2.0,0.463415,0.707317,-1.0,2.437183,0.597467,2022-09-04,2022,0.412109650826833,0.0,1.0,0.415,1.4,2.0,0.463415,0.707317,0.6896690204291281,0.04140022084798356
2022-09-17,2022-09,SP1,Ath Bilbao,Vallecano,home,home,1.62,"[1.0,1.8)",0.5917640081351929,"[0.55,1.00]",market_favorite,AVG_CLOSE,True,0.6200000000000001,AVG_CLOSE_rulesra5ae079e_train18_n80_ev0p0_top1_ridge35_cap0.08|ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,431,0.276102,0.6,1.4,0.372093,0.581395,-1.0,2.436876,0.595012,2022-09-17,2022,0.4824261492442928,0.0,1.0,0.431,0.6,1.4,0.372093,0.581395,0.6717640081351929,0.08825769317901244
2022-09-18,2022-09,SP1,Betis,Girona,home,home,1.73,"[1.0,1.8)",0.5556553921894367,"[0.55,1.00]",market_favorite,AVG_CLOSE,True,0.73,AVG_CLOSE_rulesra5ae079e_train18_n80_ev0p0_top1_ridge35_cap0.08|ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,435,0.273563,1.0,0.8,0.390698,0.427907,-2.0,2.413055,0.404443,2022-09-18,2022,0.5481214085096876,0.0,1.0,0.435,1.0,0.8,0.390698,0.427907,0.6356553921894367,0.0996838284877255
2022-10-03,2022-10,SP1,Vallecano,Elche,home,home,1.56,"[1.0,1.8)",0.6142033586765812,"[0.55,1.00]",market_favorite,AVG_CLOSE,True,0.56,AVG_CLOSE_rulesra5ae079e_train18_n80_ev0p0_top1_ridge35_cap0.08|ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,449,0.273942,1.0,2.0,0.136364,0.318182,0.0,2.405408,0.343267,2022-10-03,2022,0.44468582126144574,0.0,1.0,0.449,1.0,2.0,0.136364,0.318182,0.6942033586765811,0.08295723953546652
