source,columns,key,label,rule_id,rule_description,odds_source,candidate_count,selected_candidates,train_months,min_train_rows,min_predicted_ev,ridge,discovery_bets,discovery_profit,discovery_roi_pct,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,positive_seasons,negative_seasons,latest_season,latest_season_bets,latest_season_profit,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate,decision_reasons,decision
reports\sp1_home_prob_feature_candidate_rule\market_bias.csv,league|outcome|market_prob_bucket,"SP1|home|[0.55,1.00]",B365_CLOSE_rulesra5ae079e_train18_n120_ev0p0_top1_ridge10_cap0.08,ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,B365_CLOSE,520,194,18,120,0.0,10.0,2575,189.7,7.37,194,280.0,14.43,52.7,23,15,3,1,2025-26,40,95.7,6,4,6,4,0.6667,[],RESEARCH_CANDIDATE_NEEDS_AUDIT
reports\sp1_home_prob_feature_candidate_rule\market_bias.csv,league|outcome|market_prob_bucket,"SP1|home|[0.55,1.00]",B365_CLOSE_rulesra5ae079e_train18_n80_ev0p0_top1_ridge10_cap0.08,ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,B365_CLOSE,520,203,18,80,0.0,10.0,2575,189.7,7.37,203,280.8,13.83,52.7,24,16,3,1,2025-26,40,95.7,6,4,6,4,0.6667,[],RESEARCH_CANDIDATE_NEEDS_AUDIT
reports\sp1_home_prob_feature_candidate_rule\market_bias.csv,league|outcome|market_prob_bucket,"SP1|home|[0.55,1.00]",B365_CLOSE_rulesra5ae079e_train18_n120_ev0p02_top1_ridge10_cap0.08,ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,B365_CLOSE,520,184,18,120,0.02,10.0,2575,189.7,7.37,184,243.0,13.21,52.7,23,15,3,1,2025-26,38,88.8,6,4,6,4,0.6667,[],RESEARCH_CANDIDATE_NEEDS_AUDIT
reports\sp1_home_prob_feature_candidate_rule\market_bias.csv,league|outcome|market_prob_bucket,"SP1|home|[0.55,1.00]",B365_CLOSE_rulesra5ae079e_train18_n80_ev0p02_top1_ridge35_cap0.08,ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,B365_CLOSE,520,190,18,80,0.02,35.0,2575,189.7,7.37,190,241.6,12.72,46.0,22,17,3,1,2025-26,40,77.4,6,4,6,4,0.6667,[],RESEARCH_CANDIDATE_NEEDS_AUDIT
reports\sp1_home_prob_feature_candidate_rule\market_bias.csv,league|outcome|market_prob_bucket,"SP1|home|[0.55,1.00]",B365_CLOSE_rulesra5ae079e_train18_n120_ev0p02_top1_ridge35_cap0.08,ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,B365_CLOSE,520,182,18,120,0.02,35.0,2575,189.7,7.37,182,230.8,12.68,46.0,21,16,3,1,2025-26,40,77.4,6,4,6,4,0.6667,[],RESEARCH_CANDIDATE_NEEDS_AUDIT
reports\sp1_home_prob_feature_candidate_rule\market_bias.csv,league|outcome|market_prob_bucket,"SP1|home|[0.55,1.00]",B365_CLOSE_rulesra5ae079e_train18_n80_ev0p02_top1_ridge10_cap0.08,ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,B365_CLOSE,520,193,18,80,0.02,10.0,2575,189.7,7.37,193,243.8,12.63,52.7,24,16,3,1,2025-26,38,88.8,6,4,6,4,0.6667,[],RESEARCH_CANDIDATE_NEEDS_AUDIT
reports\sp1_home_prob_feature_candidate_rule\market_bias.csv,league|outcome|market_prob_bucket,"SP1|home|[0.55,1.00]",B365_CLOSE_rulesra5ae079e_train18_n120_ev0p0_top1_ridge35_cap0.08,ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,B365_CLOSE,520,198,18,120,0.0,35.0,2575,189.7,7.37,198,241.2,12.18,52.7,22,16,3,1,2025-26,43,93.7,6,4,6,4,0.6667,[],RESEARCH_CANDIDATE_NEEDS_AUDIT
reports\sp1_home_prob_feature_candidate_rule\market_bias.csv,league|outcome|market_prob_bucket,"SP1|home|[0.55,1.00]",B365_CLOSE_rulesra5ae079e_train18_n80_ev0p0_top1_ridge35_cap0.08,ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,B365_CLOSE,520,207,18,80,0.0,35.0,2575,189.7,7.37,207,242.0,11.69,52.7,23,17,3,1,2025-26,43,93.7,6,4,6,4,0.6667,[],RESEARCH_CANDIDATE_NEEDS_AUDIT
reports\sp1_home_prob_feature_candidate_rule\market_bias.csv,league|outcome|market_prob_bucket,"SP1|home|[0.55,1.00]",B365_CLOSE_rulesra5ae079e_train30_n80_ev0p02_top1_ridge35_cap0.08,ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,B365_CLOSE,520,215,30,80,0.02,35.0,2575,189.7,7.37,215,248.6,11.56,57.8,25,15,4,0,2025-26,48,110.4,6,3,6,3,0.5,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
reports\sp1_home_prob_feature_candidate_rule\market_bias.csv,league|outcome|market_prob_bucket,"SP1|home|[0.55,1.00]",B365_CLOSE_rulesra5ae079e_train30_n120_ev0p02_top1_ridge35_cap0.08,ra5ae079e,rule_league_SP1_market_prob_bucket_0p55_1p00_outcome_home,B365_CLOSE,520,207,30,120,0.02,35.0,2575,189.7,7.37,207,237.8,11.49,57.8,24,14,4,0,2025-26,48,110.4,6,3,6,3,0.5,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
