date,bets,staked,settled_bets,settled_profit,equity,cooldown_active,skipped_reason
2022-10-03,1,10.0,0,0.0,0.0,False,
2022-10-04,0,0.0,1,7.2,7.2,False,
2022-10-05,0,0.0,0,0.0,7.2,False,
2022-10-06,0,0.0,0,0.0,7.2,False,
2022-10-07,0,0.0,0,0.0,7.2,False,
2022-10-08,1,10.0,0,0.0,7.2,False,
2022-10-09,0,0.0,1,4.5,11.7,False,
2022-10-10,0,0.0,0,0.0,11.7,False,
2022-10-11,0,0.0,0,0.0,11.7,False,
2022-10-12,0,0.0,0,0.0,11.7,False,
2022-10-13,0,0.0,0,0.0,11.7,False,
2022-10-14,0,0.0,0,0.0,11.7,False,
2022-10-15,0,0.0,0,0.0,11.7,False,
2022-10-16,1,10.0,0,0.0,11.7,False,
2022-10-17,1,10.0,1,5.7,17.4,False,
2022-10-18,1,10.0,1,5.7,23.1,False,
2022-10-19,1,10.0,1,-10.0,13.1,False,
2022-10-20,1,10.0,1,5.5,18.6,False,
2022-10-21,0,0.0,1,5.0,23.6,False,
2022-10-22,1,10.0,0,0.0,23.6,False,
2022-10-23,1,10.0,1,3.6,27.2,False,
2022-10-24,0,0.0,1,5.5,32.7,False,
2022-10-25,0,0.0,0,0.0,32.7,False,
2022-10-26,0,0.0,0,0.0,32.7,False,
2022-10-27,0,0.0,0,0.0,32.7,False,
2022-10-28,0,0.0,0,0.0,32.7,False,
2022-10-29,0,0.0,0,0.0,32.7,False,
2022-10-30,0,0.0,0,0.0,32.7,False,
2022-10-31,0,0.0,0,0.0,32.7,False,
2022-11-01,0,0.0,0,0.0,32.7,False,
2022-11-02,0,0.0,0,0.0,32.7,False,
2022-11-03,0,0.0,0,0.0,32.7,False,
2022-11-04,0,0.0,0,0.0,32.7,False,
2022-11-05,0,0.0,0,0.0,32.7,False,
2022-11-06,1,10.0,0,0.0,32.7,False,
2022-11-07,0,0.0,1,-10.0,22.7,False,
2022-11-08,1,10.0,0,0.0,22.7,False,
2022-11-09,0,0.0,1,4.0,26.7,False,
2022-11-10,0,0.0,0,0.0,26.7,False,
2022-11-11,0,0.0,0,0.0,26.7,False,
2022-11-12,0,0.0,0,0.0,26.7,False,
2022-11-13,0,0.0,0,0.0,26.7,False,
2022-11-14,0,0.0,0,0.0,26.7,False,
2022-11-15,0,0.0,0,0.0,26.7,False,
2022-11-16,0,0.0,0,0.0,26.7,False,
2022-11-17,0,0.0,0,0.0,26.7,False,
2022-11-18,0,0.0,0,0.0,26.7,False,
2022-11-19,0,0.0,0,0.0,26.7,False,
2022-11-20,0,0.0,0,0.0,26.7,False,
2022-11-21,0,0.0,0,0.0,26.7,False,
2022-11-22,0,0.0,0,0.0,26.7,False,
2022-11-23,0,0.0,0,0.0,26.7,False,
2022-11-24,0,0.0,0,0.0,26.7,False,
2022-11-25,0,0.0,0,0.0,26.7,False,
2022-11-26,0,0.0,0,0.0,26.7,False,
2022-11-27,0,0.0,0,0.0,26.7,False,
2022-11-28,0,0.0,0,0.0,26.7,False,
2022-11-29,0,0.0,0,0.0,26.7,False,
2022-11-30,0,0.0,0,0.0,26.7,False,
2022-12-01,0,0.0,0,0.0,26.7,False,
2022-12-02,0,0.0,0,0.0,26.7,False,
2022-12-03,0,0.0,0,0.0,26.7,False,
2022-12-04,0,0.0,0,0.0,26.7,False,
2022-12-05,0,0.0,0,0.0,26.7,False,
2022-12-06,0,0.0,0,0.0,26.7,False,
2022-12-07,0,0.0,0,0.0,26.7,False,
2022-12-08,0,0.0,0,0.0,26.7,False,
2022-12-09,0,0.0,0,0.0,26.7,False,
2022-12-10,0,0.0,0,0.0,26.7,False,
2022-12-11,0,0.0,0,0.0,26.7,False,
2022-12-12,0,0.0,0,0.0,26.7,False,
2022-12-13,0,0.0,0,0.0,26.7,False,
2022-12-14,0,0.0,0,0.0,26.7,False,
2022-12-15,0,0.0,0,0.0,26.7,False,
2022-12-16,0,0.0,0,0.0,26.7,False,
2022-12-17,0,0.0,0,0.0,26.7,False,
2022-12-18,0,0.0,0,0.0,26.7,False,
2022-12-19,0,0.0,0,0.0,26.7,False,
2022-12-20,0,0.0,0,0.0,26.7,False,
2022-12-21,0,0.0,0,0.0,26.7,False,
2022-12-22,0,0.0,0,0.0,26.7,False,
2022-12-23,0,0.0,0,0.0,26.7,False,
2022-12-24,0,0.0,0,0.0,26.7,False,
2022-12-25,0,0.0,0,0.0,26.7,False,
2022-12-26,0,0.0,0,0.0,26.7,False,
2022-12-27,0,0.0,0,0.0,26.7,False,
2022-12-28,0,0.0,0,0.0,26.7,False,
2022-12-29,0,0.0,0,0.0,26.7,False,
2022-12-30,0,0.0,0,0.0,26.7,False,
2022-12-31,0,0.0,0,0.0,26.7,False,
2023-01-01,0,0.0,0,0.0,26.7,False,
2023-01-02,0,0.0,0,0.0,26.7,False,
2023-01-03,0,0.0,0,0.0,26.7,False,
2023-01-04,0,0.0,0,0.0,26.7,False,
2023-01-05,0,0.0,0,0.0,26.7,False,
2023-01-06,1,10.0,0,0.0,26.7,False,
2023-01-07,0,0.0,1,-10.0,16.7,False,
2023-01-08,0,0.0,0,0.0,16.7,False,
2023-01-09,1,10.0,0,0.0,16.7,False,
2023-01-10,0,0.0,1,-10.0,6.7,False,
2023-01-11,0,0.0,0,0.0,6.7,False,
2023-01-12,0,0.0,0,0.0,6.7,False,
2023-01-13,0,0.0,0,0.0,6.7,False,
2023-01-14,0,0.0,0,0.0,6.7,False,
2023-01-15,0,0.0,0,0.0,6.7,False,
2023-01-16,0,0.0,0,0.0,6.7,False,
2023-01-17,0,0.0,0,0.0,6.7,False,
2023-01-18,0,0.0,0,0.0,6.7,False,
2023-01-19,0,0.0,0,0.0,6.7,False,
2023-01-20,0,0.0,0,0.0,6.7,False,
2023-01-21,1,10.0,0,0.0,6.7,False,
2023-01-22,0,0.0,1,7.0,13.7,False,
2023-01-23,0,0.0,0,0.0,13.7,False,
2023-01-24,0,0.0,0,0.0,13.7,False,
2023-01-25,0,0.0,0,0.0,13.7,False,
2023-01-26,0,0.0,0,0.0,13.7,False,
2023-01-27,0,0.0,0,0.0,13.7,False,
2023-01-28,0,0.0,0,0.0,13.7,False,
2023-01-29,1,10.0,0,0.0,13.7,False,
2023-01-30,1,10.0,1,-10.0,3.7,False,
2023-01-31,0,0.0,1,-10.0,-6.3,False,
2023-02-01,0,0.0,0,0.0,-6.3,False,
2023-02-02,0,0.0,0,0.0,-6.3,False,
2023-02-03,0,0.0,0,0.0,-6.3,False,
2023-02-04,0,0.0,0,0.0,-6.3,False,
2023-02-05,1,10.0,0,0.0,-6.3,False,
2023-02-06,0,0.0,1,3.3,-3.0,False,
2023-02-07,0,0.0,0,0.0,-3.0,False,
2023-02-08,0,0.0,0,0.0,-3.0,False,
2023-02-09,0,0.0,0,0.0,-3.0,False,
2023-02-10,0,0.0,0,0.0,-3.0,False,
2023-02-11,0,0.0,0,0.0,-3.0,False,
2023-02-12,0,0.0,0,0.0,-3.0,False,
2023-02-13,0,0.0,0,0.0,-3.0,False,
2023-02-14,0,0.0,0,0.0,-3.0,False,
2023-02-15,0,0.0,0,0.0,-3.0,False,
2023-02-16,0,0.0,0,0.0,-3.0,False,
2023-02-17,0,0.0,0,0.0,-3.0,False,
2023-02-18,1,10.0,0,0.0,-3.0,False,
2023-02-19,0,0.0,1,6.0,3.0,False,
2023-02-20,0,0.0,0,0.0,3.0,False,
2023-02-21,0,0.0,0,0.0,3.0,False,
2023-02-22,0,0.0,0,0.0,3.0,False,
2023-02-23,0,0.0,0,0.0,3.0,False,
2023-02-24,0,0.0,0,0.0,3.0,False,
2023-02-25,0,0.0,0,0.0,3.0,False,
2023-02-26,1,10.0,0,0.0,3.0,False,
2023-02-27,0,0.0,1,7.0,10.0,False,
2023-02-28,0,0.0,0,0.0,10.0,False,
2023-03-01,0,0.0,0,0.0,10.0,False,
2023-03-02,0,0.0,0,0.0,10.0,False,
2023-03-03,1,10.0,0,0.0,10.0,False,
2023-03-04,1,10.0,1,-10.0,0.0,False,
2023-03-05,0,0.0,1,-10.0,-10.0,False,
2023-03-06,0,0.0,0,0.0,-10.0,False,
2023-03-07,0,0.0,0,0.0,-10.0,False,
2023-03-08,0,0.0,0,0.0,-10.0,False,
2023-03-09,0,0.0,0,0.0,-10.0,False,
2023-03-10,0,0.0,0,0.0,-10.0,False,
2023-03-11,0,0.0,0,0.0,-10.0,False,
2023-03-12,1,10.0,0,0.0,-10.0,False,
2023-03-13,0,0.0,1,7.3,-2.7,False,
2023-03-14,0,0.0,0,0.0,-2.7,False,
2023-03-15,0,0.0,0,0.0,-2.7,False,
2023-03-16,0,0.0,0,0.0,-2.7,False,
2023-03-17,0,0.0,0,0.0,-2.7,False,
2023-03-18,0,0.0,0,0.0,-2.7,False,
2023-03-19,1,10.0,0,0.0,-2.7,False,
2023-03-20,0,0.0,1,4.0,1.3,False,
2023-03-21,0,0.0,0,0.0,1.3,False,
2023-03-22,0,0.0,0,0.0,1.3,False,
2023-03-23,0,0.0,0,0.0,1.3,False,
2023-03-24,0,0.0,0,0.0,1.3,False,
2023-03-25,0,0.0,0,0.0,1.3,False,
2023-03-26,0,0.0,0,0.0,1.3,False,
2023-03-27,0,0.0,0,0.0,1.3,False,
2023-03-28,0,0.0,0,0.0,1.3,False,
2023-03-29,0,0.0,0,0.0,1.3,False,
2023-03-30,0,0.0,0,0.0,1.3,False,
2023-03-31,0,0.0,0,0.0,1.3,False,
2023-04-01,0,0.0,0,0.0,1.3,False,
2023-04-02,1,10.0,0,0.0,1.3,False,
2023-04-03,0,0.0,1,5.3,6.6,False,
2023-04-04,0,0.0,0,0.0,6.6,False,
2023-04-05,0,0.0,0,0.0,6.6,False,
2023-04-06,0,0.0,0,0.0,6.6,False,
2023-04-07,0,0.0,0,0.0,6.6,False,
2023-04-08,1,10.0,0,0.0,6.6,False,
2023-04-09,1,10.0,1,7.0,13.6,False,
2023-04-10,0,0.0,1,-10.0,3.6,False,
2023-04-11,0,0.0,0,0.0,3.6,False,
2023-04-12,0,0.0,0,0.0,3.6,False,
2023-04-13,0,0.0,0,0.0,3.6,False,
2023-04-14,0,0.0,0,0.0,3.6,False,
2023-04-15,0,0.0,0,0.0,3.6,False,
2023-04-16,1,10.0,0,0.0,3.6,False,
2023-04-17,0,0.0,1,5.3,8.9,False,
2023-04-18,0,0.0,0,0.0,8.9,False,
2023-04-19,0,0.0,0,0.0,8.9,False,
2023-04-20,0,0.0,0,0.0,8.9,False,
2023-04-21,0,0.0,0,0.0,8.9,False,
2023-04-22,1,10.0,0,0.0,8.9,False,
2023-04-23,0,0.0,1,6.7,15.6,False,
2023-04-24,0,0.0,0,0.0,15.6,False,
