month,decision,reason,prior_candidates,candidate_count,selected,mean_predicted_ev
2022-08,ABSTAIN,insufficient_prior_candidates,106.0,5.0,,
2022-09,ABSTAIN,insufficient_prior_candidates,111.0,11.0,,
2022-10,INVEST,,122.0,15.0,9.0,0.073
2022-11,INVEST,,137.0,5.0,2.0,0.061
2022-12,ABSTAIN,no_positive_feature_edge,142.0,2.0,0.0,0.0
2023-01,INVEST,,144.0,9.0,5.0,0.0791
2023-02,INVEST,,153.0,11.0,3.0,0.0756
2023-03,INVEST,,156.0,8.0,4.0,0.0787
2023-04,INVEST,,150.0,18.0,6.0,0.0624
2023-05,INVEST,,155.0,14.0,7.0,0.067
2023-06,ABSTAIN,no_candidates,,,,
2023-07,ABSTAIN,no_candidates,,,,
2023-08,INVEST,,143.0,4.0,1.0,0.069
2023-09,INVEST,,135.0,15.0,6.0,0.069
2023-10,INVEST,,144.0,11.0,5.0,0.0749
2023-11,INVEST,,141.0,10.0,5.0,0.071
2023-12,INVEST,,138.0,14.0,9.0,0.07
2024-01,INVEST,,152.0,12.0,5.0,0.0711
2024-02,INVEST,,164.0,10.0,8.0,0.0661
2024-03,INVEST,,169.0,9.0,5.0,0.0716
2024-04,INVEST,,167.0,6.0,5.0,0.0642
2024-05,INVEST,,158.0,18.0,10.0,0.0725
2024-06,ABSTAIN,no_candidates,,,,
2024-07,ABSTAIN,no_candidates,,,,
2024-08,INVEST,,160.0,10.0,6.0,0.0738
2024-09,INVEST,,159.0,12.0,6.0,0.0554
2024-10,INVEST,,163.0,7.0,4.0,0.0722
2024-11,INVEST,,152.0,10.0,5.0,0.0592
2024-12,INVEST,,148.0,7.0,2.0,0.0588
2025-01,INVEST,,155.0,6.0,3.0,0.0499
2025-02,INVEST,,161.0,14.0,6.0,0.0493
2025-03,INVEST,,171.0,12.0,6.0,0.0517
2025-04,INVEST,,168.0,13.0,4.0,0.0551
2025-05,INVEST,,170.0,13.0,4.0,0.0565
2025-06,ABSTAIN,no_candidates,,,,
2025-07,ABSTAIN,no_candidates,,,,
2025-08,INVEST,,147.0,7.0,3.0,0.0355
2025-09,INVEST,,144.0,10.0,4.0,0.0522
2025-10,INVEST,,145.0,5.0,1.0,0.0602
2025-11,INVEST,,144.0,12.0,5.0,0.0492
2025-12,INVEST,,138.0,6.0,4.0,0.0521
2026-01,INVEST,,144.0,6.0,3.0,0.0535
2026-02,INVEST,,150.0,13.0,8.0,0.0742
2026-03,INVEST,,153.0,9.0,6.0,0.0616
2026-04,INVEST,,150.0,8.0,6.0,0.0617
2026-05,INVEST,,151.0,9.0,6.0,0.0641
