rule,odds_source,walk_forward_bets,walk_forward_profit,walk_forward_roi_pct,portfolio_bets,portfolio_staked,portfolio_profit,portfolio_roi_pct,portfolio_max_drawdown,positive_months,negative_months,positive_seasons,negative_seasons,passes_screen,fail_reasons
"league|outcome|odds_bucket=B1|home|[1.0,1.8)",AVG_OPEN,20,1.74,8.7,20,200.0,17.4,8.7,22.3,1,1,1,0,False,"['bets<100', 'positive_months<=negative_months', 'drawdown>profit']"
"league|outcome|market_prob_bucket=B1|home|[0.55,1.00]",MAX_OPEN,21,1.73,8.24,21,210.0,17.3,8.24,16.2,1,2,1,0,False,"['bets<100', 'positive_months<=negative_months']"
"league|outcome|market_prob_bucket=B1|home|[0.55,1.00]",AVG_OPEN,25,0.87,3.48,25,250.0,8.7,3.48,15.9,3,1,1,0,False,"['bets<100', 'drawdown>profit']"
"league|outcome|odds_bucket=B1|home|[1.0,1.8)",MAX_OPEN,22,0.73,3.32,22,220.0,7.3,3.32,20.0,1,2,1,0,False,"['bets<100', 'positive_months<=negative_months', 'drawdown>profit']"
"league|outcome|odds_bucket=B1|home|[1.0,1.8)",B365_OPEN,25,0.78,3.12,25,250.0,7.8,3.12,22.7,1,2,1,0,False,"['bets<100', 'positive_months<=negative_months', 'drawdown>profit']"
"league|outcome|market_prob_bucket=B1|home|[0.55,1.00]",B365_CLOSE,22,0.12,0.55,22,220.0,1.2,0.55,20.6,2,1,1,0,False,"['bets<100', 'roi<3%', 'drawdown>profit']"
"league|market_prob_bucket|favorite_relation=B1|[0.34,0.42)|market_non_favorite",B365_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|market_prob_bucket|favorite_relation=B1|[0.34,0.42)|market_non_favorite",AVG_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|market_prob_bucket|favorite_relation=B1|[0.34,0.42)|market_non_favorite",MAX_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|market_prob_bucket|favorite_relation=B1|[0.34,0.42)|market_non_favorite",B365_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|market_prob_bucket=B1|[0.55,1.00]",B365_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|market_prob_bucket|favorite_relation=B1|[0.55,1.00]|market_favorite",B365_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|odds_bucket|market_prob_bucket=B1|[1.0,1.8)|[0.55,1.00]",B365_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=B1|home|[1.0,1.8)",B365_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|market_prob_bucket|favorite_relation=B1|[0.34,0.42)|market_non_favorite",AVG_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=B1|home|[1.0,1.8)",AVG_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|market_prob_bucket|favorite_relation=B1|[0.34,0.42)|market_non_favorite",MAX_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|market_prob_bucket=B1|home|[0.55,1.00]",B365_OPEN,35,-0.18,-0.51,35,350.0,-1.8,-0.51,35.0,3,3,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|market_prob_bucket=B1|[0.55,1.00]",AVG_CLOSE,9,-0.09,-1.0,9,90.0,-0.9,-1.0,14.4,0,1,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|market_prob_bucket|favorite_relation=B1|[0.55,1.00]|market_favorite",AVG_CLOSE,9,-0.09,-1.0,9,90.0,-0.9,-1.0,14.4,0,1,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|odds_bucket|market_prob_bucket=B1|[1.0,1.8)|[0.55,1.00]",AVG_CLOSE,9,-0.09,-1.0,9,90.0,-0.9,-1.0,14.4,0,1,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|market_prob_bucket=B1|[0.55,1.00]",AVG_OPEN,9,-0.13,-1.44,9,90.0,-1.3,-1.44,16.3,0,1,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
