rule,odds_source,walk_forward_bets,walk_forward_profit,walk_forward_roi_pct,portfolio_bets,portfolio_staked,portfolio_profit,portfolio_roi_pct,portfolio_max_drawdown,positive_months,negative_months,positive_seasons,negative_seasons,passes_screen,fail_reasons
"league|market_prob_bucket=D1|[0.20,0.28)",MAX_CLOSE,86,4.88,5.67,86,860.0,48.8,5.67,158.4,2,1,1,0,False,"['bets<100', 'drawdown>profit']"
"league|market_prob_bucket|favorite_relation=D1|[0.20,0.28)|market_non_favorite",MAX_CLOSE,86,4.88,5.67,86,860.0,48.8,5.67,158.4,2,1,1,0,False,"['bets<100', 'drawdown>profit']"
"league|market_prob_bucket=D1|[0.20,0.28)",B365_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|market_prob_bucket|favorite_relation=D1|[0.20,0.28)|market_non_favorite",B365_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|market_prob_bucket=D1|[0.20,0.28)",AVG_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|market_prob_bucket|favorite_relation=D1|[0.20,0.28)|market_non_favorite",AVG_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|market_prob_bucket=D1|[0.20,0.28)",MAX_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|market_prob_bucket|favorite_relation=D1|[0.20,0.28)|market_non_favorite",MAX_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|market_prob_bucket=D1|[0.20,0.28)",B365_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|market_prob_bucket|favorite_relation=D1|[0.20,0.28)|market_non_favorite",B365_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|market_prob_bucket=D1|[0.20,0.28)",AVG_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|market_prob_bucket|favorite_relation=D1|[0.20,0.28)|market_non_favorite",AVG_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
