rule,odds_source,walk_forward_bets,walk_forward_profit,walk_forward_roi_pct,portfolio_bets,portfolio_staked,portfolio_profit,portfolio_roi_pct,portfolio_max_drawdown,positive_months,negative_months,positive_seasons,negative_seasons,passes_screen,fail_reasons
"league|outcome|market_prob_bucket=F1|away|[0.20,0.28)",MAX_CLOSE,15,2.6,17.33,15,150.0,26.0,17.33,40.0,1,1,1,0,False,"['bets<100', 'positive_months<=negative_months', 'drawdown>profit']"
"league|outcome|odds_bucket=F1|away|[4.0,5.0)",B365_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=F1|away|[4.0,5.0)",AVG_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=F1|away|[4.0,5.0)",MAX_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=F1|away|[4.0,5.0)",B365_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|market_prob_bucket=F1|away|[0.20,0.28)",AVG_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=F1|away|[4.0,5.0)",AVG_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=F1|away|[4.0,5.0)",MAX_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=F1|away|[2.2,2.8)",B365_CLOSE,13,-1.22,-9.38,13,130.0,-12.2,-9.38,44.2,1,1,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|outcome|odds_bucket=F1|away|[2.2,2.8)",AVG_OPEN,19,-2.07,-10.89,19,190.0,-20.7,-10.89,40.0,1,3,1,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|outcome|odds_bucket=F1|away|[2.2,2.8)",B365_OPEN,18,-5.47,-30.39,18,180.0,-54.7,-30.39,76.2,1,3,0,2,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|outcome|odds_bucket=F1|away|[2.2,2.8)",MAX_CLOSE,15,-5.46,-36.4,15,150.0,-54.6,-36.4,66.7,0,3,0,2,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|outcome|odds_bucket=F1|away|[2.2,2.8)",MAX_OPEN,12,-4.82,-40.17,12,120.0,-48.2,-40.17,67.1,0,3,0,2,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|outcome|market_prob_bucket=F1|away|[0.20,0.28)",B365_CLOSE,7,-3.1,-44.29,7,70.0,-31.0,-44.29,40.0,0,1,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|outcome|market_prob_bucket=F1|away|[0.20,0.28)",MAX_OPEN,7,-3.22,-46.0,7,70.0,-32.2,-46.0,40.0,0,1,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|outcome|market_prob_bucket=F1|away|[0.20,0.28)",AVG_OPEN,7,-3.39,-48.43,7,70.0,-33.9,-48.43,40.0,0,1,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|outcome|market_prob_bucket=F1|away|[0.20,0.28)",B365_OPEN,7,-3.5,-50.0,7,70.0,-35.0,-50.0,40.0,0,1,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|outcome|odds_bucket=F1|away|[2.2,2.8)",AVG_CLOSE,6,-3.62,-60.33,6,60.0,-36.2,-60.33,36.2,0,1,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
