rule,odds_source,walk_forward_bets,walk_forward_profit,walk_forward_roi_pct,portfolio_bets,portfolio_staked,portfolio_profit,portfolio_roi_pct,portfolio_max_drawdown,positive_months,negative_months,positive_seasons,negative_seasons,passes_screen,fail_reasons
"league|outcome|odds_bucket=T1|draw|[3.5,4.0)",MAX_CLOSE,132,36.6,27.73,132,1320.0,366.0,27.73,82.5,8,3,2,0,True,[]
"league|market_prob_bucket=T1|[0.55,1.00]",MAX_CLOSE,319,29.1,9.12,319,3190.0,291.0,9.12,52.8,20,8,4,0,True,[]
"league|market_prob_bucket|favorite_relation=T1|[0.55,1.00]|market_favorite",MAX_CLOSE,319,29.1,9.12,319,3190.0,291.0,9.12,52.8,20,8,4,0,True,[]
"league|odds_bucket|market_prob_bucket=T1|[1.0,1.8)|[0.55,1.00]",MAX_CLOSE,300,25.28,8.43,300,3000.0,252.8,8.43,52.8,18,9,4,0,True,[]
"league|market_prob_bucket=T1|[0.55,1.00]",MAX_OPEN,265,20.28,7.65,265,2650.0,202.8,7.65,39.2,18,7,4,0,True,[]
"league|market_prob_bucket|favorite_relation=T1|[0.55,1.00]|market_favorite",MAX_OPEN,265,20.28,7.65,265,2650.0,202.8,7.65,39.2,18,7,4,0,True,[]
"league|odds_bucket|market_prob_bucket=T1|[1.0,1.8)|[0.55,1.00]",MAX_OPEN,264,19.48,7.38,264,2640.0,194.8,7.38,39.2,18,7,4,0,True,[]
"league|market_prob_bucket=T1|[0.55,1.00]",B365_OPEN,106,5.58,5.26,106,1060.0,55.8,5.26,43.4,6,3,2,1,True,[]
"league|market_prob_bucket|favorite_relation=T1|[0.55,1.00]|market_favorite",B365_OPEN,106,5.58,5.26,106,1060.0,55.8,5.26,43.4,6,3,2,1,True,[]
"league|odds_bucket|market_prob_bucket=T1|[1.0,1.8)|[0.55,1.00]",B365_OPEN,106,5.58,5.26,106,1060.0,55.8,5.26,43.4,6,3,2,1,True,[]
"league|outcome|odds_bucket=T1|draw|[3.5,4.0)",AVG_CLOSE,12,9.82,81.83,12,120.0,98.2,81.83,20.0,1,1,1,0,False,"['bets<100', 'positive_months<=negative_months']"
"league|outcome|odds_bucket=T1|draw|[3.5,4.0)",AVG_OPEN,28,12.17,43.46,28,280.0,121.7,43.46,60.0,2,2,1,0,False,"['bets<100', 'positive_months<=negative_months']"
"league|outcome|odds_bucket=T1|home|[2.2,2.8)",MAX_CLOSE,59,15.89,26.93,59,590.0,158.9,26.93,108.3,5,3,1,1,False,"['bets<100', 'positive_seasons<=negative_seasons']"
"league|odds_bucket=T1|[2.2,2.8)",AVG_CLOSE,9,1.75,19.44,9,90.0,17.5,19.44,10.0,1,0,1,0,False,['bets<100']
"league|odds_bucket=T1|[2.2,2.8)",MAX_CLOSE,158,26.53,16.79,158,1580.0,265.3,16.79,104.7,10,3,1,1,False,['positive_seasons<=negative_seasons']
"league|odds_bucket=T1|[2.2,2.8)",MAX_OPEN,58,2.78,4.79,58,580.0,27.8,4.79,71.0,3,2,1,1,False,"['bets<100', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|market_prob_bucket=T1|[0.55,1.00]",AVG_OPEN,116,0.17,0.15,116,1160.0,1.7,0.15,49.9,5,6,1,2,False,"['roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|market_prob_bucket|favorite_relation=T1|[0.55,1.00]|market_favorite",AVG_OPEN,116,0.17,0.15,116,1160.0,1.7,0.15,49.9,5,6,1,2,False,"['roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|odds_bucket|market_prob_bucket=T1|[1.0,1.8)|[0.55,1.00]",AVG_OPEN,116,0.17,0.15,116,1160.0,1.7,0.15,49.9,5,6,1,2,False,"['roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|odds_bucket|market_prob_bucket=T1|[2.2,2.8)|[0.34,0.42)",MAX_CLOSE,42,0.02,0.05,42,420.0,0.2,0.05,74.0,3,3,1,1,False,"['bets<100', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|outcome|odds_bucket=T1|away|[1.0,1.8)",B365_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=T1|home|[2.2,2.8)",B365_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=T1|away|[1.8,2.2)",B365_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|market_prob_bucket=T1|[0.34,0.42)",B365_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|odds_bucket|market_prob_bucket=T1|[2.2,2.8)|[0.34,0.42)",B365_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=T1|away|[1.0,1.8)",AVG_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=T1|away|[1.8,2.2)",AVG_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=T1|away|[1.0,1.8)",MAX_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=T1|home|[2.2,2.8)",MAX_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=T1|away|[1.8,2.2)",MAX_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=T1|away|[1.0,1.8)",B365_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=T1|home|[2.2,2.8)",B365_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=T1|away|[1.8,2.2)",B365_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|odds_bucket=T1|[2.2,2.8)",B365_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|market_prob_bucket=T1|[0.34,0.42)",B365_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|odds_bucket|market_prob_bucket=T1|[2.2,2.8)|[0.34,0.42)",B365_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=T1|away|[1.0,1.8)",AVG_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=T1|home|[2.2,2.8)",AVG_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=T1|away|[1.8,2.2)",AVG_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|market_prob_bucket=T1|[0.34,0.42)",AVG_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
