rule,odds_source,walk_forward_bets,walk_forward_profit,walk_forward_roi_pct,portfolio_bets,portfolio_staked,portfolio_profit,portfolio_roi_pct,portfolio_max_drawdown,positive_months,negative_months,positive_seasons,negative_seasons,passes_screen,fail_reasons
"league|odds_bucket|market_prob_bucket=B1|[2.8,3.5)|[0.20,0.28)",AVG_OPEN,126,31.15,24.72,126,1260.0,311.5,24.72,112.4,10,8,2,1,True,[]
"league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]",AVG_OPEN,166,21.25,12.8,166,1660.0,212.5,12.8,37.8,11,6,3,0,True,[]
"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",AVG_OPEN,871,82.76,9.5,871,8710.0,827.6,9.5,225.0,17,11,3,1,True,[]
"league|market_prob_bucket=T1|[0.55,1.00]",AVG_OPEN,294,15.47,5.26,294,2940.0,154.7,5.26,53.9,16,12,3,1,True,[]
"league|odds_bucket|market_prob_bucket=T1|[1.0,1.8)|[0.55,1.00]",AVG_OPEN,294,15.47,5.26,294,2940.0,154.7,5.26,53.9,16,12,3,1,True,[]
"league|market_prob_bucket|favorite_relation=T1|[0.55,1.00]|market_favorite",AVG_OPEN,294,15.47,5.26,294,2940.0,154.7,5.26,53.9,16,12,3,1,True,[]
"league|outcome|odds_bucket=I1|away|[1.0,1.8)",AVG_OPEN,34,4.32,12.71,34,340.0,43.2,12.71,49.7,4,2,1,0,False,"['bets<100', 'drawdown>profit']"
"league|outcome|market_prob_bucket=G1|draw|[0.28,0.34)",AVG_OPEN,208,9.83,4.73,208,2080.0,98.3,4.73,144.4,13,7,2,1,False,['drawdown>profit']
"league|outcome|odds_bucket=T1|away|[1.0,1.8)",AVG_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=SP1|away|[1.8,2.2)",AVG_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|market_prob_bucket=I2|home|[0.55,1.00]",AVG_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|market_prob_bucket=I1|away|[0.55,1.00]",AVG_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
