columns,key,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
league|outcome|odds_bucket,"RUS|home|[2.2,2.8)",693,53.55,7.73,124,70,54,2026-05,2.71,32.85
league|outcome|market_prob_bucket,"JPN|away|[0.28,0.34)",981,68.59,6.99,137,76,61,2025-12,0.95,30.7691
league|outcome|market_prob_bucket,"SWZ|away|[0.42,0.55)",405,14.37,3.55,138,76,61,2026-05,2.14,30.3903
league|outcome|market_prob_bucket,"CHN|draw|[0.28,0.34)",648,87.48,13.5,86,50,36,2026-05,-1.59,29.485
league|odds_bucket|market_prob_bucket,"NOR|[1.8,2.2)|[0.42,0.55)",1102,13.88,1.26,124,69,55,2026-05,-2.67,28.1385
league|odds_bucket,"NOR|[1.8,2.2)",1103,12.88,1.17,124,69,55,2026-05,-2.67,28.1284
league|odds_bucket|favorite_relation,"NOR|[1.8,2.2)|market_favorite",1103,12.88,1.17,124,69,55,2026-05,-2.67,28.1284
league|outcome|odds_bucket,"AUT|away|[1.8,2.2)",320,16.66,5.21,120,66,53,2026-05,1.13,26.5727
league|outcome|odds_bucket,"SWZ|away|[1.8,2.2)",314,4.1,1.31,126,69,56,2026-05,2.14,26.1436
league|outcome|odds_bucket,"RUS|away|[1.0,1.8)",332,6.26,1.89,110,61,49,2026-05,0.42,24.2074
league|outcome|odds_bucket,"SWE|away|[2.2,2.8)",621,19.74,3.18,111,60,50,2026-05,2.74,20.3497
league|odds_bucket|market_prob_bucket,"DNK|[2.8,3.5)|[0.20,0.28)",765,42.46,5.55,137,73,64,2026-05,1.78,18.6105
league|outcome|market_prob_bucket,"SWE|away|[0.28,0.34)",521,46.65,8.95,108,58,50,2026-05,-0.29,16.9849
league|outcome|odds_bucket,"CHN|draw|[2.8,3.5)",1150,77.72,6.76,96,52,44,2026-05,6.64,16.7434
league|odds_bucket|market_prob_bucket,"MEX|[1.0,1.8)|[0.42,0.55)",340,13.69,4.03,130,69,61,2026-04,-1.21,16.4429
league|outcome|odds_bucket,"BRA|home|[1.8,2.2)",1360,10.78,0.79,122,65,57,2026-06,-1.0,16.0872
league|outcome|odds_bucket,"NOR|home|[1.8,2.2)",785,4.69,0.6,124,66,58,2026-05,1.33,16.0657
league|outcome|favorite_relation,SWE|away|market_favorite,1152,4.65,0.4,116,61,55,2026-05,-1.69,12.0444
league|outcome|odds_bucket,"SWE|away|[2.8,3.5)",557,36.14,6.49,109,57,52,2026-05,-3.08,10.7137
league|outcome|market_prob_bucket,"ARG|home|[0.20,0.28)",539,5.29,0.98,127,66,61,2026-05,1.38,10.108
league|odds_bucket,"BRA|[1.8,2.2)",1675,10.53,0.63,123,64,59,2026-06,-1.0,10.0692
league|odds_bucket|market_prob_bucket,"BRA|[1.8,2.2)|[0.42,0.55)",1675,10.53,0.63,123,64,59,2026-06,-1.0,10.0692
league|odds_bucket|favorite_relation,"BRA|[1.8,2.2)|market_favorite",1675,10.53,0.63,123,64,59,2026-06,-1.0,10.0692
league|outcome|odds_bucket,"NOR|away|[1.8,2.2)",318,8.19,2.58,110,57,53,2026-05,-4.0,8.2833
league|outcome|market_prob_bucket,"AUT|away|[0.20,0.28)",541,33.65,6.22,132,67,65,2026-05,0.74,4.6842
outcome|market_prob_bucket,"draw|[0.34,0.42)",324,13.75,4.24,76,39,37,2026-05,1.79,4.4668
league|outcome|market_prob_bucket,"USA|home|[0.28,0.34)",382,8.16,2.14,114,58,56,2026-05,-6.0,4.235
league|outcome|odds_bucket,"DNK|draw|[2.8,3.5)",1398,2.74,0.2,140,71,69,2026-05,0.47,4.0216
league|outcome|market_prob_bucket,"SWE|home|[0.20,0.28)",383,14.03,3.66,101,51,50,2026-05,-4.0,2.403
league|market_prob_bucket|favorite_relation,"MEX|[0.34,0.42)|market_non_favorite",349,3.53,1.01,125,63,62,2026-05,-0.32,2.1113
league|outcome|market_prob_bucket,"SWE|away|[0.42,0.55)",525,1.6,0.3,107,54,53,2026-05,-1.05,2.0335
