columns,key,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
league|odds_bucket|market_prob_bucket,"NOR|[2.2,2.8)|[0.42,0.55)",307,12.59,4.1,102,65,37,2025-10,0.22,56.4511
league|outcome|odds_bucket,"RUS|home|[2.2,2.8)",658,67.88,10.32,121,72,49,2025-10,0.83,47.1348
league|outcome|market_prob_bucket,"SWZ|away|[0.42,0.55)",381,20.75,5.45,130,75,55,2025-10,-1.98,40.5991
league|odds_bucket|market_prob_bucket,"AUT|[4.0,5.0)|[0.20,0.28)",915,126.92,13.87,131,74,55,2025-10,3.35,39.5258
league|outcome|odds_bucket,"SWE|away|[2.8,3.5)",549,74.55,13.58,109,64,45,2025-10,-0.86,39.4937
league|outcome|odds_bucket,"JPN|away|[2.8,3.5)",1063,90.77,8.54,139,78,61,2025-12,1.06,34.9393
league|outcome|market_prob_bucket,"SWE|away|[0.28,0.34)",473,53.56,11.32,106,61,45,2025-10,-0.86,33.2456
league|outcome|market_prob_bucket,"FIN|away|[0.28,0.34)",428,21.47,5.02,93,54,38,2025-10,5.27,32.5518
league|odds_bucket,"NOR|[1.8,2.2)",986,14.04,1.42,121,68,53,2025-10,-2.45,30.1566
league|odds_bucket|market_prob_bucket,"NOR|[1.8,2.2)|[0.42,0.55)",986,14.04,1.42,121,68,53,2025-10,-2.45,30.1566
league|odds_bucket|favorite_relation,"NOR|[1.8,2.2)|market_favorite",986,14.04,1.42,121,68,53,2025-10,-2.45,30.1566
league|outcome|market_prob_bucket,"NOR|home|[0.42,0.55)",1000,6.88,0.69,121,68,53,2025-10,0.77,30.0757
league|outcome|market_prob_bucket,"CHN|draw|[0.28,0.34)",644,87.66,13.61,88,51,37,2025-10,-1.0,29.4973
league|outcome|favorite_relation,SWE|away|market_favorite,1114,28.05,2.52,112,63,49,2025-10,3.66,28.277
league|market_prob_bucket,"BRA|[0.42,0.55)",2059,33.02,1.6,118,66,52,2025-12,0.36,28.1764
league|market_prob_bucket|favorite_relation,"BRA|[0.42,0.55)|market_favorite",2059,33.02,1.6,118,66,52,2025-12,0.36,28.1764
league|outcome|odds_bucket,"FIN|away|[2.8,3.5)",481,28.34,5.89,95,54,41,2025-10,5.27,26.6481
league|odds_bucket,"SWE|[2.8,3.5)",1933,72.47,3.75,113,63,50,2025-10,-7.41,26.4124
league|odds_bucket,"USA|[1.8,2.2)",2063,11.31,0.55,135,74,61,2025-12,1.01,26.0603
league|odds_bucket|market_prob_bucket,"USA|[1.8,2.2)|[0.42,0.55)",2063,11.31,0.55,135,74,61,2025-12,1.01,26.0603
league|odds_bucket|favorite_relation,"USA|[1.8,2.2)|market_favorite",2063,11.31,0.55,135,74,61,2025-12,1.01,26.0603
league|odds_bucket|market_prob_bucket,"MEX|[2.2,2.8)|[0.42,0.55)",469,25.53,5.44,136,74,62,2025-10,-1.0,24.5988
league|outcome|market_prob_bucket,"BRA|home|[0.42,0.55)",1676,32.94,1.97,118,65,53,2025-12,-0.51,24.2162
league|odds_bucket,"CHN|[1.0,1.8)",1307,16.97,1.3,94,53,41,2025-10,-5.45,24.1428
league|odds_bucket|favorite_relation,"CHN|[1.0,1.8)|market_favorite",1307,16.97,1.3,94,53,41,2025-10,-5.45,24.1428
league|outcome|odds_bucket,"RUS|away|[1.0,1.8)",301,2.21,0.73,104,58,46,2025-10,-0.6,24.0808
league|odds_bucket,"AUT|[4.0,5.0)",1000,130.12,13.01,131,70,59,2025-10,3.35,23.4313
league|odds_bucket|favorite_relation,"AUT|[4.0,5.0)|market_non_favorite",1000,130.12,13.01,131,70,59,2025-10,3.35,23.4313
league|outcome|market_prob_bucket,"BRA|home|[0.28,0.34)",505,50.64,10.03,112,61,50,2025-12,-1.0,23.103
league|outcome|market_prob_bucket,"JPN|away|[0.28,0.34)",924,64.15,6.94,137,74,63,2025-12,1.06,22.7637
league|odds_bucket|favorite_relation,"SWE|[2.8,3.5)|market_non_favorite",1925,74.82,3.89,113,62,51,2025-10,-7.41,22.4275
league|outcome|odds_bucket,"NOR|home|[1.8,2.2)",719,7.33,1.02,121,66,55,2025-10,0.55,22.1121
league|outcome|odds_bucket,"USA|home|[1.8,2.2)",1880,11.54,0.61,135,73,62,2025-12,1.01,22.0675
league|favorite_relation,RUS|market_favorite,3229,16.08,0.5,127,69,58,2025-10,-2.35,22.0548
league|outcome|market_prob_bucket,"RUS|home|[0.34,0.42)",542,42.95,7.92,118,64,54,2025-10,-0.43,20.8717
league|outcome|market_prob_bucket,"DNK|away|[0.34,0.42)",495,16.55,3.34,128,69,59,2025-10,1.46,20.3678
league|outcome,JPN|away,4503,89.19,1.98,142,76,66,2025-12,-1.98,20.2179
league|outcome|odds_bucket,"JPN|home|[1.8,2.2)",954,15.14,1.59,136,73,63,2025-12,0.93,20.1746
league|outcome|favorite_relation,RUS|home|market_favorite,2095,21.06,1.01,126,68,58,2025-10,-0.71,20.1106
league|outcome|odds_bucket,"CHN|draw|[2.8,3.5)",780,90.04,11.54,91,50,41,2025-10,-1.0,19.2698
league|outcome|market_prob_bucket,"USA|home|[0.28,0.34)",353,33.29,9.43,110,59,50,2025-11,-1.0,19.0374
league|outcome|odds_bucket,"SWE|away|[2.2,2.8)",548,26.66,4.86,103,56,47,2025-10,0.75,18.5351
league|odds_bucket|market_prob_bucket,"CHN|[2.8,3.5)|[0.28,0.34)",1286,26.57,2.07,93,51,42,2025-10,2.16,18.2273
league|outcome|odds_bucket,"IRL|home|[1.8,2.2)",327,4.24,1.3,110,59,50,2025-10,-1.0,18.1426
league|outcome|market_prob_bucket,"POL|home|[0.34,0.42)",931,45.54,4.89,138,73,65,2025-10,1.34,16.5381
league|outcome|odds_bucket,"DNK|home|[1.0,1.8)",657,16.95,2.58,132,70,62,2025-10,1.45,16.2838
league|outcome|odds_bucket,"JPN|away|[2.2,2.8)",1058,18.07,1.71,140,74,66,2025-12,-2.0,16.1879
league|odds_bucket,"CHN|[2.8,3.5)",1526,22.16,1.45,93,50,42,2025-10,2.16,16.1597
league|market_prob_bucket,"CHN|[0.55,1.00]",1220,13.83,1.13,94,51,43,2025-10,-3.45,16.1247
league|odds_bucket|market_prob_bucket,"CHN|[1.0,1.8)|[0.55,1.00]",1220,13.83,1.13,94,51,43,2025-10,-3.45,16.1247
league|market_prob_bucket|favorite_relation,"CHN|[0.55,1.00]|market_favorite",1220,13.83,1.13,94,51,43,2025-10,-3.45,16.1247
league|market_prob_bucket,"MEX|[0.42,0.55)",1955,10.52,0.54,144,76,68,2025-10,-2.17,16.0592
league|market_prob_bucket|favorite_relation,"MEX|[0.42,0.55)|market_favorite",1955,10.52,0.54,144,76,68,2025-10,-2.17,16.0592
league|outcome|favorite_relation,JPN|away|market_favorite,1622,4.97,0.31,140,74,66,2025-12,-1.0,16.0337
league|odds_bucket|market_prob_bucket,"BRA|[2.2,2.8)|[0.34,0.42)",1499,0.23,0.02,118,63,55,2025-12,5.97,16.0017
league|outcome|odds_bucket,"USA|home|[2.8,3.5)",439,30.6,6.97,115,60,53,2025-11,-1.0,14.7667
league|outcome|market_prob_bucket,"SWZ|draw|[0.20,0.28)",1914,42.14,2.2,141,74,67,2025-10,-7.4,14.2422
league|outcome|market_prob_bucket,"MEX|home|[0.42,0.55)",1502,32.48,2.16,143,75,68,2025-10,-0.17,14.2379
league|outcome|odds_bucket,"CHN|away|[1.0,1.8)",386,8.26,2.14,89,48,41,2025-10,-1.14,14.2354
league|odds_bucket|market_prob_bucket,"SWE|[2.8,3.5)|[0.28,0.34)",1699,35.27,2.08,113,60,53,2025-10,-6.86,14.2284
league|market_prob_bucket|favorite_relation,"SWE|[0.28,0.34)|market_non_favorite",1700,34.27,2.02,113,60,53,2025-10,-6.86,14.2217
league|market_prob_bucket,"CHN|[0.28,0.34)",1287,25.57,1.99,93,50,43,2025-10,2.16,14.2185
league|market_prob_bucket|favorite_relation,"CHN|[0.28,0.34)|market_non_favorite",1287,25.57,1.99,93,50,43,2025-10,2.16,14.2185
league|odds_bucket,"DNK|[1.0,1.8)",840,16.2,1.93,134,70,63,2025-10,1.47,14.2121
league|odds_bucket|favorite_relation,"DNK|[1.0,1.8)|market_favorite",840,16.2,1.93,134,70,63,2025-10,1.47,14.2121
league|market_prob_bucket,"NOR|[0.42,0.55)",1382,14.16,1.02,121,64,57,2025-10,-2.23,14.1127
league|market_prob_bucket|favorite_relation,"NOR|[0.42,0.55)|market_favorite",1382,14.16,1.02,121,64,57,2025-10,-2.23,14.1127
league|odds_bucket,"JPN|[1.8,2.2)",1462,6.32,0.43,138,72,65,2025-12,0.93,14.0476
league|odds_bucket|market_prob_bucket,"JPN|[1.8,2.2)|[0.42,0.55)",1462,6.32,0.43,138,72,65,2025-12,0.93,14.0476
league|odds_bucket|favorite_relation,"JPN|[1.8,2.2)|market_favorite",1462,6.32,0.43,138,72,65,2025-12,0.93,14.0476
league|outcome|market_prob_bucket,"FIN|home|[0.55,1.00]",593,1.94,0.33,97,52,45,2025-10,-1.65,14.036
league|odds_bucket|favorite_relation,"FIN|[2.8,3.5)|market_non_favorite",1852,2.33,0.13,99,53,46,2025-10,11.95,14.0138
league|outcome|market_prob_bucket,"BRA|away|[0.42,0.55)",383,0.08,0.02,107,57,50,2025-12,0.87,14.0023
league|market_prob_bucket|favorite_relation,"JPN|[0.34,0.42)|market_non_favorite",514,25.65,4.99,132,69,63,2025-12,-1.0,12.5489
league|outcome|market_prob_bucket,"SWE|away|[0.42,0.55)",498,18.06,3.63,104,55,49,2025-10,2.23,12.3989
league|outcome|market_prob_bucket,"JPN|away|[0.34,0.42)",981,30.61,3.12,140,73,67,2025-12,-1.0,12.3432
league|outcome|odds_bucket,"CHN|draw|[3.5,4.0)",865,26.27,3.04,94,50,44,2025-10,2.54,12.3341
league|odds_bucket|favorite_relation,"CHN|[2.8,3.5)|market_non_favorite",1522,23.36,1.53,93,49,43,2025-10,2.16,12.1688
league|outcome|market_prob_bucket,"CHN|home|[0.55,1.00]",865,11.64,1.35,94,50,44,2025-10,-3.31,12.148
league|outcome|odds_bucket,"CHN|home|[1.0,1.8)",921,8.71,0.95,94,50,44,2025-10,-4.31,12.104
league|odds_bucket|market_prob_bucket,"BRA|[2.2,2.8)|[0.42,0.55)",440,3.37,0.77,110,58,52,2025-11,0.21,12.0842
league|outcome|odds_bucket,"FIN|home|[1.0,1.8)",630,2.36,0.37,98,52,46,2025-10,-1.65,12.0412
league|odds_bucket|favorite_relation,"BRA|[2.2,2.8)|market_favorite",1873,6.15,0.33,118,62,56,2025-12,5.97,12.0361
league|outcome,IRL|home,2543,8.21,0.32,128,67,61,2025-10,0.55,12.0355
league|outcome|market_prob_bucket,"MEX|away|[0.34,0.42)",752,1.94,0.26,139,72,66,2025-10,-1.98,12.0284
league|outcome|market_prob_bucket,"AUT|away|[0.20,0.28)",505,73.14,14.48,127,66,61,2025-10,6.5,11.5931
league|outcome|favorite_relation,USA|home|market_non_favorite,749,28.96,3.87,123,64,59,2025-11,-2.0,10.4253
