date,bets,staked,profit,month
2022-08-01,0,0.0,0.0,2022-08
2022-08-02,0,0.0,0.0,2022-08
2022-08-03,0,0.0,0.0,2022-08
2022-08-04,0,0.0,0.0,2022-08
2022-08-05,0,0.0,0.0,2022-08
2022-08-06,0,0.0,0.0,2022-08
2022-08-07,0,0.0,0.0,2022-08
2022-08-08,0,0.0,0.0,2022-08
2022-08-09,0,0.0,0.0,2022-08
2022-08-10,0,0.0,0.0,2022-08
2022-08-11,0,0.0,0.0,2022-08
2022-08-12,0,0.0,0.0,2022-08
2022-08-13,0,0.0,0.0,2022-08
2022-08-14,0,0.0,0.0,2022-08
2022-08-15,0,0.0,0.0,2022-08
2022-08-16,0,0.0,0.0,2022-08
2022-08-17,0,0.0,0.0,2022-08
2022-08-18,0,0.0,0.0,2022-08
2022-08-19,0,0.0,0.0,2022-08
2022-08-20,0,0.0,0.0,2022-08
2022-08-21,0,0.0,0.0,2022-08
2022-08-22,0,0.0,0.0,2022-08
2022-08-23,0,0.0,0.0,2022-08
2022-08-24,0,0.0,0.0,2022-08
2022-08-25,0,0.0,0.0,2022-08
2022-08-26,0,0.0,0.0,2022-08
2022-08-27,0,0.0,0.0,2022-08
2022-08-28,0,0.0,0.0,2022-08
2022-08-29,0,0.0,0.0,2022-08
2022-08-30,0,0.0,0.0,2022-08
2022-08-31,0,0.0,0.0,2022-08
2022-09-01,0,0.0,0.0,2022-09
2022-09-02,0,0.0,0.0,2022-09
2022-09-03,0,0.0,0.0,2022-09
2022-09-04,0,0.0,0.0,2022-09
2022-09-05,0,0.0,0.0,2022-09
2022-09-06,0,0.0,0.0,2022-09
2022-09-07,0,0.0,0.0,2022-09
2022-09-08,0,0.0,0.0,2022-09
2022-09-09,0,0.0,0.0,2022-09
2022-09-10,0,0.0,0.0,2022-09
2022-09-11,0,0.0,0.0,2022-09
2022-09-12,0,0.0,0.0,2022-09
2022-09-13,0,0.0,0.0,2022-09
2022-09-14,0,0.0,0.0,2022-09
2022-09-15,0,0.0,0.0,2022-09
2022-09-16,0,0.0,0.0,2022-09
2022-09-17,0,0.0,0.0,2022-09
2022-09-18,0,0.0,0.0,2022-09
2022-09-19,0,0.0,0.0,2022-09
2022-09-20,0,0.0,0.0,2022-09
2022-09-21,0,0.0,0.0,2022-09
2022-09-22,0,0.0,0.0,2022-09
2022-09-23,0,0.0,0.0,2022-09
2022-09-24,0,0.0,0.0,2022-09
2022-09-25,0,0.0,0.0,2022-09
2022-09-26,0,0.0,0.0,2022-09
2022-09-27,0,0.0,0.0,2022-09
2022-09-28,0,0.0,0.0,2022-09
2022-09-29,0,0.0,0.0,2022-09
2022-09-30,0,0.0,0.0,2022-09
2022-10-01,0,0.0,0.0,2022-10
2022-10-02,0,0.0,0.0,2022-10
2022-10-03,0,0.0,0.0,2022-10
2022-10-04,0,0.0,0.0,2022-10
2022-10-05,0,0.0,0.0,2022-10
2022-10-06,0,0.0,0.0,2022-10
2022-10-07,0,0.0,0.0,2022-10
2022-10-08,0,0.0,0.0,2022-10
2022-10-09,0,0.0,0.0,2022-10
2022-10-10,0,0.0,0.0,2022-10
2022-10-11,0,0.0,0.0,2022-10
2022-10-12,0,0.0,0.0,2022-10
2022-10-13,0,0.0,0.0,2022-10
2022-10-14,0,0.0,0.0,2022-10
2022-10-15,0,0.0,0.0,2022-10
2022-10-16,0,0.0,0.0,2022-10
2022-10-17,0,0.0,0.0,2022-10
2022-10-18,0,0.0,0.0,2022-10
2022-10-19,0,0.0,0.0,2022-10
2022-10-20,0,0.0,0.0,2022-10
2022-10-21,0,0.0,0.0,2022-10
2022-10-22,0,0.0,0.0,2022-10
2022-10-23,0,0.0,0.0,2022-10
2022-10-24,0,0.0,0.0,2022-10
2022-10-25,0,0.0,0.0,2022-10
2022-10-26,0,0.0,0.0,2022-10
2022-10-27,0,0.0,0.0,2022-10
2022-10-28,0,0.0,0.0,2022-10
2022-10-29,0,0.0,0.0,2022-10
2022-10-30,0,0.0,0.0,2022-10
2022-10-31,0,0.0,0.0,2022-10
2022-11-01,0,0.0,0.0,2022-11
2022-11-02,0,0.0,0.0,2022-11
2022-11-03,0,0.0,0.0,2022-11
2022-11-04,0,0.0,0.0,2022-11
2022-11-05,0,0.0,0.0,2022-11
2022-11-06,0,0.0,0.0,2022-11
2022-11-07,0,0.0,0.0,2022-11
2022-11-08,0,0.0,0.0,2022-11
2022-11-09,0,0.0,0.0,2022-11
2022-11-10,0,0.0,0.0,2022-11
2022-11-11,0,0.0,0.0,2022-11
2022-11-12,0,0.0,0.0,2022-11
2022-11-13,0,0.0,0.0,2022-11
2022-11-14,0,0.0,0.0,2022-11
2022-11-15,0,0.0,0.0,2022-11
2022-11-16,0,0.0,0.0,2022-11
2022-11-17,0,0.0,0.0,2022-11
2022-11-18,0,0.0,0.0,2022-11
2022-11-19,0,0.0,0.0,2022-11
2022-11-20,0,0.0,0.0,2022-11
2022-11-21,0,0.0,0.0,2022-11
2022-11-22,0,0.0,0.0,2022-11
2022-11-23,0,0.0,0.0,2022-11
2022-11-24,0,0.0,0.0,2022-11
2022-11-25,0,0.0,0.0,2022-11
2022-11-26,0,0.0,0.0,2022-11
2022-11-27,0,0.0,0.0,2022-11
2022-11-28,0,0.0,0.0,2022-11
2022-11-29,0,0.0,0.0,2022-11
2022-11-30,0,0.0,0.0,2022-11
2022-12-02,0,0.0,0.0,2022-12
2022-12-03,0,0.0,0.0,2022-12
2022-12-04,0,0.0,0.0,2022-12
2022-12-05,0,0.0,0.0,2022-12
2022-12-06,0,0.0,0.0,2022-12
2022-12-07,0,0.0,0.0,2022-12
2022-12-08,0,0.0,0.0,2022-12
2022-12-09,0,0.0,0.0,2022-12
2022-12-10,0,0.0,0.0,2022-12
2022-12-11,0,0.0,0.0,2022-12
2022-12-12,0,0.0,0.0,2022-12
2022-12-13,0,0.0,0.0,2022-12
2022-12-14,0,0.0,0.0,2022-12
2022-12-15,0,0.0,0.0,2022-12
2022-12-16,0,0.0,0.0,2022-12
2022-12-17,0,0.0,0.0,2022-12
2022-12-18,0,0.0,0.0,2022-12
2022-12-19,0,0.0,0.0,2022-12
2022-12-20,0,0.0,0.0,2022-12
2022-12-21,0,0.0,0.0,2022-12
2022-12-22,0,0.0,0.0,2022-12
2022-12-23,0,0.0,0.0,2022-12
2022-12-24,0,0.0,0.0,2022-12
2022-12-25,0,0.0,0.0,2022-12
2022-12-26,0,0.0,0.0,2022-12
2022-12-27,0,0.0,0.0,2022-12
2022-12-28,0,0.0,0.0,2022-12
2022-12-29,0,0.0,0.0,2022-12
2022-12-30,0,0.0,0.0,2022-12
2022-12-31,0,0.0,0.0,2022-12
2023-01-01,0,0.0,0.0,2023-01
2023-01-02,0,0.0,0.0,2023-01
2023-01-03,0,0.0,0.0,2023-01
2023-01-04,0,0.0,0.0,2023-01
2023-01-05,0,0.0,0.0,2023-01
2023-01-06,0,0.0,0.0,2023-01
2023-01-07,0,0.0,0.0,2023-01
2023-01-08,0,0.0,0.0,2023-01
2023-01-09,0,0.0,0.0,2023-01
2023-01-10,0,0.0,0.0,2023-01
2023-01-11,0,0.0,0.0,2023-01
2023-01-12,0,0.0,0.0,2023-01
2023-01-13,0,0.0,0.0,2023-01
2023-01-14,0,0.0,0.0,2023-01
2023-01-15,0,0.0,0.0,2023-01
2023-01-16,0,0.0,0.0,2023-01
2023-01-17,0,0.0,0.0,2023-01
2023-01-18,0,0.0,0.0,2023-01
2023-01-19,0,0.0,0.0,2023-01
2023-01-20,0,0.0,0.0,2023-01
2023-01-21,0,0.0,0.0,2023-01
2023-01-22,0,0.0,0.0,2023-01
2023-01-23,0,0.0,0.0,2023-01
2023-01-24,0,0.0,0.0,2023-01
2023-01-25,0,0.0,0.0,2023-01
2023-01-26,0,0.0,0.0,2023-01
2023-01-27,0,0.0,0.0,2023-01
2023-01-28,0,0.0,0.0,2023-01
2023-01-29,0,0.0,0.0,2023-01
2023-01-30,0,0.0,0.0,2023-01
2023-01-31,0,0.0,0.0,2023-01
2023-02-01,0,0.0,0.0,2023-02
2023-02-02,0,0.0,0.0,2023-02
2023-02-03,0,0.0,0.0,2023-02
2023-02-04,0,0.0,0.0,2023-02
2023-02-05,0,0.0,0.0,2023-02
2023-02-06,0,0.0,0.0,2023-02
2023-02-07,0,0.0,0.0,2023-02
2023-02-08,0,0.0,0.0,2023-02
2023-02-09,0,0.0,0.0,2023-02
2023-02-10,0,0.0,0.0,2023-02
2023-02-11,0,0.0,0.0,2023-02
2023-02-12,0,0.0,0.0,2023-02
2023-02-13,0,0.0,0.0,2023-02
2023-02-14,0,0.0,0.0,2023-02
2023-02-15,0,0.0,0.0,2023-02
2023-02-16,0,0.0,0.0,2023-02
2023-02-17,0,0.0,0.0,2023-02
2023-02-18,0,0.0,0.0,2023-02
2023-02-19,0,0.0,0.0,2023-02
2023-02-20,0,0.0,0.0,2023-02
2023-02-21,0,0.0,0.0,2023-02
2023-02-22,0,0.0,0.0,2023-02
2023-02-23,0,0.0,0.0,2023-02
2023-02-24,0,0.0,0.0,2023-02
2023-02-25,0,0.0,0.0,2023-02
2023-02-26,0,0.0,0.0,2023-02
2023-02-27,0,0.0,0.0,2023-02
2023-02-28,0,0.0,0.0,2023-02
2023-03-01,0,0.0,0.0,2023-03
2023-03-02,0,0.0,0.0,2023-03
2023-03-03,0,0.0,0.0,2023-03
2023-03-04,0,0.0,0.0,2023-03
2023-03-05,0,0.0,0.0,2023-03
2023-03-06,0,0.0,0.0,2023-03
2023-03-07,0,0.0,0.0,2023-03
2023-03-08,0,0.0,0.0,2023-03
2023-03-09,0,0.0,0.0,2023-03
2023-03-10,0,0.0,0.0,2023-03
2023-03-11,0,0.0,0.0,2023-03
2023-03-12,0,0.0,0.0,2023-03
2023-03-13,0,0.0,0.0,2023-03
2023-03-14,0,0.0,0.0,2023-03
2023-03-15,0,0.0,0.0,2023-03
2023-03-16,0,0.0,0.0,2023-03
2023-03-17,0,0.0,0.0,2023-03
2023-03-18,0,0.0,0.0,2023-03
2023-03-19,0,0.0,0.0,2023-03
2023-03-20,0,0.0,0.0,2023-03
2023-03-21,0,0.0,0.0,2023-03
2023-03-22,0,0.0,0.0,2023-03
2023-03-23,0,0.0,0.0,2023-03
2023-03-24,0,0.0,0.0,2023-03
2023-03-25,0,0.0,0.0,2023-03
2023-03-26,0,0.0,0.0,2023-03
2023-03-27,0,0.0,0.0,2023-03
2023-03-28,0,0.0,0.0,2023-03
2023-03-29,0,0.0,0.0,2023-03
2023-03-30,0,0.0,0.0,2023-03
2023-03-31,0,0.0,0.0,2023-03
2023-04-01,0,0.0,0.0,2023-04
2023-04-02,0,0.0,0.0,2023-04
2023-04-03,0,0.0,0.0,2023-04
2023-04-04,0,0.0,0.0,2023-04
2023-04-05,0,0.0,0.0,2023-04
2023-04-06,0,0.0,0.0,2023-04
2023-04-07,0,0.0,0.0,2023-04
2023-04-08,0,0.0,0.0,2023-04
2023-04-09,0,0.0,0.0,2023-04
2023-04-10,0,0.0,0.0,2023-04
2023-04-11,0,0.0,0.0,2023-04
2023-04-12,0,0.0,0.0,2023-04
2023-04-13,0,0.0,0.0,2023-04
2023-04-14,0,0.0,0.0,2023-04
2023-04-15,0,0.0,0.0,2023-04
2023-04-16,0,0.0,0.0,2023-04
2023-04-17,0,0.0,0.0,2023-04
2023-04-18,0,0.0,0.0,2023-04
2023-04-19,0,0.0,0.0,2023-04
2023-04-20,0,0.0,0.0,2023-04
2023-04-21,0,0.0,0.0,2023-04
2023-04-22,0,0.0,0.0,2023-04
2023-04-23,0,0.0,0.0,2023-04
2023-04-24,0,0.0,0.0,2023-04
2023-04-25,0,0.0,0.0,2023-04
2023-04-26,0,0.0,0.0,2023-04
2023-04-27,0,0.0,0.0,2023-04
2023-04-28,0,0.0,0.0,2023-04
2023-04-29,0,0.0,0.0,2023-04
2023-04-30,0,0.0,0.0,2023-04
2023-05-01,7,7.0,5.78,2023-05
2023-05-05,1,1.0,-1.0,2023-05
2023-05-06,6,6.0,0.08,2023-05
2023-05-13,8,8.0,1.34,2023-05
2023-05-19,6,6.0,0.86,2023-05
2023-06-02,0,0.0,0.0,2023-06
2023-06-03,0,0.0,0.0,2023-06
2023-06-04,0,0.0,0.0,2023-06
2023-06-05,0,0.0,0.0,2023-06
2023-06-06,0,0.0,0.0,2023-06
2023-06-07,0,0.0,0.0,2023-06
2023-07-28,0,0.0,0.0,2023-07
2023-07-29,0,0.0,0.0,2023-07
2023-07-30,0,0.0,0.0,2023-07
2023-08-18,1,1.0,2.07,2023-08
2023-08-19,3,3.0,0.38,2023-08
2023-08-20,3,3.0,0.03,2023-08
2023-08-25,1,1.0,-1.0,2023-08
2023-08-26,5,5.0,-1.72,2023-08
2023-08-27,1,1.0,-1.0,2023-08
2023-08-29,4,4.0,-4.0,2023-08
2023-08-30,4,4.0,-0.92,2023-08
2023-09-02,2,2.0,-2.0,2023-09
2023-09-03,4,4.0,5.47,2023-09
2023-09-15,1,1.0,-1.0,2023-09
2023-09-16,6,6.0,6.54,2023-09
2023-09-17,2,2.0,-2.0,2023-09
2023-09-18,1,1.0,-1.0,2023-09
2023-09-23,4,4.0,2.34,2023-09
2023-09-24,3,3.0,3.42,2023-09
2023-09-26,6,6.0,-0.06,2023-09
2023-09-27,3,3.0,0.15,2023-09
2023-09-30,5,5.0,-1.82,2023-09
2023-10-01,3,3.0,0.12,2023-10
2023-10-06,1,1.0,2.22,2023-10
2023-10-07,6,6.0,3.53,2023-10
2023-10-08,2,2.0,1.31,2023-10
2023-10-20,1,1.0,-1.0,2023-10
2023-10-21,4,4.0,-0.85,2023-10
2023-10-22,2,2.0,-2.0,2023-10
2023-10-23,1,1.0,2.34,2023-10
2023-10-24,1,1.0,-1.0,2023-10
2023-10-27,1,1.0,-1.0,2023-10
2023-10-28,5,5.0,-1.6,2023-10
2023-10-29,3,3.0,-3.0,2023-10
2023-11-04,7,7.0,-0.31,2023-11
2023-11-05,1,1.0,-1.0,2023-11
2023-11-08,1,1.0,2.43,2023-11
2023-11-10,1,1.0,-1.0,2023-11
2023-11-11,5,5.0,-1.96,2023-11
2023-11-12,1,1.0,-1.0,2023-11
2023-11-24,1,1.0,-1.0,2023-11
2023-11-25,5,5.0,4.51,2023-11
2023-11-26,2,2.0,1.23,2023-11
2023-11-28,1,1.0,1.94,2023-11
2023-12-01,1,1.0,-1.0,2023-12
2023-12-02,6,6.0,-2.63,2023-12
2023-12-03,3,3.0,-3.0,2023-12
2023-12-09,5,5.0,-5.0,2023-12
2023-12-10,3,3.0,3.5,2023-12
2023-12-15,1,1.0,-1.0,2023-12
2023-12-16,6,6.0,0.61,2023-12
2023-12-17,1,1.0,-1.0,2023-12
2023-12-23,6,6.0,0.32,2023-12
2023-12-26,10,10.0,5.86,2023-12
2024-01-12,1,1.0,-1.0,2024-01
2024-01-13,6,6.0,-2.91,2024-01
2024-01-14,1,1.0,-1.0,2024-01
2024-01-19,1,1.0,-1.0,2024-01
2024-01-20,8,8.0,-1.93,2024-01
2024-01-21,1,1.0,1.87,2024-01
2024-01-26,1,1.0,2.14,2024-01
2024-01-27,6,6.0,-6.0,2024-01
2024-01-28,1,1.0,-1.0,2024-01
2024-02-03,7,7.0,5.62,2024-02
2024-02-04,1,1.0,-1.0,2024-02
2024-02-09,1,1.0,-1.0,2024-02
2024-02-10,7,7.0,-3.83,2024-02
2024-02-11,1,1.0,2.24,2024-02
2024-02-16,1,1.0,2.21,2024-02
2024-02-17,8,8.0,-1.64,2024-02
2024-02-23,1,1.0,-1.0,2024-02
2024-02-24,6,6.0,3.65,2024-02
2024-02-25,1,1.0,2.24,2024-02
2024-02-27,4,4.0,-1.08,2024-02
2024-02-28,3,3.0,0.11,2024-02
2024-03-02,2,2.0,-2.0,2024-03
2024-03-03,7,7.0,-0.94,2024-03
2024-03-09,6,6.0,-3.02,2024-03
2024-03-10,1,1.0,-1.0,2024-03
2024-03-11,1,1.0,-1.0,2024-03
2024-03-15,1,1.0,-1.0,2024-03
2024-03-16,7,7.0,1.95,2024-03
2024-03-17,1,1.0,-1.0,2024-03
2024-04-01,0,0.0,0.0,2024-04
2024-04-02,0,0.0,0.0,2024-04
2024-04-03,0,0.0,0.0,2024-04
2024-04-04,0,0.0,0.0,2024-04
2024-04-05,0,0.0,0.0,2024-04
2024-04-06,0,0.0,0.0,2024-04
2024-04-07,0,0.0,0.0,2024-04
2024-04-08,0,0.0,0.0,2024-04
2024-04-09,0,0.0,0.0,2024-04
2024-04-10,0,0.0,0.0,2024-04
2024-04-11,0,0.0,0.0,2024-04
2024-04-12,0,0.0,0.0,2024-04
2024-04-13,0,0.0,0.0,2024-04
2024-04-14,0,0.0,0.0,2024-04
2024-04-15,0,0.0,0.0,2024-04
2024-04-16,0,0.0,0.0,2024-04
2024-04-17,0,0.0,0.0,2024-04
2024-04-18,0,0.0,0.0,2024-04
2024-04-19,0,0.0,0.0,2024-04
2024-04-20,0,0.0,0.0,2024-04
2024-04-21,0,0.0,0.0,2024-04
2024-04-22,0,0.0,0.0,2024-04
2024-04-23,0,0.0,0.0,2024-04
2024-04-24,0,0.0,0.0,2024-04
2024-04-25,0,0.0,0.0,2024-04
2024-04-26,0,0.0,0.0,2024-04
2024-04-27,0,0.0,0.0,2024-04
2024-04-28,0,0.0,0.0,2024-04
2024-04-29,0,0.0,0.0,2024-04
2024-04-30,0,0.0,0.0,2024-04
2024-05-01,0,0.0,0.0,2024-05
2024-05-02,0,0.0,0.0,2024-05
2024-05-03,0,0.0,0.0,2024-05
2024-05-04,0,0.0,0.0,2024-05
2024-05-05,0,0.0,0.0,2024-05
2024-05-06,0,0.0,0.0,2024-05
2024-05-07,0,0.0,0.0,2024-05
2024-05-08,0,0.0,0.0,2024-05
2024-05-09,0,0.0,0.0,2024-05
2024-05-10,0,0.0,0.0,2024-05
2024-05-11,0,0.0,0.0,2024-05
2024-05-12,0,0.0,0.0,2024-05
2024-05-13,0,0.0,0.0,2024-05
2024-05-14,0,0.0,0.0,2024-05
2024-05-15,0,0.0,0.0,2024-05
2024-05-16,0,0.0,0.0,2024-05
2024-05-17,0,0.0,0.0,2024-05
2024-05-18,0,0.0,0.0,2024-05
2024-05-19,0,0.0,0.0,2024-05
2024-05-20,0,0.0,0.0,2024-05
2024-05-21,0,0.0,0.0,2024-05
2024-05-22,0,0.0,0.0,2024-05
2024-05-23,0,0.0,0.0,2024-05
2024-05-24,0,0.0,0.0,2024-05
2024-05-25,0,0.0,0.0,2024-05
2024-05-26,0,0.0,0.0,2024-05
2024-06-02,0,0.0,0.0,2024-06
2024-07-26,0,0.0,0.0,2024-07
2024-07-27,0,0.0,0.0,2024-07
2024-07-28,0,0.0,0.0,2024-07
2024-08-02,0,0.0,0.0,2024-08
2024-08-03,0,0.0,0.0,2024-08
2024-08-04,0,0.0,0.0,2024-08
2024-08-05,0,0.0,0.0,2024-08
2024-08-06,0,0.0,0.0,2024-08
2024-08-07,0,0.0,0.0,2024-08
2024-08-08,0,0.0,0.0,2024-08
2024-08-09,0,0.0,0.0,2024-08
2024-08-10,0,0.0,0.0,2024-08
2024-08-11,0,0.0,0.0,2024-08
2024-08-12,0,0.0,0.0,2024-08
2024-08-13,0,0.0,0.0,2024-08
2024-08-14,0,0.0,0.0,2024-08
2024-08-15,0,0.0,0.0,2024-08
2024-08-16,0,0.0,0.0,2024-08
2024-08-17,0,0.0,0.0,2024-08
2024-08-18,0,0.0,0.0,2024-08
2024-08-19,0,0.0,0.0,2024-08
2024-08-20,0,0.0,0.0,2024-08
2024-08-21,0,0.0,0.0,2024-08
2024-08-22,0,0.0,0.0,2024-08
2024-08-23,0,0.0,0.0,2024-08
2024-08-24,0,0.0,0.0,2024-08
2024-08-25,0,0.0,0.0,2024-08
2024-08-26,0,0.0,0.0,2024-08
2024-08-27,0,0.0,0.0,2024-08
2024-08-28,0,0.0,0.0,2024-08
2024-08-29,0,0.0,0.0,2024-08
2024-08-30,0,0.0,0.0,2024-08
2024-08-31,0,0.0,0.0,2024-08
2024-09-01,5,5.0,1.54,2024-09
2024-09-13,1,1.0,1.87,2024-09
2024-09-14,5,5.0,1.78,2024-09
2024-09-15,4,4.0,-4.0,2024-09
2024-09-20,1,1.0,-1.0,2024-09
2024-09-21,6,6.0,0.24,2024-09
2024-09-22,2,2.0,-2.0,2024-09
2024-09-27,1,1.0,-1.0,2024-09
2024-09-28,3,3.0,6.43,2024-09
2024-09-29,3,3.0,0.49,2024-09
2024-09-30,2,2.0,-2.0,2024-09
2024-10-04,1,1.0,-1.0,2024-10
2024-10-05,2,2.0,-2.0,2024-10
2024-10-06,5,5.0,4.6,2024-10
2024-10-18,1,1.0,2.3,2024-10
2024-10-19,4,4.0,2.04,2024-10
2024-10-20,4,4.0,-0.76,2024-10
2024-10-25,1,1.0,2.17,2024-10
2024-10-26,4,4.0,-0.94,2024-10
2024-10-27,2,2.0,1.11,2024-10
2024-10-29,6,6.0,9.74,2024-10
2024-10-30,4,4.0,8.84,2024-10
2024-11-02,3,3.0,3.28,2024-11
2024-11-03,4,4.0,2.36,2024-11
2024-11-08,1,1.0,2.17,2024-11
2024-11-09,4,4.0,-4.0,2024-11
2024-11-10,4,4.0,-0.87,2024-11
2024-11-22,1,1.0,1.93,2024-11
2024-11-23,4,4.0,5.83,2024-11
2024-11-24,3,3.0,0.23,2024-11
2024-11-30,5,5.0,7.64,2024-11
2024-12-01,4,4.0,-0.68,2024-12
2024-12-07,5,5.0,-1.72,2024-12
2024-12-08,1,1.0,-1.0,2024-12
2024-12-13,1,1.0,-1.0,2024-12
2024-12-14,4,4.0,2.39,2024-12
2024-12-15,3,3.0,3.56,2024-12
2024-12-20,1,1.0,2.27,2024-12
2024-12-21,6,6.0,-6.0,2024-12
2024-12-22,1,1.0,-1.0,2024-12
2024-12-26,9,9.0,0.39,2024-12
2024-12-29,8,8.0,-1.76,2024-12
2025-01-12,8,8.0,10.94,2025-01
2025-01-13,1,1.0,-1.0,2025-01
2025-01-17,1,1.0,-1.0,2025-01
2025-01-18,4,4.0,2.33,2025-01
2025-01-19,3,3.0,-0.11,2025-01
2025-01-24,1,1.0,-1.0,2025-01
2025-01-25,5,5.0,1.45,2025-01
2025-01-26,3,3.0,0.29,2025-01
2025-01-31,1,1.0,-1.0,2025-01
2025-02-01,4,4.0,-4.0,2025-02
2025-02-02,4,4.0,-4.0,2025-02
2025-02-07,1,1.0,2.02,2025-02
2025-02-08,3,3.0,-0.03,2025-02
2025-02-09,3,3.0,0.3,2025-02
2025-02-14,1,1.0,-1.0,2025-02
2025-02-15,4,4.0,2.06,2025-02
2025-02-16,4,4.0,5.19,2025-02
2025-02-21,1,1.0,2.0,2025-02
2025-02-22,5,5.0,-2.2,2025-02
2025-02-23,3,3.0,3.15,2025-02
2025-02-28,1,1.0,2.27,2025-02
2025-03-01,5,5.0,-1.86,2025-03
2025-03-02,4,4.0,5.35,2025-03
2025-03-07,1,1.0,-1.0,2025-03
2025-03-08,5,5.0,4.13,2025-03
2025-03-09,2,2.0,-2.0,2025-03
2025-03-14,1,1.0,-1.0,2025-03
2025-03-15,4,4.0,2.15,2025-03
2025-03-16,3,3.0,2.77,2025-03
2025-03-29,4,4.0,-4.0,2025-03
2025-03-30,3,3.0,-3.0,2025-03
2025-04-04,1,1.0,-1.0,2025-04
2025-04-05,6,6.0,3.44,2025-04
2025-04-06,2,2.0,1.16,2025-04
2025-04-11,1,1.0,-1.0,2025-04
2025-04-12,5,5.0,1.23,2025-04
2025-04-13,1,1.0,2.08,2025-04
2025-04-25,6,6.0,-2.6,2025-04
2025-04-27,2,2.0,-2.0,2025-04
2025-05-01,9,9.0,-5.8,2025-05
2025-05-04,9,9.0,0.24,2025-05
2025-05-09,9,9.0,-3.06,2025-05
2025-05-13,7,7.0,2.44,2025-05
2025-06-01,0,0.0,0.0,2025-06
2025-07-25,0,0.0,0.0,2025-07
2025-07-26,0,0.0,0.0,2025-07
2025-07-27,0,0.0,0.0,2025-07
2025-08-22,1,1.0,-1.0,2025-08
2025-08-23,2,2.0,1.11,2025-08
2025-08-24,3,3.0,0.01,2025-08
2025-08-25,1,1.0,-1.0,2025-08
2025-08-29,1,1.0,-1.0,2025-08
2025-08-30,5,5.0,7.68,2025-08
2025-08-31,4,4.0,5.36,2025-08
2025-09-12,1,1.0,-1.0,2025-09
2025-09-13,6,6.0,3.28,2025-09
2025-09-14,3,3.0,-0.02,2025-09
2025-09-19,1,1.0,2.16,2025-09
2025-09-20,5,5.0,-1.88,2025-09
2025-09-21,3,3.0,-3.0,2025-09
2025-09-26,1,1.0,2.02,2025-09
2025-09-27,7,7.0,-0.81,2025-09
2025-09-28,1,1.0,2.17,2025-09
2025-09-30,5,5.0,7.48,2025-09
2025-10-01,4,4.0,8.3,2025-10
2025-10-04,4,4.0,-0.68,2025-10
2025-10-05,4,4.0,-4.0,2025-10
2025-10-17,1,1.0,-1.0,2025-10
2025-10-18,6,6.0,0.25,2025-10
2025-10-19,3,3.0,3.23,2025-10
2025-10-24,1,1.0,-1.0,2025-10
2025-10-25,6,6.0,0.47,2025-10
2025-10-26,2,2.0,0.93,2025-10
2025-10-28,6,6.0,0.02,2025-10
2025-10-29,2,2.0,1.26,2025-10
2025-11-01,4,4.0,-0.96,2025-11
2025-11-02,5,5.0,-5.0,2025-11
2025-11-07,1,1.0,2.09,2025-11
2025-11-08,6,6.0,3.25,2025-11
2025-11-09,2,2.0,-2.0,2025-11
