date,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_prob_bucket,favorite_relation,stake,won,profit,rule_label,month
2023-05-01,I2,Sudtirol,Genoa,draw,draw,3.11,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,True,2.11,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05
2023-05-01,I2,Ascoli,Pisa,draw,home,3.14,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,False,-1.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05
2023-05-01,I2,Venezia,Modena,draw,home,3.14,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,False,-1.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05
2023-05-01,I2,Como,Palermo,draw,draw,3.35,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,True,2.35,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05
2023-05-01,I2,Benevento,Parma,draw,draw,3.34,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,True,2.34,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05
2023-05-01,I2,Bari,Cittadella,draw,draw,3.35,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,True,2.35,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05
2023-05-01,I2,Brescia,Cosenza,draw,home,3.38,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,False,-1.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05
2023-05-05,I2,Perugia,Cagliari,draw,away,3.14,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,False,-1.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05
2023-05-06,I2,Modena,Bari,draw,draw,3.07,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,True,2.07,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05
2023-05-06,I2,Cosenza,Venezia,draw,draw,3.15,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,True,2.15,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05
2023-05-06,I2,Reggina,Como,draw,home,3.27,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,False,-1.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05
2023-05-06,I2,Cittadella,Benevento,draw,home,3.3,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,False,-1.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05
