candidate_id,odds_source,window_start,window_end,bets,total_staked,profit,roi_pct,max_drawdown,active_bet_days,positive_months,negative_months,walk_forward_active_months,rule_contributions,active_rules,passes_window,fail_reasons
market-bias-i2-draw-2.8-3.5-v1,AVG_OPEN,2022-08,2023-07,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
market-bias-i2-draw-2.8-3.5-v1,AVG_OPEN,2023-02,2024-01,72,720.0,-42.7,-5.93,197.4,22,0,2,2,"[{'rule_label': 'league|outcome|odds_bucket=I2|draw|[2.8,3.5)', 'bets': 72, 'profit': -42.7, 'roi_pct': -5.93}]",1,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
market-bias-i2-draw-2.8-3.5-v1,AVG_OPEN,2023-08,2024-07,72,720.0,-42.7,-5.93,197.4,22,0,2,2,"[{'rule_label': 'league|outcome|odds_bucket=I2|draw|[2.8,3.5)', 'bets': 72, 'profit': -42.7, 'roi_pct': -5.93}]",1,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
market-bias-i2-draw-2.8-3.5-v1,AVG_OPEN,2024-02,2025-01,70,700.0,63.5,9.07,83.7,20,1,1,2,"[{'rule_label': 'league|outcome|odds_bucket=I2|draw|[2.8,3.5)', 'bets': 70, 'profit': 63.5, 'roi_pct': 9.07}]",1,False,['positive_month_edge<minimum']
market-bias-i2-draw-2.8-3.5-v1,AVG_OPEN,2024-08,2025-07,194,1940.0,87.8,4.53,143.1,54,4,2,6,"[{'rule_label': 'league|outcome|odds_bucket=I2|draw|[2.8,3.5)', 'bets': 194, 'profit': 87.8, 'roi_pct': 4.53}]",1,False,['drawdown_to_profit>maximum']
market-bias-i2-draw-2.8-3.5-v1,AVG_OPEN,2025-02,2026-01,262,2620.0,149.7,5.71,143.1,76,5,3,8,"[{'rule_label': 'league|outcome|odds_bucket=I2|draw|[2.8,3.5)', 'bets': 262, 'profit': 149.7, 'roi_pct': 5.71}]",1,True,[]
market-bias-i2-draw-2.8-3.5-v1,AVG_CLOSE,2022-08,2023-07,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
market-bias-i2-draw-2.8-3.5-v1,AVG_CLOSE,2023-02,2024-01,74,740.0,-118.6,-16.03,217.5,22,0,2,2,"[{'rule_label': 'league|outcome|odds_bucket=I2|draw|[2.8,3.5)', 'bets': 74, 'profit': -118.6, 'roi_pct': -16.03}]",1,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
market-bias-i2-draw-2.8-3.5-v1,AVG_CLOSE,2023-08,2024-07,74,740.0,-118.6,-16.03,217.5,22,0,2,2,"[{'rule_label': 'league|outcome|odds_bucket=I2|draw|[2.8,3.5)', 'bets': 74, 'profit': -118.6, 'roi_pct': -16.03}]",1,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
market-bias-i2-draw-2.8-3.5-v1,AVG_CLOSE,2024-02,2025-01,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
market-bias-i2-draw-2.8-3.5-v1,AVG_CLOSE,2024-08,2025-07,115,1150.0,101.3,8.81,126.8,34,3,1,4,"[{'rule_label': 'league|outcome|odds_bucket=I2|draw|[2.8,3.5)', 'bets': 115, 'profit': 101.3, 'roi_pct': 8.81}]",1,True,[]
market-bias-i2-draw-2.8-3.5-v1,AVG_CLOSE,2025-02,2026-01,266,2660.0,228.4,8.59,165.7,82,6,3,9,"[{'rule_label': 'league|outcome|odds_bucket=I2|draw|[2.8,3.5)', 'bets': 266, 'profit': 228.4, 'roi_pct': 8.59}]",1,True,[]
market-bias-sp1-home-market-prob-0.55-1.00-v1,AVG_OPEN,2022-08,2023-07,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
market-bias-sp1-home-market-prob-0.55-1.00-v1,AVG_OPEN,2023-02,2024-01,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
market-bias-sp1-home-market-prob-0.55-1.00-v1,AVG_OPEN,2023-08,2024-07,42,420.0,40.1,9.55,20.8,33,2,2,4,"[{'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 42, 'profit': 40.1, 'roi_pct': 9.55}]",1,False,['positive_month_edge<minimum']
