candidate_id,odds_source,window_start,window_end,bets,total_staked,profit,roi_pct,max_drawdown,active_bet_days,positive_months,negative_months,walk_forward_active_months,passes_window,fail_reasons
market-bias-i2-draw-2.8-3.5-v1,AVG_OPEN,2022-08,2023-07,28,280.0,70.6,25.21,10.0,5,1,0,1,True,[]
market-bias-i2-draw-2.8-3.5-v1,AVG_OPEN,2023-02,2024-01,210,2100.0,-3.2,-0.15,184.4,65,3,4,7,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
market-bias-i2-draw-2.8-3.5-v1,AVG_OPEN,2023-08,2024-07,249,2490.0,-88.7,-3.56,208.8,80,3,5,8,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
market-bias-i2-draw-2.8-3.5-v1,AVG_OPEN,2024-02,2025-01,233,2330.0,518.8,22.27,115.5,71,5,2,7,True,[]
market-bias-i2-draw-2.8-3.5-v1,AVG_OPEN,2024-08,2025-07,290,2900.0,558.0,19.24,143.1,85,7,2,9,True,[]
market-bias-i2-draw-2.8-3.5-v1,AVG_OPEN,2025-02,2026-01,312,3120.0,275.5,8.83,143.1,93,7,3,10,True,[]
market-bias-i2-draw-2.8-3.5-v1,AVG_CLOSE,2022-08,2023-07,29,290.0,60.8,20.97,17.9,6,1,0,1,True,[]
market-bias-i2-draw-2.8-3.5-v1,AVG_CLOSE,2023-02,2024-01,217,2170.0,-77.8,-3.59,247.2,64,3,4,7,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
market-bias-i2-draw-2.8-3.5-v1,AVG_CLOSE,2023-08,2024-07,256,2560.0,-140.3,-5.48,248.9,78,3,5,8,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
market-bias-i2-draw-2.8-3.5-v1,AVG_CLOSE,2024-02,2025-01,235,2350.0,402.7,17.14,161.9,70,5,2,7,True,[]
market-bias-i2-draw-2.8-3.5-v1,AVG_CLOSE,2024-08,2025-07,282,2820.0,505.7,17.93,126.8,84,7,2,9,True,[]
market-bias-i2-draw-2.8-3.5-v1,AVG_CLOSE,2025-02,2026-01,298,2980.0,253.0,8.49,141.1,92,7,3,10,True,[]
market-bias-sp1-home-market-prob-0.55-1.00-v1,AVG_OPEN,2022-08,2023-07,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
market-bias-sp1-home-market-prob-0.55-1.00-v1,AVG_OPEN,2023-02,2024-01,36,360.0,55.1,15.31,22.7,25,3,0,3,True,[]
market-bias-sp1-home-market-prob-0.55-1.00-v1,AVG_OPEN,2023-08,2024-07,78,780.0,95.2,12.21,22.7,58,5,2,7,True,[]
market-bias-sp1-home-market-prob-0.55-1.00-v1,AVG_OPEN,2024-02,2025-01,87,870.0,78.7,9.05,37.8,64,4,5,9,False,['positive_month_edge<minimum']
market-bias-sp1-home-market-prob-0.55-1.00-v1,AVG_OPEN,2024-08,2025-07,45,450.0,38.6,8.58,20.0,31,2,3,5,False,['positive_month_edge<minimum']
market-bias-sp1-home-market-prob-0.55-1.00-v1,AVG_OPEN,2025-02,2026-01,6,60.0,17.5,29.17,0.0,5,1,0,1,False,['bets<minimum']
market-bias-sp1-home-market-prob-0.55-1.00-v1,AVG_CLOSE,2022-08,2023-07,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
market-bias-sp1-home-market-prob-0.55-1.00-v1,AVG_CLOSE,2023-02,2024-01,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
market-bias-sp1-home-market-prob-0.55-1.00-v1,AVG_CLOSE,2023-08,2024-07,25,250.0,-17.4,-6.96,30.0,15,0,2,2,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
market-bias-sp1-home-market-prob-0.55-1.00-v1,AVG_CLOSE,2024-02,2025-01,73,730.0,36.7,5.03,30.0,47,3,4,7,False,['positive_month_edge<minimum']
market-bias-sp1-home-market-prob-0.55-1.00-v1,AVG_CLOSE,2024-08,2025-07,60,600.0,53.0,8.83,21.9,39,3,3,6,False,['positive_month_edge<minimum']
