candidate_id,odds_source,window_start,window_end,bets,total_staked,profit,roi_pct,max_drawdown,active_bet_days,positive_months,negative_months,walk_forward_active_months,rule_contributions,active_rules,passes_window,fail_reasons
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2013-04,2014-03,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2013-10,2014-09,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2014-04,2015-03,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2014-10,2015-09,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2015-04,2016-03,1,10.0,19.8,198.0,0.0,1,1,0,1,"[{'rule_label': 'league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'bets': 1, 'profit': 19.8, 'roi_pct': 198.0}]",1,False,['bets<minimum']
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2015-10,2016-09,5,50.0,-20.2,-40.4,40.0,3,1,1,2,"[{'rule_label': 'league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'bets': 5, 'profit': -20.2, 'roi_pct': -40.4}]",1,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2016-04,2017-03,4,40.0,-40.0,-100.0,40.0,2,0,1,1,"[{'rule_label': 'league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'bets': 4, 'profit': -40.0, 'roi_pct': -100.0}]",1,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2016-10,2017-09,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2017-04,2018-03,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2017-10,2018-09,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2018-04,2019-03,10,100.0,51.0,51.0,30.0,5,1,0,1,"[{'rule_label': 'league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'bets': 10, 'profit': 51.0, 'roi_pct': 51.0}]",1,False,['bets<minimum']
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2018-10,2019-09,37,370.0,44.6,12.05,64.2,21,3,1,4,"[{'rule_label': 'league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'bets': 37, 'profit': 44.6, 'roi_pct': 12.05}]",1,True,[]
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2019-04,2020-03,27,270.0,-6.4,-2.37,64.2,16,2,1,3,"[{'rule_label': 'league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'bets': 27, 'profit': -6.4, 'roi_pct': -2.37}]",1,False,"['profit<=0', 'roi<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2019-10,2020-09,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2020-04,2021-03,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2020-10,2021-09,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2021-04,2022-03,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2021-10,2022-09,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2022-04,2023-03,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2022-10,2023-09,10,100.0,21.8,21.8,20.0,6,1,0,1,"[{'rule_label': 'league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'bets': 10, 'profit': 21.8, 'roi_pct': 21.8}]",1,False,['bets<minimum']
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2023-04,2024-03,18,180.0,65.6,36.44,30.0,13,4,0,4,"[{'rule_label': 'league|outcome|odds_bucket=SWE|away|[2.2,2.8)', 'bets': 8, 'profit': 43.8, 'roi_pct': 54.75}, {'rule_label': 'league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'bets': 10, 'profit': 21.8, 'roi_pct': 21.8}]",2,False,['bets<minimum']
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2023-10,2024-09,23,230.0,49.0,21.3,30.0,20,5,1,6,"[{'rule_label': 'league|outcome|odds_bucket=SWE|away|[2.2,2.8)', 'bets': 23, 'profit': 49.0, 'roi_pct': 21.3}]",1,True,[]
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2024-04,2025-03,26,260.0,-7.3,-2.81,42.5,19,2,2,4,"[{'rule_label': 'league|outcome|odds_bucket=SWE|away|[2.2,2.8)', 'bets': 15, 'profit': 5.2, 'roi_pct': 3.47}, {'rule_label': 'league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'bets': 11, 'profit': -12.5, 'roi_pct': -11.36}]",2,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2024-10,2025-09,48,480.0,-40.3,-8.4,118.6,21,1,2,3,"[{'rule_label': 'league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'bets': 48, 'profit': -40.3, 'roi_pct': -8.4}]",1,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,AVG_CLOSE,2025-04,2026-03,37,370.0,-27.8,-7.51,91.6,15,1,1,2,"[{'rule_label': 'league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'bets': 37, 'profit': -27.8, 'roi_pct': -7.51}]",1,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,PS_CLOSE,2013-04,2014-03,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,PS_CLOSE,2013-10,2014-09,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,PS_CLOSE,2014-04,2015-03,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,PS_CLOSE,2014-10,2015-09,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,PS_CLOSE,2015-04,2016-03,1,10.0,19.5,195.0,0.0,1,1,0,1,"[{'rule_label': 'league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'bets': 1, 'profit': 19.5, 'roi_pct': 195.0}]",1,False,['bets<minimum']
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,PS_CLOSE,2015-10,2016-09,14,140.0,18.2,13.0,50.0,9,2,2,4,"[{'rule_label': 'league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'bets': 14, 'profit': 18.2, 'roi_pct': 13.0}]",1,False,"['bets<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,PS_CLOSE,2016-04,2017-03,13,130.0,-1.3,-1.0,50.0,8,1,2,3,"[{'rule_label': 'league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'bets': 13, 'profit': -1.3, 'roi_pct': -1.0}]",1,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,PS_CLOSE,2016-10,2017-09,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,PS_CLOSE,2017-04,2018-03,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,PS_CLOSE,2017-10,2018-09,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
combo-league-outcome-market-prob-bucket-jpn-away-0p28-0p34-plus-league-outcome-odds-bucket-swe-away-2p2-2p8,PS_CLOSE,2018-04,2019-03,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
