bet_date,settlement_date,league,home_team,away_team,outcome,actual_result,odds,stake,won,profit,rule_label,month,season
2023-04-01,2023-04-02,I2,Cosenza,Pisa,draw,home,2.9,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-01,2023-04-02,I2,Perugia,Frosinone,draw,draw,3.0,10.0,True,20.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-01,2023-04-02,I2,Ascoli,Brescia,draw,home,3.1,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-01,2023-04-02,I2,Venezia,Como,draw,home,3.1,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-01,2023-04-02,I2,Spal,Ternana,draw,draw,3.2,10.0,True,22.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-01,2023-04-02,I2,Bari,Benevento,draw,home,3.2,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-02,2023-04-03,I2,Modena,Cittadella,draw,draw,3.1,10.0,True,21.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-05,2023-04-06,I2,Perugia,Reggina,draw,away,2.9,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-10,2023-04-11,I2,Sudtirol,Bari,draw,away,2.88,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-10,2023-04-11,I2,Pisa,Cagliari,draw,draw,3.0,10.0,True,20.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-10,2023-04-11,I2,Reggina,Venezia,draw,home,3.0,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-10,2023-04-11,I2,Cittadella,Parma,draw,away,3.0,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-10,2023-04-11,I2,Benevento,Spal,draw,away,3.2,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-10,2023-04-11,I2,Perugia,Modena,draw,away,3.2,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-10,2023-04-11,I2,Brescia,Ternana,draw,home,3.25,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-10,2023-04-11,I2,Como,Genoa,draw,draw,3.25,10.0,True,22.5,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-14,2023-04-15,I2,Modena,Parma,draw,draw,3.1,10.0,True,21.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-15,2023-04-16,I2,Cosenza,Cittadella,draw,draw,2.88,10.0,True,18.8,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-15,2023-04-16,I2,Bari,Como,draw,draw,2.9,10.0,True,19.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-15,2023-04-16,I2,Ascoli,Sudtirol,draw,home,3.0,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-15,2023-04-16,I2,Cagliari,Frosinone,draw,draw,3.0,10.0,True,20.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-15,2023-04-16,I2,Benevento,Reggina,draw,draw,3.1,10.0,True,21.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-15,2023-04-16,I2,Spal,Brescia,draw,draw,3.1,10.0,True,21.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-21,2023-04-22,I2,Reggina,Brescia,draw,away,3.1,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-22,2023-04-23,I2,Cittadella,Genoa,draw,away,3.0,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-22,2023-04-23,I2,Parma,Cagliari,draw,home,3.0,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-22,2023-04-23,I2,Perugia,Cosenza,draw,draw,3.2,10.0,True,22.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-23,2023-04-24,I2,Pisa,Bari,draw,away,3.2,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-23,2023-04-24,I2,Ternana,Venezia,draw,away,3.25,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-04-30,2023-05-01,I2,Spal,Perugia,draw,draw,3.25,10.0,True,22.5,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-04,2022-23
2023-05-01,2023-05-02,I2,Bari,Cittadella,draw,draw,3.0,10.0,True,20.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-05,2022-23
2023-05-01,2023-05-02,I2,Ascoli,Pisa,draw,home,3.1,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-05,2022-23
2023-05-01,2023-05-02,I2,Venezia,Modena,draw,home,3.2,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-05,2022-23
2023-05-01,2023-05-02,I2,Benevento,Parma,draw,draw,3.25,10.0,True,22.5,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-05,2022-23
2023-05-05,2023-05-06,I2,Perugia,Cagliari,draw,away,3.2,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-05,2022-23
2023-05-06,2023-05-07,I2,Pisa,Frosinone,draw,away,3.2,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-05,2022-23
2023-05-06,2023-05-07,I2,Cosenza,Venezia,draw,draw,3.2,10.0,True,22.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-05,2022-23
2023-05-06,2023-05-07,I2,Reggina,Como,draw,home,3.2,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-05,2022-23
2023-05-06,2023-05-07,I2,Modena,Bari,draw,draw,3.2,10.0,True,22.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-05,2022-23
2023-05-06,2023-05-07,I2,Cittadella,Benevento,draw,home,3.2,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-05,2022-23
2023-05-06,2023-05-07,I2,Ternana,Sudtirol,draw,away,3.25,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-05,2022-23
2023-05-13,2023-05-14,I2,Sudtirol,Cittadella,draw,draw,2.88,10.0,True,18.8,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-05,2022-23
2023-05-13,2023-05-14,I2,Frosinone,Genoa,draw,home,3.0,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-05,2022-23
2023-05-13,2023-05-14,I2,Bari,Reggina,draw,home,3.0,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-05,2022-23
2023-05-19,2023-05-20,I2,Modena,Sudtirol,draw,home,3.2,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-05,2022-23
2023-08-18,2023-08-19,I2,Bari,Palermo,draw,draw,3.1,10.0,True,21.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-08,2023-24
2023-08-19,2023-08-20,I2,Cosenza,Ascoli,draw,home,2.9,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-08,2023-24
2023-08-19,2023-08-20,I2,Ternana,Sampdoria,draw,away,3.2,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-08,2023-24
2023-08-20,2023-08-21,I2,Sudtirol,Spezia,draw,draw,3.0,10.0,True,20.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-08,2023-24
2023-08-20,2023-08-21,I2,Cittadella,Reggiana,draw,home,3.25,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-08,2023-24
2023-08-25,2023-08-26,I2,Sampdoria,Pisa,draw,away,3.1,10.0,False,-10.0,"league|outcome|custom_i2_draw_band=I2|draw|[2.70,3.30)",2023-08,2023-24
