date,bets,staked,settled_bets,settled_profit,equity,cooldown_active,skipped_reason
2023-02-03,1,10.0,0,0.0,0.0,False,
2023-02-04,7,70.0,1,-10.0,-10.0,False,
2023-02-05,2,20.0,7,-37.7,-47.7,False,
2023-02-06,0,0.0,2,-20.0,-67.7,False,
2023-02-07,0,0.0,0,0.0,-67.7,False,
2023-02-08,0,0.0,0,0.0,-67.7,False,
2023-02-09,0,0.0,0,0.0,-67.7,False,
2023-02-10,0,0.0,0,0.0,-67.7,False,
2023-02-11,5,50.0,0,0.0,-67.7,False,
2023-02-12,0,0.0,5,-18.8,-86.5,False,
2023-02-13,0,0.0,0,0.0,-86.5,False,
2023-02-14,0,0.0,0,0.0,-86.5,False,
2023-02-15,0,0.0,0,0.0,-86.5,False,
2023-02-16,0,0.0,0,0.0,-86.5,False,
2023-02-17,1,10.0,0,0.0,-86.5,False,
2023-02-18,6,60.0,1,19.8,-66.7,False,
2023-02-19,1,10.0,6,62.7,-4.0,False,
2023-02-20,0,0.0,1,20.8,16.8,False,
2023-02-21,0,0.0,0,0.0,16.8,False,
2023-02-22,0,0.0,0,0.0,16.8,False,
2023-02-23,0,0.0,0,0.0,16.8,False,
2023-02-24,2,20.0,0,0.0,16.8,False,
2023-02-25,5,50.0,2,-20.0,-3.2,False,
2023-02-26,1,10.0,5,13.0,9.8,False,
2023-02-27,0,0.0,1,21.0,30.8,False,
2023-02-28,2,20.0,0,0.0,30.8,False,
2023-03-01,6,60.0,2,-20.0,10.8,False,
2023-03-02,0,0.0,6,33.1,43.9,False,
2023-03-03,0,0.0,0,0.0,43.9,False,
2023-03-04,2,20.0,0,0.0,43.9,False,
2023-03-05,6,60.0,2,11.9,55.8,False,
2023-03-06,0,0.0,6,2.5,58.3,False,
2023-03-07,0,0.0,0,0.0,58.3,False,
2023-03-08,0,0.0,0,0.0,58.3,False,
2023-03-09,0,0.0,0,0.0,58.3,False,
2023-03-10,1,10.0,0,0.0,58.3,False,
2023-03-11,6,60.0,1,-10.0,48.3,False,
2023-03-12,1,10.0,6,94.8,143.1,False,
2023-03-13,0,0.0,1,-10.0,133.1,False,
2023-03-14,0,0.0,0,0.0,133.1,False,
2023-03-15,0,0.0,0,0.0,133.1,False,
2023-03-16,0,0.0,0,0.0,133.1,False,
2023-03-17,1,10.0,0,0.0,133.1,False,
2023-03-18,7,70.0,1,-10.0,123.1,False,
2023-03-19,1,10.0,7,-70.0,53.1,False,
2023-03-20,0,0.0,1,-10.0,43.1,False,
2023-03-21,0,0.0,0,0.0,43.1,False,
2023-03-22,0,0.0,0,0.0,43.1,False,
2023-03-23,0,0.0,0,0.0,43.1,False,
2023-03-24,0,0.0,0,0.0,43.1,False,
2023-03-25,0,0.0,0,0.0,43.1,False,
2023-03-26,0,0.0,0,0.0,43.1,False,
2023-03-27,0,0.0,0,0.0,43.1,False,
2023-03-28,0,0.0,0,0.0,43.1,False,
2023-03-29,0,0.0,0,0.0,43.1,False,
2023-03-30,0,0.0,0,0.0,43.1,False,
2023-03-31,0,0.0,0,0.0,43.1,False,
2023-04-01,6,60.0,0,0.0,43.1,False,
2023-04-02,1,10.0,6,1.7,44.8,False,
2023-04-03,0,0.0,1,21.6,66.4,False,
2023-04-04,0,0.0,0,0.0,66.4,False,
2023-04-05,1,10.0,0,0.0,66.4,False,
2023-04-06,0,0.0,1,-10.0,56.4,False,
2023-04-07,0,0.0,0,0.0,56.4,False,
2023-04-08,0,0.0,0,0.0,56.4,False,
2023-04-09,0,0.0,0,0.0,56.4,False,
2023-04-10,8,80.0,0,0.0,56.4,False,
2023-04-11,0,0.0,8,-17.2,39.2,False,
2023-04-12,0,0.0,0,0.0,39.2,False,
2023-04-13,0,0.0,0,0.0,39.2,False,
2023-04-14,1,10.0,0,0.0,39.2,False,
2023-04-15,7,70.0,1,20.2,59.4,False,
2023-04-16,1,10.0,7,80.8,140.2,False,
2023-04-17,0,0.0,1,-10.0,130.2,False,
2023-04-18,0,0.0,0,0.0,130.2,False,
2023-04-19,0,0.0,0,0.0,130.2,False,
2023-04-20,0,0.0,0,0.0,130.2,False,
2023-04-21,1,10.0,0,0.0,130.2,False,
2023-04-22,3,30.0,1,-10.0,120.2,False,
2023-04-23,2,20.0,3,1.8,122.0,False,
2023-04-24,0,0.0,2,-20.0,102.0,False,
2023-04-25,0,0.0,0,0.0,102.0,False,
2023-04-26,0,0.0,0,0.0,102.0,False,
2023-04-27,0,0.0,0,0.0,102.0,False,
2023-04-28,0,0.0,0,0.0,102.0,False,
2023-04-29,0,0.0,0,0.0,102.0,False,
2023-04-30,1,10.0,0,0.0,102.0,False,
2023-05-01,6,60.0,1,20.8,122.8,False,
2023-05-02,0,0.0,6,67.8,190.6,False,
2023-05-03,0,0.0,0,0.0,190.6,False,
2023-05-04,0,0.0,0,0.0,190.6,False,
2023-05-05,1,10.0,0,0.0,190.6,False,
2023-05-06,5,50.0,1,-10.0,180.6,False,
2023-05-07,0,0.0,5,10.8,191.4,False,
2023-05-08,0,0.0,0,0.0,191.4,False,
2023-05-09,0,0.0,0,0.0,191.4,False,
2023-05-10,0,0.0,0,0.0,191.4,False,
2023-05-11,0,0.0,0,0.0,191.4,False,
2023-05-12,0,0.0,0,0.0,191.4,False,
2023-05-13,7,70.0,0,0.0,191.4,False,
2023-05-14,0,0.0,7,23.4,214.8,False,
2023-05-15,0,0.0,0,0.0,214.8,False,
2023-05-16,0,0.0,0,0.0,214.8,False,
2023-05-17,0,0.0,0,0.0,214.8,False,
2023-05-18,0,0.0,0,0.0,214.8,False,
2023-05-19,1,10.0,0,0.0,214.8,False,
2023-05-20,0,0.0,1,-10.0,204.8,False,
2023-05-21,0,0.0,0,0.0,204.8,False,
2023-05-22,0,0.0,0,0.0,204.8,False,
2023-05-23,0,0.0,0,0.0,204.8,False,
2023-05-24,0,0.0,0,0.0,204.8,False,
2023-05-25,0,0.0,0,0.0,204.8,False,
2023-05-26,0,0.0,0,0.0,204.8,False,
2023-05-27,0,0.0,0,0.0,204.8,False,
2023-05-28,0,0.0,0,0.0,204.8,False,
2023-05-29,0,0.0,0,0.0,204.8,False,
2023-05-30,0,0.0,0,0.0,204.8,False,
2023-05-31,0,0.0,0,0.0,204.8,False,
2023-06-01,0,0.0,0,0.0,204.8,False,
2023-06-02,0,0.0,0,0.0,204.8,False,
2023-06-03,0,0.0,0,0.0,204.8,False,
2023-06-04,0,0.0,0,0.0,204.8,False,
2023-06-05,0,0.0,0,0.0,204.8,False,
2023-06-06,0,0.0,0,0.0,204.8,False,
2023-06-07,0,0.0,0,0.0,204.8,False,
2023-06-08,0,0.0,0,0.0,204.8,False,
2023-06-09,0,0.0,0,0.0,204.8,False,
2023-06-10,0,0.0,0,0.0,204.8,False,
2023-06-11,0,0.0,0,0.0,204.8,False,
2023-06-12,0,0.0,0,0.0,204.8,False,
2023-06-13,0,0.0,0,0.0,204.8,False,
2023-06-14,0,0.0,0,0.0,204.8,False,
2023-06-15,0,0.0,0,0.0,204.8,False,
2023-06-16,0,0.0,0,0.0,204.8,False,
2023-06-17,0,0.0,0,0.0,204.8,False,
2023-06-18,0,0.0,0,0.0,204.8,False,
2023-06-19,0,0.0,0,0.0,204.8,False,
2023-06-20,0,0.0,0,0.0,204.8,False,
2023-06-21,0,0.0,0,0.0,204.8,False,
2023-06-22,0,0.0,0,0.0,204.8,False,
2023-06-23,0,0.0,0,0.0,204.8,False,
2023-06-24,0,0.0,0,0.0,204.8,False,
2023-06-25,0,0.0,0,0.0,204.8,False,
2023-06-26,0,0.0,0,0.0,204.8,False,
2023-06-27,0,0.0,0,0.0,204.8,False,
2023-06-28,0,0.0,0,0.0,204.8,False,
2023-06-29,0,0.0,0,0.0,204.8,False,
2023-06-30,0,0.0,0,0.0,204.8,False,
2023-07-01,0,0.0,0,0.0,204.8,False,
2023-07-02,0,0.0,0,0.0,204.8,False,
2023-07-03,0,0.0,0,0.0,204.8,False,
2023-07-04,0,0.0,0,0.0,204.8,False,
2023-07-05,0,0.0,0,0.0,204.8,False,
2023-07-06,0,0.0,0,0.0,204.8,False,
2023-07-07,0,0.0,0,0.0,204.8,False,
2023-07-08,0,0.0,0,0.0,204.8,False,
2023-07-09,0,0.0,0,0.0,204.8,False,
2023-07-10,0,0.0,0,0.0,204.8,False,
2023-07-11,0,0.0,0,0.0,204.8,False,
2023-07-12,0,0.0,0,0.0,204.8,False,
2023-07-13,0,0.0,0,0.0,204.8,False,
2023-07-14,0,0.0,0,0.0,204.8,False,
2023-07-15,0,0.0,0,0.0,204.8,False,
2023-07-16,0,0.0,0,0.0,204.8,False,
2023-07-17,0,0.0,0,0.0,204.8,False,
2023-07-18,0,0.0,0,0.0,204.8,False,
2023-07-19,0,0.0,0,0.0,204.8,False,
2023-07-20,0,0.0,0,0.0,204.8,False,
2023-07-21,0,0.0,0,0.0,204.8,False,
2023-07-22,0,0.0,0,0.0,204.8,False,
2023-07-23,0,0.0,0,0.0,204.8,False,
2023-07-24,0,0.0,0,0.0,204.8,False,
2023-07-25,0,0.0,0,0.0,204.8,False,
2023-07-26,0,0.0,0,0.0,204.8,False,
2023-07-27,0,0.0,0,0.0,204.8,False,
2023-07-28,0,0.0,0,0.0,204.8,False,
2023-07-29,0,0.0,0,0.0,204.8,False,
2023-07-30,0,0.0,0,0.0,204.8,False,
2023-07-31,0,0.0,0,0.0,204.8,False,
2023-08-01,0,0.0,0,0.0,204.8,False,
2023-08-02,0,0.0,0,0.0,204.8,False,
2023-08-03,0,0.0,0,0.0,204.8,False,
2023-08-04,0,0.0,0,0.0,204.8,False,
2023-08-05,0,0.0,0,0.0,204.8,False,
2023-08-06,0,0.0,0,0.0,204.8,False,
2023-08-07,0,0.0,0,0.0,204.8,False,
2023-08-08,0,0.0,0,0.0,204.8,False,
2023-08-09,0,0.0,0,0.0,204.8,False,
2023-08-10,0,0.0,0,0.0,204.8,False,
2023-08-11,0,0.0,0,0.0,204.8,False,
2023-08-12,0,0.0,0,0.0,204.8,False,
2023-08-13,0,0.0,0,0.0,204.8,False,
2023-08-14,0,0.0,0,0.0,204.8,False,
2023-08-15,0,0.0,0,0.0,204.8,False,
2023-08-16,0,0.0,0,0.0,204.8,False,
2023-08-17,0,0.0,0,0.0,204.8,False,
2023-08-18,1,10.0,0,0.0,204.8,False,
2023-08-19,1,10.0,1,20.7,225.5,False,
2023-08-20,3,30.0,1,-10.0,215.5,False,
2023-08-21,0,0.0,3,0.3,215.8,False,
2023-08-22,0,0.0,0,0.0,215.8,False,
2023-08-23,0,0.0,0,0.0,215.8,False,
2023-08-24,0,0.0,0,0.0,215.8,False,
2023-08-25,1,10.0,0,0.0,215.8,False,
2023-08-26,3,30.0,1,-10.0,205.8,False,
2023-08-27,1,10.0,3,2.8,208.6,False,
2023-08-28,0,0.0,1,-10.0,198.6,False,
2023-08-29,3,30.0,0,0.0,198.6,False,
2023-08-30,3,30.0,3,-30.0,168.6,False,
2023-08-31,0,0.0,3,0.8,169.4,False,
2023-09-01,0,0.0,0,0.0,169.4,False,
2023-09-02,2,20.0,0,0.0,169.4,False,
2023-09-03,3,30.0,2,-20.0,149.4,False,
2023-09-04,0,0.0,3,31.5,180.9,False,
2023-09-05,0,0.0,0,0.0,180.9,False,
2023-09-06,0,0.0,0,0.0,180.9,False,
2023-09-07,0,0.0,0,0.0,180.9,False,
2023-09-08,0,0.0,0,0.0,180.9,False,
2023-09-09,0,0.0,0,0.0,180.9,False,
2023-09-10,0,0.0,0,0.0,180.9,False,
2023-09-11,0,0.0,0,0.0,180.9,False,
2023-09-12,0,0.0,0,0.0,180.9,False,
2023-09-13,0,0.0,0,0.0,180.9,False,
2023-09-14,0,0.0,0,0.0,180.9,False,
2023-09-15,0,0.0,0,0.0,180.9,False,
2023-09-16,6,60.0,0,0.0,180.9,False,
2023-09-17,1,10.0,6,65.4,246.3,False,
2023-09-18,1,10.0,1,-10.0,236.3,False,
2023-09-19,0,0.0,1,-10.0,226.3,False,
2023-09-20,0,0.0,0,0.0,226.3,False,
2023-09-21,0,0.0,0,0.0,226.3,False,
2023-09-22,0,0.0,0,0.0,226.3,False,
2023-09-23,3,30.0,0,0.0,226.3,False,
2023-09-24,2,20.0,3,33.4,259.7,False,
2023-09-25,0,0.0,2,10.8,270.5,False,
2023-09-26,6,60.0,0,0.0,270.5,False,
2023-09-27,2,20.0,6,-0.6,269.9,False,
2023-09-28,0,0.0,2,11.5,281.4,False,
2023-09-29,0,0.0,0,0.0,281.4,False,
2023-09-30,4,40.0,0,0.0,281.4,False,
2023-10-01,1,10.0,4,-8.2,273.2,False,
2023-10-02,0,0.0,1,21.2,294.4,False,
2023-10-03,0,0.0,0,0.0,294.4,False,
2023-10-04,0,0.0,0,0.0,294.4,False,
2023-10-05,0,0.0,0,0.0,294.4,False,
2023-10-06,1,10.0,0,0.0,294.4,False,
2023-10-07,6,60.0,1,22.2,316.6,False,
2023-10-08,1,10.0,6,35.3,351.9,False,
2023-10-09,0,0.0,1,-10.0,341.9,False,
2023-10-10,0,0.0,0,0.0,341.9,False,
2023-10-11,0,0.0,0,0.0,341.9,False,
2023-10-12,0,0.0,0,0.0,341.9,False,
2023-10-13,0,0.0,0,0.0,341.9,False,
2023-10-14,0,0.0,0,0.0,341.9,False,
2023-10-15,0,0.0,0,0.0,341.9,False,
2023-10-16,0,0.0,0,0.0,341.9,False,
2023-10-17,0,0.0,0,0.0,341.9,False,
2023-10-18,0,0.0,0,0.0,341.9,False,
2023-10-19,0,0.0,0,0.0,341.9,False,
2023-10-20,0,0.0,0,0.0,341.9,False,
2023-10-21,4,40.0,0,0.0,341.9,False,
2023-10-22,1,10.0,4,-8.5,333.4,False,
2023-10-23,0,0.0,1,-10.0,323.4,False,
2023-10-24,1,10.0,0,0.0,323.4,False,
2023-10-25,0,0.0,1,-10.0,313.4,False,
2023-10-26,0,0.0,0,0.0,313.4,False,
2023-10-27,1,10.0,0,0.0,313.4,False,
2023-10-28,3,30.0,1,-10.0,303.4,False,
2023-10-29,2,20.0,3,-30.0,273.4,False,
2023-10-30,0,0.0,2,-20.0,253.4,False,
2023-10-31,0,0.0,0,0.0,253.4,False,
2023-11-01,0,0.0,0,0.0,253.4,False,
2023-11-02,0,0.0,0,0.0,253.4,False,
2023-11-03,0,0.0,0,0.0,253.4,False,
2023-11-04,5,50.0,0,0.0,253.4,False,
2023-11-05,0,0.0,5,-17.5,235.9,False,
2023-11-06,0,0.0,0,0.0,235.9,False,
2023-11-07,0,0.0,0,0.0,235.9,False,
2023-11-08,0,0.0,0,0.0,235.9,False,
2023-11-09,0,0.0,0,0.0,235.9,False,
2023-11-10,0,0.0,0,0.0,235.9,False,
2023-11-11,5,50.0,0,0.0,235.9,False,
2023-11-12,0,0.0,5,-19.6,216.3,False,
2023-11-13,0,0.0,0,0.0,216.3,False,
2023-11-14,0,0.0,0,0.0,216.3,False,
2023-11-15,0,0.0,0,0.0,216.3,False,
2023-11-16,0,0.0,0,0.0,216.3,False,
2023-11-17,0,0.0,0,0.0,216.3,False,
2023-11-18,0,0.0,0,0.0,216.3,False,
2023-11-19,0,0.0,0,0.0,216.3,False,
2023-11-20,0,0.0,0,0.0,216.3,False,
2023-11-21,0,0.0,0,0.0,216.3,False,
2023-11-22,0,0.0,0,0.0,216.3,False,
2023-11-23,0,0.0,0,0.0,216.3,False,
2023-11-24,1,10.0,0,0.0,216.3,False,
2023-11-25,5,50.0,1,-10.0,206.3,False,
2023-11-26,1,10.0,5,45.1,251.4,False,
2023-11-27,0,0.0,1,22.3,273.7,False,
2023-11-28,1,10.0,0,0.0,273.7,False,
2023-11-29,0,0.0,1,19.4,293.1,False,
2023-11-30,0,0.0,0,0.0,293.1,False,
2023-12-01,0,0.0,0,0.0,293.1,False,
2023-12-02,2,20.0,0,0.0,293.1,False,
2023-12-03,3,30.0,2,-20.0,273.1,False,
2023-12-04,0,0.0,3,-30.0,243.1,False,
2023-12-05,0,0.0,0,0.0,243.1,False,
2023-12-06,0,0.0,0,0.0,243.1,False,
2023-12-07,0,0.0,0,0.0,243.1,False,
2023-12-08,0,0.0,0,0.0,243.1,False,
2023-12-09,4,40.0,0,0.0,243.1,False,
2023-12-10,2,20.0,4,-40.0,203.1,False,
2023-12-11,0,0.0,2,11.2,214.3,False,
2023-12-12,0,0.0,0,0.0,214.3,False,
2023-12-13,0,0.0,0,0.0,214.3,False,
2023-12-14,0,0.0,0,0.0,214.3,False,
2023-12-15,1,10.0,0,0.0,214.3,False,
2023-12-16,4,40.0,1,-10.0,204.3,False,
2023-12-17,1,10.0,4,-8.5,195.8,False,
2023-12-18,0,0.0,1,-10.0,185.8,False,
2023-12-19,0,0.0,0,0.0,185.8,False,
2023-12-20,0,0.0,0,0.0,185.8,False,
2023-12-21,0,0.0,0,0.0,185.8,False,
2023-12-22,0,0.0,0,0.0,185.8,False,
2023-12-23,6,60.0,0,0.0,185.8,False,
2023-12-24,0,0.0,6,3.2,189.0,False,
2023-12-25,0,0.0,0,0.0,189.0,False,
2023-12-26,8,80.0,0,0.0,189.0,False,
2023-12-27,0,0.0,8,44.9,233.9,False,
2023-12-28,0,0.0,0,0.0,233.9,False,
2023-12-29,0,0.0,0,0.0,233.9,False,
2023-12-30,0,0.0,0,0.0,233.9,False,
2023-12-31,0,0.0,0,0.0,233.9,False,
2024-01-01,0,0.0,0,0.0,233.9,False,
2024-01-02,0,0.0,0,0.0,233.9,False,
2024-01-03,0,0.0,0,0.0,233.9,False,
2024-01-04,0,0.0,0,0.0,233.9,False,
2024-01-05,0,0.0,0,0.0,233.9,False,
2024-01-06,0,0.0,0,0.0,233.9,False,
2024-01-07,0,0.0,0,0.0,233.9,False,
2024-01-08,0,0.0,0,0.0,233.9,False,
2024-01-09,0,0.0,0,0.0,233.9,False,
2024-01-10,0,0.0,0,0.0,233.9,False,
2024-01-11,0,0.0,0,0.0,233.9,False,
2024-01-12,0,0.0,0,0.0,233.9,False,
2024-01-13,5,50.0,0,0.0,233.9,False,
2024-01-14,1,10.0,5,-19.1,214.8,False,
2024-01-15,0,0.0,1,-10.0,204.8,False,
2024-01-16,0,0.0,0,0.0,204.8,False,
2024-01-17,0,0.0,0,0.0,204.8,False,
2024-01-18,0,0.0,0,0.0,204.8,False,
2024-01-19,1,10.0,0,0.0,204.8,False,
2024-01-20,7,70.0,1,-10.0,194.8,False,
2024-01-21,1,10.0,7,-9.3,185.5,False,
2024-01-22,0,0.0,1,18.7,204.2,False,
2024-01-23,0,0.0,0,0.0,204.2,False,
2024-01-24,0,0.0,0,0.0,204.2,False,
2024-01-25,0,0.0,0,0.0,204.2,False,
2024-01-26,1,10.0,0,0.0,204.2,False,
2024-01-27,4,40.0,1,21.4,225.6,False,
2024-01-28,1,10.0,4,-40.0,185.6,False,
2024-01-29,0,0.0,1,-10.0,175.6,False,
2024-01-30,0,0.0,0,0.0,175.6,False,
2024-01-31,0,0.0,0,0.0,175.6,False,
2024-02-01,0,0.0,0,0.0,175.6,False,
2024-02-02,0,0.0,0,0.0,175.6,False,
2024-02-03,6,60.0,0,0.0,175.6,False,
2024-02-04,1,10.0,6,66.2,241.8,False,
2024-02-05,0,0.0,1,-10.0,231.8,False,
2024-02-06,0,0.0,0,0.0,231.8,False,
2024-02-07,0,0.0,0,0.0,231.8,False,
2024-02-08,0,0.0,0,0.0,231.8,False,
2024-02-09,0,0.0,0,0.0,231.8,False,
2024-02-10,5,50.0,0,0.0,231.8,False,
2024-02-11,1,10.0,5,-18.3,213.5,False,
2024-02-12,0,0.0,1,22.4,235.9,False,
2024-02-13,0,0.0,0,0.0,235.9,False,
2024-02-14,0,0.0,0,0.0,235.9,False,
2024-02-15,0,0.0,0,0.0,235.9,False,
