bet_date,settlement_date,league,home_team,away_team,outcome,actual_result,odds,stake,won,profit,rule_label,month,season
2023-02-03,2023-02-04,I2,Modena,Cagliari,draw,home,3.27,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-04,2023-02-05,I2,Cittadella,Ascoli,draw,home,3.08,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-04,2023-02-05,I2,Benevento,Venezia,draw,away,3.1,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-04,2023-02-05,I2,Spal,Bari,draw,away,3.21,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-04,2023-02-05,I2,Pisa,Sudtirol,draw,away,3.29,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-04,2023-02-05,I2,Como,Frosinone,draw,away,3.3,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-04,2023-02-05,I2,Cosenza,Ternana,draw,draw,3.43,10.0,True,24.3,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-04,2023-02-05,I2,Perugia,Brescia,draw,home,3.44,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-05,2023-02-06,I2,Palermo,Reggina,draw,home,3.03,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-05,2023-02-06,I2,Parma,Genoa,draw,home,3.11,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-11,2023-02-12,I2,Sudtirol,Como,draw,draw,3.11,10.0,True,21.1,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-11,2023-02-12,I2,Ascoli,Perugia,draw,home,3.14,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-11,2023-02-12,I2,Reggina,Pisa,draw,away,3.32,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-11,2023-02-12,I2,Brescia,Modena,draw,away,3.34,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-11,2023-02-12,I2,Ternana,Parma,draw,draw,3.38,10.0,True,23.8,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-11,2023-02-12,I2,Cagliari,Benevento,draw,home,3.39,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-11,2023-02-12,I2,Frosinone,Cittadella,draw,home,3.4,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-11,2023-02-12,I2,Venezia,Spal,draw,home,3.42,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-17,2023-02-18,I2,Pisa,Venezia,draw,draw,3.1,10.0,True,21.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-18,2023-02-19,I2,Cosenza,Sudtirol,draw,draw,3.0,10.0,True,20.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-18,2023-02-19,I2,Cittadella,Reggina,draw,home,3.0,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-18,2023-02-19,I2,Palermo,Frosinone,draw,draw,3.2,10.0,True,22.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-18,2023-02-19,I2,Bari,Cagliari,draw,draw,3.23,10.0,True,22.3,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-18,2023-02-19,I2,Benevento,Brescia,draw,home,3.28,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-18,2023-02-19,I2,Spal,Como,draw,draw,3.3,10.0,True,23.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-18,2023-02-19,I2,Perugia,Ternana,draw,home,3.4,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-18,2023-02-19,I2,Parma,Ascoli,draw,away,3.43,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-19,2023-02-20,I2,Modena,Genoa,draw,draw,3.17,10.0,True,21.7,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
2023-02-24,2023-02-25,I2,Pisa,Perugia,draw,home,3.15,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-02,2022-23
