date,bets,staked,settled_bets,settled_profit,equity,cooldown_active,skipped_reason
2026-02-01,2,50.0,0,0.0,0.0,False,
2026-02-02,0,0.0,2,24.0,24.0,False,
2026-02-03,0,0.0,0,0.0,24.0,False,
2026-02-04,0,0.0,0,0.0,24.0,False,
2026-02-05,0,0.0,0,0.0,24.0,False,
2026-02-06,0,0.0,0,0.0,24.0,False,
2026-02-07,7,100.03,0,0.0,24.0,False,
2026-02-08,0,0.0,7,29.13,53.13,False,
2026-02-09,0,0.0,0,0.0,53.13,False,
2026-02-10,5,100.0,0,0.0,53.13,False,
2026-02-11,4,100.0,5,-39.6,13.53,False,
2026-02-12,0,0.0,4,47.0,60.53,False,
2026-02-13,0,0.0,0,0.0,60.53,False,
2026-02-14,3,75.0,0,0.0,60.53,False,
2026-02-15,5,100.0,3,-75.0,-14.47,False,
2026-02-16,0,0.0,5,-36.2,-50.67,False,
2026-02-17,0,0.0,0,0.0,-50.67,False,
2026-02-18,0,0.0,0,0.0,-50.67,False,
2026-02-19,0,0.0,0,0.0,-50.67,False,
2026-02-20,0,0.0,0,0.0,-50.67,False,
2026-02-21,6,100.02,0,0.0,-50.67,False,
2026-02-22,0,0.0,6,-50.02,-100.69,True,cooldown_after_losing_settlement_days
2026-02-23,0,0.0,0,0.0,-100.69,True,
2026-02-24,0,0.0,0,0.0,-100.69,True,
2026-02-25,0,0.0,0,0.0,-100.69,True,
2026-02-26,0,0.0,0,0.0,-100.69,True,
2026-02-27,0,0.0,0,0.0,-100.69,True,cooldown_after_losing_settlement_days
2026-02-28,0,0.0,0,0.0,-100.69,True,cooldown_after_losing_settlement_days
2026-03-01,2,50.0,0,0.0,-100.69,False,
2026-03-02,0,0.0,2,106.25,5.56,False,
2026-03-03,4,100.0,0,0.0,5.56,False,
2026-03-04,3,75.0,4,-27.75,-22.19,False,
2026-03-05,0,0.0,3,75.5,53.31,False,
2026-03-06,0,0.0,0,0.0,53.31,False,
2026-03-07,4,100.0,0,0.0,53.31,False,
2026-03-08,4,100.0,4,-17.5,35.81,False,
2026-03-09,0,0.0,4,-100.0,-64.19,False,
2026-03-10,0,0.0,0,0.0,-64.19,False,
2026-03-11,0,0.0,0,0.0,-64.19,False,
2026-03-12,0,0.0,0,0.0,-64.19,False,
2026-03-13,1,25.0,0,0.0,-64.19,False,
2026-03-14,0,0.0,1,-25.0,-89.19,True,cooldown_after_losing_settlement_days
2026-03-15,0,0.0,0,0.0,-89.19,True,cooldown_after_losing_settlement_days
2026-03-16,0,0.0,0,0.0,-89.19,True,
2026-03-17,0,0.0,0,0.0,-89.19,True,cooldown_after_losing_settlement_days
2026-03-18,0,0.0,0,0.0,-89.19,True,cooldown_after_losing_settlement_days
2026-03-19,0,0.0,0,0.0,-89.19,True,
2026-03-20,0,0.0,0,0.0,-89.19,True,
2026-03-21,4,100.0,0,0.0,-89.19,False,
2026-03-22,4,100.0,4,-25.0,-114.19,False,
2026-03-23,0,0.0,4,-100.0,-214.19,False,
2026-03-24,0,0.0,0,0.0,-214.19,False,
2026-03-25,0,0.0,0,0.0,-214.19,False,
2026-03-26,0,0.0,0,0.0,-214.19,False,
