bet_date,settlement_date,league,home_team,away_team,outcome,actual_result,odds,stake,won,profit,rule_label,month,season
2023-11-05,2023-11-06,SP1,Real Madrid,Vallecano,home,draw,1.28,10.0,False,-10.0,"league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]",2023-11,2023-24
2023-11-05,2023-11-06,SP1,Valencia,Granada,home,home,1.65,10.0,True,6.5,"league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]",2023-11,2023-24
2023-11-10,2023-11-11,SP1,Ath Bilbao,Celta,home,home,1.68,10.0,True,6.8,"league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]",2023-11,2023-24
2023-11-11,2023-11-12,SP1,Real Madrid,Valencia,home,home,1.33,10.0,True,3.3,"league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]",2023-11,2023-24
2023-11-12,2023-11-13,SP1,Barcelona,Alaves,home,home,1.25,10.0,True,2.5,"league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]",2023-11,2023-24
2023-11-12,2023-11-13,SP1,Ath Madrid,Villarreal,home,home,1.37,10.0,True,3.7,"league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]",2023-11,2023-24
2023-11-24,2023-11-25,SP1,Alaves,Granada,home,home,1.74,10.0,True,7.4,"league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]",2023-11,2023-24
2023-11-25,2023-11-26,SP1,Ath Madrid,Mallorca,home,home,1.38,10.0,True,3.8,"league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]",2023-11,2023-24
2023-11-25,2023-11-26,SP1,Getafe,Almeria,home,home,1.68,10.0,True,6.8,"league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]",2023-11,2023-24
2023-11-26,2023-11-27,SP1,Betis,Las Palmas,home,home,1.68,10.0,True,6.8,"league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]",2023-11,2023-24
2023-12-02,2023-12-03,SP1,Real Madrid,Granada,home,home,1.16,10.0,True,1.6,"league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]",2023-12,2023-24
2023-12-02,2023-12-03,SP1,Ath Bilbao,Vallecano,home,home,1.59,10.0,True,5.9,"league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]",2023-12,2023-24
