bet_date,settlement_date,league,home_team,away_team,outcome,actual_result,odds,stake,won,profit,rule_label,month,season
2023-03-04,2023-03-05,T1,Trabzonspor,Umraniyespor,home,away,1.41,10.0,False,-10.0,"league|market_prob_bucket=T1|[0.55,1.00]",2023-03,2022-23
2023-03-05,2023-03-06,T1,Besiktas,Ankaragucu,home,home,1.51,10.0,True,5.1,"league|market_prob_bucket=T1|[0.55,1.00]",2023-03,2022-23
2023-03-11,2023-03-12,T1,Galatasaray,Kasimpasa,home,home,1.27,10.0,True,2.7,"league|market_prob_bucket=T1|[0.55,1.00]",2023-03,2022-23
2023-03-12,2023-03-13,T1,Trabzonspor,Ad. Demirspor,home,home,1.69,10.0,True,6.9,"league|market_prob_bucket=T1|[0.55,1.00]",2023-03,2022-23
2023-03-18,2023-03-19,T1,Besiktas,Istanbulspor,home,home,1.26,10.0,True,2.6,"league|market_prob_bucket=T1|[0.55,1.00]",2023-03,2022-23
2023-04-01,2023-04-02,T1,Galatasaray,Ad. Demirspor,home,home,1.43,10.0,True,4.3,"league|market_prob_bucket=T1|[0.55,1.00]",2023-04,2022-23
2023-04-01,2023-04-02,T1,Trabzonspor,Kayserispor,home,away,1.49,10.0,False,-10.0,"league|market_prob_bucket=T1|[0.55,1.00]",2023-04,2022-23
2023-04-08,2023-04-09,T1,Ankaragucu,Istanbulspor,home,home,1.67,10.0,True,6.7,"league|market_prob_bucket=T1|[0.55,1.00]",2023-04,2022-23
2023-04-09,2023-04-10,T1,Besiktas,Giresunspor,home,home,1.4,10.0,True,4.0,"league|market_prob_bucket=T1|[0.55,1.00]",2023-04,2022-23
2023-04-10,2023-04-11,T1,Karagumruk,Fenerbahce,away,away,1.64,10.0,True,6.4,"league|market_prob_bucket=T1|[0.55,1.00]",2023-04,2022-23
2023-04-14,2023-04-15,T1,Galatasaray,Kayserispor,home,home,1.3,10.0,True,3.0,"league|market_prob_bucket=T1|[0.55,1.00]",2023-04,2022-23
2023-04-15,2023-04-16,T1,Fenerbahce,Ankaragucu,home,home,1.34,10.0,True,3.4,"league|market_prob_bucket=T1|[0.55,1.00]",2023-04,2022-23
2023-04-18,2023-04-19,T1,Alanyaspor,Galatasaray,away,away,1.48,10.0,True,4.8,"league|market_prob_bucket=T1|[0.55,1.00]",2023-04,2022-23
2023-04-22,2023-04-23,T1,Umraniyespor,Besiktas,away,away,1.7,10.0,True,7.0,"league|market_prob_bucket=T1|[0.55,1.00]",2023-04,2022-23
2023-04-23,2023-04-24,T1,Galatasaray,Karagumruk,home,draw,1.28,10.0,False,-10.0,"league|market_prob_bucket=T1|[0.55,1.00]",2023-04,2022-23
2023-04-23,2023-04-24,T1,Ad. Demirspor,Kayserispor,home,home,1.59,10.0,True,5.9,"league|market_prob_bucket=T1|[0.55,1.00]",2023-04,2022-23
2023-04-24,2023-04-25,T1,Fenerbahce,Istanbulspor,home,draw,1.22,10.0,False,-10.0,"league|market_prob_bucket=T1|[0.55,1.00]",2023-04,2022-23
2023-05-01,2023-05-02,I2,Ascoli,Pisa,draw,home,3.06,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-01,2023-05-02,I2,Sudtirol,Genoa,draw,draw,3.07,10.0,True,20.7,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-01,2023-05-02,I2,Venezia,Modena,draw,home,3.18,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-01,2023-05-02,I2,Bari,Cittadella,draw,draw,3.21,10.0,True,22.1,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-01,2023-05-02,I2,Benevento,Parma,draw,draw,3.22,10.0,True,22.2,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-01,2023-05-02,I2,Como,Palermo,draw,draw,3.28,10.0,True,22.8,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-01,2023-05-02,I2,Brescia,Cosenza,draw,home,3.33,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-05,2023-05-06,I2,Perugia,Cagliari,draw,away,3.07,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-06,2023-05-07,T1,Ad. Demirspor,Alanyaspor,home,home,1.54,10.0,True,5.4,"league|market_prob_bucket=T1|[0.55,1.00]",2023-05,2022-23
2023-05-06,2023-05-07,I2,Modena,Bari,draw,draw,3.01,10.0,True,20.1,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-06,2023-05-07,I2,Cosenza,Venezia,draw,draw,3.07,10.0,True,20.7,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-06,2023-05-07,I2,Reggina,Como,draw,home,3.17,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-06,2023-05-07,I2,Cittadella,Benevento,draw,home,3.21,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-06,2023-05-07,I2,Pisa,Frosinone,draw,away,3.25,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-06,2023-05-07,I2,Ternana,Sudtirol,draw,away,3.31,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-07,2023-05-08,T1,Giresunspor,Fenerbahce,away,draw,1.48,10.0,False,-10.0,"league|market_prob_bucket=T1|[0.55,1.00]",2023-05,2022-23
2023-05-08,2023-05-09,T1,Galatasaray,Buyuksehyr,home,home,1.43,10.0,True,4.3,"league|market_prob_bucket=T1|[0.55,1.00]",2023-05,2022-23
2023-05-13,2023-05-14,I2,Sudtirol,Cittadella,draw,draw,2.92,10.0,True,19.2,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-13,2023-05-14,I2,Como,Ternana,draw,home,2.98,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-13,2023-05-14,I2,Frosinone,Genoa,draw,home,3.04,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-13,2023-05-14,I2,Brescia,Pisa,draw,draw,3.13,10.0,True,21.3,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-13,2023-05-14,I2,Bari,Reggina,draw,home,3.22,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-13,2023-05-14,I2,Spal,Parma,draw,away,3.25,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-13,2023-05-14,I2,Ascoli,Cosenza,draw,draw,3.29,10.0,True,22.9,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-13,2023-05-14,I2,Benevento,Modena,draw,home,3.34,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-16,2023-05-17,T1,Istanbulspor,Galatasaray,away,away,1.3,10.0,True,3.0,"league|market_prob_bucket=T1|[0.55,1.00]",2023-05,2022-23
2023-05-17,2023-05-18,T1,Buyuksehyr,Umraniyespor,home,draw,1.69,10.0,False,-10.0,"league|market_prob_bucket=T1|[0.55,1.00]",2023-05,2022-23
2023-05-18,2023-05-19,T1,Fenerbahce,Trabzonspor,home,home,1.55,10.0,True,5.5,"league|market_prob_bucket=T1|[0.55,1.00]",2023-05,2022-23
2023-05-19,2023-05-20,I2,Modena,Sudtirol,draw,home,3.1,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-19,2023-05-20,I2,Parma,Venezia,draw,home,3.36,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
2023-05-19,2023-05-20,I2,Ternana,Frosinone,draw,away,3.39,10.0,False,-10.0,"league|outcome|odds_bucket=I2|draw|[2.8,3.5)",2023-05,2022-23
