odds_source,profile,lookback_months,min_active_months,min_bets,min_roi,bets,profit,roi_pct,max_drawdown,active_months,positive_months,negative_months,positive_seasons,negative_seasons,latest_season,latest_season_bets,latest_season_profit,verdict,passes_gate,fail_reasons
AVG_OPEN,default,12,6,50,0.02,997,113.91,11.43,24.93,30,17,13,3,1,2025-26,361,43.18,research_candidate_requires_live_shadow,True,[]
AVG_OPEN,lookback18,18,6,50,0.02,1097,125.31,11.42,27.4,31,18,13,4,0,2025-26,406,18.62,research_candidate_requires_live_shadow,True,[]
AVG_OPEN,stricter_selection,12,8,80,0.04,895,96.35,10.77,22.5,28,17,11,3,1,2025-26,322,34.66,research_candidate_requires_live_shadow,True,[]
AVG_CLOSE,default,12,6,50,0.02,867,66.19,7.63,28.54,28,17,11,3,1,2025-26,297,23.17,research_candidate_requires_live_shadow,True,[]
AVG_CLOSE,lookback18,18,6,50,0.02,944,91.12,9.65,33.31,32,19,13,4,0,2025-26,297,23.17,research_candidate_requires_live_shadow,True,[]
AVG_CLOSE,stricter_selection,12,8,80,0.04,830,46.83,5.64,28.54,27,16,11,3,1,2025-26,297,23.17,research_candidate_requires_live_shadow,True,[]
MAX_OPEN,default,12,6,50,0.02,813,100.37,12.35,18.36,30,18,12,4,0,2025-26,259,36.25,research_candidate_requires_live_shadow,True,[]
MAX_OPEN,lookback18,18,6,50,0.02,910,161.07,17.7,18.36,34,22,12,4,0,2025-26,259,36.25,research_candidate_requires_live_shadow,True,[]
MAX_OPEN,stricter_selection,12,8,80,0.04,748,93.51,12.5,18.36,28,16,12,4,0,2025-26,259,36.25,research_candidate_requires_live_shadow,True,[]
MAX_CLOSE,default,12,6,50,0.02,711,42.35,5.96,22.85,26,16,10,3,1,2025-26,252,13.96,research_candidate_requires_live_shadow,True,[]
MAX_CLOSE,lookback18,18,6,50,0.02,773,67.23,8.7,20.94,29,18,11,4,0,2025-26,252,13.96,research_candidate_requires_live_shadow,True,[]
MAX_CLOSE,stricter_selection,12,8,80,0.04,641,39.09,6.1,22.85,24,14,10,3,1,2025-26,252,13.96,research_candidate_requires_live_shadow,True,[]
B365_OPEN,default,12,6,50,0.02,843,74.68,8.86,17.71,32,20,12,4,0,2025-26,316,17.24,research_candidate_requires_live_shadow,True,[]
B365_OPEN,lookback18,18,6,50,0.02,983,110.33,11.22,19.11,35,22,13,4,0,2025-26,351,27.44,research_candidate_requires_live_shadow,True,[]
B365_OPEN,stricter_selection,12,8,80,0.04,660,56.08,8.5,21.0,23,13,10,4,0,2025-26,255,20.94,candidate_positive_but_unstable,True,[]
B365_CLOSE,default,12,6,50,0.02,715,33.69,4.71,28.93,24,10,14,3,1,2025-26,140,-14.48,not_enough_recent_evidence,False,"['positive_months<=negative_months', 'latest_season_profit<0']"
B365_CLOSE,lookback18,18,6,50,0.02,1052,141.22,13.42,20.55,34,20,14,4,0,2025-26,322,12.0,research_candidate_requires_live_shadow,True,[]
B365_CLOSE,stricter_selection,12,8,80,0.04,626,29.69,4.74,21.6,21,9,12,2,2,2025-26,92,-8.45,not_enough_recent_evidence,False,"['positive_months<=negative_months', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
PS_OPEN,default,12,6,50,0.02,390,53.65,13.76,16.63,14,9,5,4,0,2025-26,77,26.55,candidate_positive_but_unstable,True,[]
PS_OPEN,lookback18,18,6,50,0.02,351,54.51,15.53,16.93,14,9,5,4,0,2025-26,88,36.29,candidate_positive_but_unstable,True,[]
PS_OPEN,stricter_selection,12,8,80,0.04,390,53.65,13.76,16.63,14,9,5,4,0,2025-26,77,26.55,candidate_positive_but_unstable,True,[]
PS_CLOSE,default,12,6,50,0.02,472,45.42,9.62,24.68,16,9,7,3,1,2025-26,78,24.4,candidate_positive_but_unstable,True,[]
PS_CLOSE,lookback18,18,6,50,0.02,543,89.35,16.45,16.22,19,13,6,4,0,2025-26,78,24.4,candidate_positive_but_unstable,True,[]
PS_CLOSE,stricter_selection,12,8,80,0.04,472,45.42,9.62,24.68,16,9,7,3,1,2025-26,78,24.4,candidate_positive_but_unstable,True,[]
