odds_source,profile,lookback_months,min_active_months,min_bets,min_roi,bets,profit,roi_pct,max_drawdown,active_months,positive_months,negative_months,positive_seasons,negative_seasons,latest_season,latest_season_bets,latest_season_profit,verdict,passes_gate,fail_reasons
AVG_OPEN,default,12,6,50,0.02,126,31.15,24.72,11.24,18,10,8,2,1,2025-26,57,14.41,candidate_positive_but_unstable,True,[]
AVG_OPEN,lookback18,18,6,50,0.02,179,15.86,8.86,28.56,20,10,10,2,1,2025-26,102,-10.15,not_enough_recent_evidence,False,"['positive_months<=negative_months', 'drawdown>profit', 'latest_season_profit<0']"
AVG_OPEN,stricter_selection,12,8,80,0.04,24,13.59,56.62,4.0,3,2,1,2,0,2025-26,18,5.89,not_enough_sample,False,"['bets<100', 'active_months<12']"
AVG_CLOSE,default,12,6,50,0.02,4,-0.6,-15.0,3.0,1,0,1,0,1,2024-25,4,-0.6,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'drawdown>profit', 'latest_season_bets<10', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
AVG_CLOSE,lookback18,18,6,50,0.02,37,7.78,21.03,7.53,6,3,3,1,0,2023-24,37,7.78,not_enough_sample,False,"['bets<100', 'active_months<12', 'positive_months<=negative_months']"
AVG_CLOSE,stricter_selection,12,8,80,0.04,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
MAX_OPEN,default,12,6,50,0.02,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
MAX_OPEN,lookback18,18,6,50,0.02,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
MAX_OPEN,stricter_selection,12,8,80,0.04,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
MAX_CLOSE,default,12,6,50,0.02,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
MAX_CLOSE,lookback18,18,6,50,0.02,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
MAX_CLOSE,stricter_selection,12,8,80,0.04,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
B365_OPEN,default,12,6,50,0.02,152,14.0,9.21,14.2,26,15,11,2,2,2025-26,61,-3.7,not_enough_recent_evidence,False,"['drawdown>profit', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
B365_OPEN,lookback18,18,6,50,0.02,198,15.45,7.8,20.5,32,18,14,3,1,2025-26,80,-5.85,not_enough_recent_evidence,False,"['drawdown>profit', 'latest_season_profit<0']"
B365_OPEN,stricter_selection,12,8,80,0.04,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
B365_CLOSE,default,12,6,50,0.02,27,6.8,25.19,9.6,4,3,1,1,1,2025-26,18,-1.2,not_enough_sample,False,"['bets<100', 'active_months<12', 'drawdown>profit', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
B365_CLOSE,lookback18,18,6,50,0.02,124,31.25,25.2,10.5,24,18,6,3,0,2025-26,66,4.65,research_candidate_requires_live_shadow,True,[]
B365_CLOSE,stricter_selection,12,8,80,0.04,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
PS_OPEN,default,12,6,50,0.02,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
PS_OPEN,lookback18,18,6,50,0.02,26,15.28,58.77,5.58,8,5,3,2,0,2025-26,11,9.74,not_enough_sample,False,"['bets<100', 'active_months<12']"
PS_OPEN,stricter_selection,12,8,80,0.04,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
PS_CLOSE,default,12,6,50,0.02,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
PS_CLOSE,lookback18,18,6,50,0.02,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
PS_CLOSE,stricter_selection,12,8,80,0.04,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
