odds_source,profile,lookback_months,min_active_months,min_bets,min_roi,bets,profit,roi_pct,max_drawdown,active_months,positive_months,negative_months,positive_seasons,negative_seasons,latest_season,latest_season_bets,latest_season_profit,verdict,passes_gate,fail_reasons
AVG_OPEN,default,12,6,50,0.02,1165,98.23,8.43,17.86,34,22,12,4,0,2025-26,358,27.13,research_candidate_requires_live_shadow,True,[]
AVG_OPEN,lookback18,18,6,50,0.02,1260,129.69,10.29,23.98,34,23,11,4,0,2025-26,389,25.87,research_candidate_requires_live_shadow,True,[]
AVG_OPEN,stricter_selection,12,8,80,0.04,1116,96.64,8.66,17.86,32,20,12,4,0,2025-26,358,27.13,research_candidate_requires_live_shadow,True,[]
AVG_CLOSE,default,12,6,50,0.02,1200,88.13,7.34,26.01,34,21,13,3,1,2025-26,381,24.91,research_candidate_requires_live_shadow,True,[]
AVG_CLOSE,lookback18,18,6,50,0.02,1272,108.2,8.51,35.15,34,22,12,4,0,2025-26,398,23.92,research_candidate_requires_live_shadow,True,[]
AVG_CLOSE,stricter_selection,12,8,80,0.04,1146,64.87,5.66,26.01,33,20,13,3,1,2025-26,381,24.91,research_candidate_requires_live_shadow,True,[]
MAX_OPEN,default,12,6,50,0.02,1190,142.44,11.97,14.84,35,23,12,4,0,2025-26,361,40.05,research_candidate_requires_live_shadow,True,[]
MAX_OPEN,lookback18,18,6,50,0.02,1294,203.57,15.73,14.84,35,24,11,4,0,2025-26,368,40.48,research_candidate_requires_live_shadow,True,[]
MAX_OPEN,stricter_selection,12,8,80,0.04,1067,126.88,11.89,14.84,33,21,12,4,0,2025-26,340,37.75,research_candidate_requires_live_shadow,True,[]
MAX_CLOSE,default,12,6,50,0.02,1111,87.54,7.88,20.57,36,24,12,4,0,2025-26,363,18.47,research_candidate_requires_live_shadow,True,[]
MAX_CLOSE,lookback18,18,6,50,0.02,1173,112.42,9.58,20.57,36,24,12,4,0,2025-26,363,18.47,research_candidate_requires_live_shadow,True,[]
MAX_CLOSE,stricter_selection,12,8,80,0.04,1006,79.85,7.94,20.57,34,22,12,4,0,2025-26,353,18.84,research_candidate_requires_live_shadow,True,[]
B365_OPEN,default,12,6,50,0.02,948,69.34,7.31,21.0,35,19,15,4,0,2025-26,336,19.13,research_candidate_requires_live_shadow,True,[]
B365_OPEN,lookback18,18,6,50,0.02,1075,102.69,9.55,23.35,35,18,16,4,0,2025-26,383,34.97,research_candidate_requires_live_shadow,True,[]
B365_OPEN,stricter_selection,12,8,80,0.04,856,60.29,7.04,21.0,32,18,13,4,0,2025-26,323,21.25,research_candidate_requires_live_shadow,True,[]
B365_CLOSE,default,12,6,50,0.02,1007,43.61,4.33,24.29,32,20,12,3,1,2025-26,189,-13.73,not_enough_recent_evidence,False,['latest_season_profit<0']
B365_CLOSE,lookback18,18,6,50,0.02,1302,129.21,9.92,22.29,35,24,11,4,0,2025-26,358,4.99,research_candidate_requires_live_shadow,True,[]
B365_CLOSE,stricter_selection,12,8,80,0.04,917,42.8,4.67,22.29,29,18,11,3,1,2025-26,159,-8.9,not_enough_recent_evidence,False,['latest_season_profit<0']
PS_OPEN,default,12,6,50,0.02,711,88.54,12.45,13.59,30,22,8,4,0,2025-26,126,31.12,research_candidate_requires_live_shadow,True,[]
PS_OPEN,lookback18,18,6,50,0.02,646,74.12,11.47,13.59,30,21,9,4,0,2025-26,126,31.12,research_candidate_requires_live_shadow,True,[]
PS_OPEN,stricter_selection,12,8,80,0.04,657,76.87,11.7,13.59,27,19,8,4,0,2025-26,126,31.12,research_candidate_requires_live_shadow,True,[]
PS_CLOSE,default,12,6,50,0.02,810,82.33,10.16,21.31,31,23,8,4,0,2025-26,127,31.27,research_candidate_requires_live_shadow,True,[]
PS_CLOSE,lookback18,18,6,50,0.02,881,126.26,14.33,12.39,31,23,7,4,0,2025-26,127,31.27,research_candidate_requires_live_shadow,True,[]
PS_CLOSE,stricter_selection,12,8,80,0.04,776,77.87,10.03,21.31,28,20,8,4,0,2025-26,127,31.27,research_candidate_requires_live_shadow,True,[]
