odds_source,profile,lookback_months,min_active_months,min_bets,min_roi,bets,profit,roi_pct,max_drawdown,active_months,positive_months,negative_months,positive_seasons,negative_seasons,latest_season,latest_season_bets,latest_season_profit,verdict,passes_gate,fail_reasons
AVG_CLOSE,default,12,6,50,0.02,339,21.14,6.24,16.58,47,27,20,7,3,2025-26,26,3.83,research_candidate_requires_live_shadow,True,[]
AVG_CLOSE,lookback18,18,6,50,0.02,361,8.5,2.35,23.93,57,31,26,7,6,2025-26,26,3.83,candidate_positive_but_unstable,False,"['roi<3%', 'drawdown>profit']"
AVG_CLOSE,stricter_selection,12,8,80,0.04,90,-3.48,-3.87,14.0,12,7,5,2,2,2025-26,26,3.83,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'drawdown>profit', 'positive_seasons<=negative_seasons']"
PS_CLOSE,default,12,6,50,0.02,402,19.24,4.79,18.24,57,29,28,7,3,2024-25,70,-9.51,not_enough_recent_evidence,False,['latest_season_profit<0']
PS_CLOSE,lookback18,18,6,50,0.02,428,18.49,4.32,33.08,66,33,33,8,4,2024-25,63,6.63,candidate_positive_but_unstable,False,"['positive_months<=negative_months', 'drawdown>profit']"
PS_CLOSE,stricter_selection,12,8,80,0.04,70,-9.51,-13.59,18.24,6,1,5,0,1,2024-25,70,-9.51,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'drawdown>profit', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
MAX_CLOSE,default,12,6,50,0.02,456,77.07,16.9,15.69,67,42,25,10,2,2025-26,23,5.65,research_candidate_requires_live_shadow,True,[]
MAX_CLOSE,lookback18,18,6,50,0.02,624,97.11,15.56,15.59,96,57,38,11,2,2025-26,23,5.65,research_candidate_requires_live_shadow,True,[]
MAX_CLOSE,stricter_selection,12,8,80,0.04,127,18.44,14.52,15.59,15,10,5,4,1,2025-26,23,5.65,candidate_positive_but_unstable,True,[]
B365_CLOSE,default,12,6,50,0.02,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
B365_CLOSE,lookback18,18,6,50,0.02,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
B365_CLOSE,stricter_selection,12,8,80,0.04,0,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,rejected_negative_edge,False,"['bets<100', 'roi<3%', 'profit<=0', 'active_months<12', 'positive_months<=negative_months', 'latest_season_bets<10', 'positive_seasons<=negative_seasons']"
