date,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_prob_bucket,favorite_relation,stake,won,profit,rule_label,month
2025-08-23,I1,Sassuolo,Napoli,away,away,1.57,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,True,0.57,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2025-08
2025-08-29,I1,Lecce,Milan,away,away,1.57,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,True,0.57,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2025-08
2025-08-30,I1,Pisa,Roma,away,away,1.7,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,True,0.7,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2025-08
2025-09-20,I1,Verona,Juventus,away,draw,1.55,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,False,-1.0,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2025-09
2025-09-27,I1,Cagliari,Inter,away,away,1.53,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,True,0.53,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2025-09
2026-03-01,I1,Cremonese,Milan,away,away,1.5,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,True,0.5,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-03
2026-03-07,I1,Cagliari,Como,away,away,1.57,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,True,0.57,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-03
2026-03-14,I1,Udinese,Juventus,away,away,1.55,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,True,0.55,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-03
2026-03-20,I1,Cagliari,Napoli,away,away,1.75,"[1.0,1.8)","[0.42,0.55)",market_favorite,1.0,True,0.75,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-03
2026-03-22,I1,Fiorentina,Inter,away,draw,1.62,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,False,-1.0,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-03
2026-04-06,I1,Udinese,Como,away,draw,1.7,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,False,-1.0,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-04
2026-04-06,I1,Lecce,Atalanta,away,away,1.75,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,True,0.75,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-04
2026-04-12,I1,Parma,Napoli,away,draw,1.6,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,False,-1.0,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-04
2026-04-17,I1,Sassuolo,Como,away,home,1.53,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,False,-1.0,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-04
2026-04-19,I1,Verona,Milan,away,away,1.57,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,True,0.57,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-04
2026-04-26,I1,Torino,Inter,away,draw,1.4,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,False,-1.0,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-04
2026-04-26,I1,Genoa,Como,away,away,1.75,"[1.0,1.8)","[0.42,0.55)",market_favorite,1.0,True,0.75,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-04
2026-05-03,I1,Sassuolo,Milan,away,home,1.73,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,False,-1.0,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-05
2026-05-09,I1,Lecce,Juventus,away,away,1.45,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,True,0.45,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-05
2026-05-10,I1,Verona,Como,away,away,1.38,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,True,0.38,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-05
2026-05-10,I1,Parma,Roma,away,away,1.53,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,True,0.53,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-05
2026-05-17,I1,Pisa,Napoli,away,away,1.36,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,True,0.36,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-05
2026-05-17,I1,Genoa,Milan,away,away,1.7,"[1.0,1.8)","[0.42,0.55)",market_favorite,1.0,True,0.7,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-05
2026-05-24,I1,Verona,Roma,away,away,1.3,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,True,0.3,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-05
2026-05-24,I1,Torino,Juventus,away,draw,1.42,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,False,-1.0,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-05
2026-05-24,I1,Cremonese,Como,away,away,1.57,"[1.0,1.8)","[0.55,1.00]",market_favorite,1.0,True,0.57,"league|outcome|odds_bucket=I1|away|[1.0,1.8)",2026-05
