month,calendar_days,positions,betting_days,no_bet_days,staked,realized_profit,realized_roi_pct,closing_expected_profit,closing_expected_roi_pct,maximum_drawdown,budget_utilization_pct
2021-09,30,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10,31,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11,30,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12,31,6,5,26,12.59,7.26,57.66,1.209368,9.6058,1.25,0.4061
2022-01,31,1,1,30,1.35,3.31,245.19,0.47361,35.0822,0.0,0.0435
2022-02,28,14,9,19,43.25,19.27,44.55,3.176123,7.3436,7.7,1.5446
2022-03,31,11,8,23,46.78,-12.04,-25.74,5.239506,11.2003,22.8,1.509
2022-04,30,8,4,26,47.12,32.76,69.52,2.191968,4.6519,2.48,1.5707
2022-05,31,5,3,28,25.51,1.64,6.43,1.941328,7.6101,8.38,0.8229
2022-06,30,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07,31,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08,31,2,2,29,2.58,4.2,162.79,0.730001,28.2946,0.0,0.0832
2022-09,30,3,3,27,1.83,-1.83,-100.0,0.272526,14.8922,1.83,0.061
2022-10,31,4,4,27,12.39,9.86,79.58,1.440611,11.6272,1.17,0.3997
2022-11,30,3,2,28,1.7,-0.3,-17.65,0.033744,1.9849,0.5,0.0567
2022-12,31,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01,31,1,1,30,0.52,-0.52,-100.0,0.043289,8.3249,0.52,0.0168
2023-02,28,7,7,21,4.96,-2.9,-58.47,0.051362,1.0355,4.45,0.1771
2023-03,31,5,4,27,23.14,-0.62,-2.68,-0.992425,-4.2888,11.48,0.7465
2023-04,30,10,8,22,36.47,18.87,51.74,5.702642,15.6365,8.18,1.2157
2023-05,31,3,3,28,13.69,5.73,41.86,1.241061,9.0655,5.15,0.4416
2023-06,30,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07,31,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08,31,1,1,30,0.36,0.88,244.44,0.063392,17.6089,0.0,0.0116
2023-09,30,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10,31,1,1,30,1.55,1.0,64.52,0.072958,4.707,0.0,0.05
2023-11,30,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12,31,1,1,30,1.17,-1.17,-100.0,-0.078489,-6.7085,1.17,0.0377
2024-01,31,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02,29,2,2,27,0.52,1.59,305.77,0.065894,12.6719,0.0,0.0179
2024-03,31,1,1,30,0.18,0.56,311.11,0.012981,7.2116,0.0,0.0058
2024-04,30,2,1,29,0.44,0.11,25.0,0.026241,5.9638,0.0,0.0147
2024-05,31,2,2,29,0.8,0.97,121.25,0.051387,6.4233,0.18,0.0258
2024-06,30,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07,31,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08,31,14,9,22,5.95,-1.17,-19.66,0.307031,5.1602,1.5,0.1919
2024-09,30,5,4,26,2.26,0.48,21.24,0.164106,7.2613,0.68,0.0753
2024-10,31,8,6,25,12.52,-3.71,-29.63,0.711699,5.6845,3.71,0.4039
2024-11,30,3,2,28,1.24,1.31,105.65,0.042419,3.4209,0.38,0.0413
2024-12,31,2,1,30,2.91,8.8,302.41,0.354163,12.1705,0.0,0.0939
2025-01,31,5,5,26,4.63,3.06,66.09,0.140434,3.0331,1.68,0.1494
2025-02,28,13,8,20,16.82,11.96,71.11,0.547459,3.2548,4.39,0.6007
2025-03,31,6,5,26,3.59,-0.31,-8.64,0.480681,13.3895,1.16,0.1158
2025-04,30,9,5,25,2.58,-1.5,-58.14,0.026422,1.0241,1.56,0.086
2025-05,31,8,5,26,5.69,1.51,26.54,0.153676,2.7008,0.58,0.1835
2025-06,30,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07,31,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08,31,7,6,25,2.92,-1.33,-45.55,0.197883,6.7768,2.5,0.0942
2025-09,30,8,5,25,4.13,4.68,113.32,0.522272,12.6458,1.2,0.1377
2025-10,31,10,6,25,10.52,3.81,36.22,0.074486,0.708,2.81,0.3394
2025-11,30,1,1,29,0.35,-0.35,-100.0,0.041498,11.8565,0.35,0.0117
2025-12,31,1,1,30,0.36,1.13,313.89,0.101223,28.1175,0.0,0.0116
2026-01,31,2,2,29,3.37,3.38,100.3,0.348484,10.3408,0.74,0.1087
2026-02,28,0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03,31,2,2,29,1.36,1.68,123.53,0.142979,10.5131,0.61,0.0439
2026-04,30,4,3,27,3.62,-2.66,-73.48,0.198244,5.4763,3.32,0.1207
