month,calendar_days,positions,betting_days,no_bet_days,staked,realized_profit,realized_roi_pct,closing_expected_profit,closing_expected_roi_pct,maximum_drawdown,budget_utilization_pct
2021-09,30,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10,31,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11,30,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12,31,6,5,26,12.59,7.26,57.66,1.209368,9.6058,1.25,0.4061
2022-01,31,1,1,30,1.35,3.31,245.19,0.47361,35.0822,0.0,0.0435
2022-02,28,14,9,19,43.25,19.27,44.55,3.176123,7.3436,7.7,1.5446
2022-03,31,11,8,23,46.78,-12.04,-25.74,5.239506,11.2003,22.8,1.509
2022-04,30,8,4,26,47.12,32.76,69.52,2.191968,4.6519,2.48,1.5707
2022-05,31,5,3,28,25.51,1.64,6.43,1.941328,7.6101,8.38,0.8229
2022-06,30,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07,31,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08,31,2,2,29,2.58,4.2,162.79,0.730001,28.2946,0.0,0.0832
2022-09,30,3,3,27,1.83,-1.83,-100.0,0.272526,14.8922,1.83,0.061
2022-10,31,4,4,27,12.39,9.86,79.58,1.440611,11.6272,1.17,0.3997
2022-11,30,3,2,28,1.7,-0.3,-17.65,0.033744,1.9849,0.5,0.0567
2022-12,31,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01,31,1,1,30,0.52,-0.52,-100.0,0.043289,8.3249,0.52,0.0168
2023-02,28,7,7,21,4.96,-2.9,-58.47,0.051362,1.0355,4.45,0.1771
2023-03,31,5,4,27,23.14,-0.62,-2.68,-0.992425,-4.2888,11.48,0.7465
2023-04,30,10,8,22,36.47,18.87,51.74,5.702642,15.6365,8.18,1.2157
2023-05,31,3,3,28,13.69,5.73,41.86,1.241061,9.0655,5.15,0.4416
2023-06,30,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07,31,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08,31,1,1,30,0.36,0.88,244.44,0.063392,17.6089,0.0,0.0116
2023-09,30,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10,31,1,1,30,1.55,1.0,64.52,0.072958,4.707,0.0,0.05
2023-11,30,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12,31,1,1,30,1.17,-1.17,-100.0,-0.078489,-6.7085,1.17,0.0377
2024-01,31,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02,29,2,2,27,0.52,1.59,305.77,0.065894,12.6719,0.0,0.0179
2024-03,31,1,1,30,0.18,0.56,311.11,0.012981,7.2116,0.0,0.0058
2024-04,30,2,1,29,0.44,0.11,25.0,0.026241,5.9638,0.0,0.0147
2024-05,31,2,2,29,0.8,0.97,121.25,0.051387,6.4233,0.18,0.0258
2024-06,30,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07,31,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08,31,28,10,21,21.38,3.95,18.48,0.264705,1.2381,3.84,0.6897
2024-09,30,5,4,26,2.23,0.41,18.39,0.16105,7.222,0.66,0.0743
2024-10,31,4,3,28,2.66,-0.27,-10.15,0.237963,8.946,0.72,0.0858
2024-11,30,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12,31,1,1,30,0.98,2.9,295.92,0.208169,21.2417,0.0,0.0316
2025-01,31,1,1,30,0.34,0.9,264.71,0.024863,7.3127,0.0,0.011
2025-02,28,15,9,19,19.32,10.85,56.16,0.628756,3.2544,4.82,0.69
2025-03,31,6,6,25,4.0,0.76,19.0,0.194006,4.8502,1.64,0.129
2025-04,30,7,5,25,3.42,-0.98,-28.65,0.038514,1.1262,1.37,0.114
2025-05,31,8,6,25,2.7,0.07,2.59,-0.026144,-0.9683,0.49,0.0871
2025-06,30,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07,31,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08,31,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09,30,5,4,26,2.46,2.45,99.59,0.344456,14.0023,0.85,0.082
2025-10,31,6,5,26,5.76,4.08,70.83,0.085425,1.4831,2.2,0.1858
2025-11,30,2,2,28,1.03,-1.03,-100.0,0.07347,7.133,1.03,0.0343
2025-12,31,2,2,29,2.14,3.48,162.62,0.414491,19.3687,0.78,0.069
2026-01,31,5,3,28,9.91,8.34,84.16,0.703985,7.1038,2.15,0.3197
2026-02,28,0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03,31,2,2,29,0.68,0.54,79.41,0.001794,0.2638,0.38,0.0219
2026-04,30,2,2,28,3.61,2.61,72.3,0.481108,13.3271,1.67,0.1203
