bet_date,settlement_date,league,home_team,away_team,outcome,actual_result,odds,stake,won,profit,rule_label,month,season
2020-07-02,2020-07-03,FIN,Inter Turku,Rovaniemi,home,home,1.37,10.0,True,3.7,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2020-07,2020-21
2020-07-22,2020-07-23,FIN,KuPS,Lahti,home,home,1.5,10.0,True,5.0,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2020-07,2020-21
2020-07-25,2020-07-26,FIN,HJK,Ilves,home,home,1.53,10.0,True,5.3,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2020-07,2020-21
2020-07-26,2020-07-27,FIN,KuPS,SJK,home,home,1.41,10.0,True,4.1,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2020-07,2020-21
2020-08-01,2020-08-02,FIN,Inter Turku,Mariehamn,home,home,1.32,10.0,True,3.2,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2020-08,2020-21
2020-08-22,2020-08-23,FIN,KuPS,Mariehamn,home,home,1.37,10.0,True,3.7,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2020-08,2020-21
2020-08-26,2020-08-27,FIN,Mariehamn,Rovaniemi,home,home,1.64,10.0,True,6.4,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2020-08,2020-21
2020-08-29,2020-08-30,FIN,SJK,Rovaniemi,home,home,1.55,10.0,True,5.5,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2020-08,2020-21
2020-09-09,2020-09-10,FIN,KuPS,Rovaniemi,home,home,1.15,10.0,True,1.5,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2020-09,2020-21
2020-09-19,2020-09-20,FIN,Ilves,Haka,home,draw,1.58,10.0,False,-10.0,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2020-09,2020-21
2020-09-24,2020-09-25,FIN,HJK,TPS,home,draw,1.2,10.0,False,-10.0,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2020-09,2020-21
2020-09-27,2020-09-28,FIN,Honka,Haka,home,away,1.5,10.0,False,-10.0,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2020-09,2020-21
