window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2020-01,2020-12,15,150.0,24.1,16.07,30.0,3,1,False
2020-07,2021-06,25,250.0,60.5,24.2,30.0,6,1,True
2021-01,2021-12,25,250.0,35.2,14.08,28.2,4,3,True
2021-07,2022-06,21,210.0,-0.3,-0.14,28.2,3,4,False
2022-01,2022-12,12,120.0,-29.5,-24.58,44.4,2,3,False
2022-07,2023-06,14,140.0,-19.7,-14.07,36.0,2,3,False
2023-01,2023-12,11,110.0,27.7,25.18,10.0,4,1,False
2023-07,2024-06,6,60.0,1.1,1.83,20.0,3,1,False
2024-01,2024-12,14,140.0,14.5,10.36,30.0,4,2,False
2024-07,2025-06,17,170.0,33.0,19.41,15.7,5,2,False
2025-01,2025-12,15,150.0,-9.0,-6.0,30.0,3,4,False
