window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2020-01,2020-12,19,190.0,23.7,12.47,40.0,3,1,False
2020-07,2021-06,29,290.0,60.1,20.72,40.0,6,1,True
2021-01,2021-12,26,260.0,40.8,15.69,28.2,4,3,True
2021-07,2022-06,24,240.0,15.0,6.25,28.2,3,4,False
2022-01,2022-12,15,150.0,-29.8,-19.87,51.1,2,4,False
2022-07,2023-06,16,160.0,-39.7,-24.81,46.0,1,5,False
2023-01,2023-12,14,140.0,14.6,10.43,10.4,4,2,False
2023-07,2024-06,10,100.0,5.4,5.4,20.0,5,1,False
2024-01,2024-12,18,180.0,16.0,8.89,30.0,5,3,False
2024-07,2025-06,20,200.0,34.1,17.05,15.7,5,3,True
2025-01,2025-12,20,200.0,0.7,0.35,36.1,4,4,False
