month,decision,reason,prior_candidates,candidate_count,selected,mean_predicted_ev
2016-01,ABSTAIN,no_candidates,,,,
2016-02,ABSTAIN,no_candidates,,,,
2016-03,ABSTAIN,no_candidates,,,,
2016-04,ABSTAIN,no_positive_feature_edge,558.0,12.0,0.0,0.0
2016-05,ABSTAIN,no_positive_feature_edge,594.0,14.0,0.0,0.0
2016-06,ABSTAIN,no_candidates,,,,
2016-07,INVEST,,628.0,9.0,2.0,0.0251
2016-08,INVEST,,657.0,11.0,2.0,0.0353
2016-09,INVEST,,691.0,11.0,4.0,0.0484
2016-10,INVEST,,715.0,10.0,8.0,0.0424
2016-11,INVEST,,704.0,7.0,1.0,0.0605
2016-12,ABSTAIN,no_candidates,,,,
2017-01,ABSTAIN,no_candidates,,,,
2017-02,ABSTAIN,no_candidates,,,,
2017-03,ABSTAIN,no_candidates,,,,
2017-04,INVEST,,526.0,10.0,7.0,0.0588
2017-05,INVEST,,542.0,13.0,7.0,0.0399
2017-06,INVEST,,581.0,1.0,1.0,0.044
2017-07,INVEST,,587.0,14.0,11.0,0.0552
2017-08,INVEST,,630.0,8.0,2.0,0.0433
2017-09,INVEST,,677.0,8.0,3.0,0.0403
2017-10,INVEST,,715.0,10.0,6.0,0.0411
2017-11,INVEST,,681.0,1.0,1.0,0.0603
2017-12,ABSTAIN,no_candidates,,,,
2018-01,ABSTAIN,no_candidates,,,,
2018-02,ABSTAIN,no_candidates,,,,
2018-03,ABSTAIN,no_candidates,,,,
2018-04,INVEST,,525.0,15.0,2.0,0.0557
2018-05,INVEST,,544.0,11.0,3.0,0.0394
2018-06,ABSTAIN,no_candidates,,,,
2018-07,INVEST,,589.0,12.0,6.0,0.0629
2018-08,INVEST,,618.0,11.0,5.0,0.0527
2018-09,INVEST,,645.0,9.0,6.0,0.0632
2018-10,INVEST,,679.0,12.0,2.0,0.0521
2018-11,INVEST,,659.0,7.0,2.0,0.0282
2018-12,ABSTAIN,no_candidates,,,,
2019-01,ABSTAIN,no_candidates,,,,
2019-02,ABSTAIN,no_candidates,,,,
2019-03,ABSTAIN,no_positive_feature_edge,566.0,0.0,0.0,0.0
2019-04,INVEST,,539.0,10.0,6.0,0.0509
2019-05,INVEST,,555.0,12.0,6.0,0.0514
2019-06,INVEST,,590.0,2.0,2.0,0.0588
2019-07,INVEST,,608.0,8.0,5.0,0.0544
2019-08,INVEST,,642.0,10.0,7.0,0.0579
2019-09,INVEST,,672.0,11.0,8.0,0.0534
2019-10,INVEST,,707.0,9.0,5.0,0.0632
2019-11,INVEST,,689.0,3.0,1.0,0.0508
2019-12,ABSTAIN,no_candidates,,,,
2020-01,ABSTAIN,no_candidates,,,,
2020-02,ABSTAIN,no_candidates,,,,
2020-03,ABSTAIN,no_candidates,,,,
2020-04,ABSTAIN,no_candidates,,,,
2020-05,ABSTAIN,no_candidates,,,,
2020-06,INVEST,,490.0,5.0,5.0,0.0564
2020-07,INVEST,,522.0,13.0,9.0,0.0598
2020-08,INVEST,,586.0,15.0,9.0,0.0642
2020-09,INVEST,,644.0,4.0,2.0,0.0497
2020-10,ABSTAIN,no_positive_feature_edge,672.0,6.0,0.0,0.0
2020-11,INVEST,,646.0,7.0,1.0,0.0681
2020-12,INVEST,,622.0,4.0,1.0,0.0367
2021-01,ABSTAIN,no_candidates,,,,
2021-02,ABSTAIN,no_candidates,,,,
2021-03,ABSTAIN,no_candidates,,,,
2021-04,INVEST,,541.0,6.0,2.0,0.0513
2021-05,ABSTAIN,no_positive_feature_edge,533.0,8.0,0.0,0.0
2021-06,ABSTAIN,no_candidates,,,,
2021-07,ABSTAIN,no_positive_feature_edge,560.0,8.0,0.0,0.0
2021-08,INVEST,,593.0,8.0,2.0,0.0566
2021-09,INVEST,,625.0,9.0,2.0,0.0548
2021-10,INVEST,,653.0,11.0,3.0,0.0564
2021-11,INVEST,,631.0,9.0,2.0,0.0559
2021-12,ABSTAIN,no_positive_feature_edge,617.0,4.0,0.0,0.0
2022-01,ABSTAIN,no_candidates,,,,
2022-02,ABSTAIN,no_candidates,,,,
2022-03,ABSTAIN,no_candidates,,,,
