league,odds_source,rule_spec,label,candidate_count,selected_candidates,train_months,min_train_rows,min_predicted_ev,ridge,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,positive_seasons,negative_seasons,latest_season,latest_season_bets,latest_season_profit,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate,decision_reasons,decision
DNK,PS_CLOSE,DNK_draw_odds2p8_3p5,PS_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n120_ev0p02_top1_ridge10_cap0.08,869,268,30,120,0.02,10.0,268,660.5,24.65,121.1,47,38,9,2,2025-26,4,28.8,20,9,20,9,0.45,"['latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
CHN,MAX_CLOSE,CHN_draw_prob0p28_0p34,MAX_CLOSE_ruleschn_draw_prob0p28_0p34_train30_n120_ev0p02_top1_ridge10_cap0.08,745,173,30,120,0.02,10.0,173,189.5,10.95,177.6,22,27,4,4,2025-26,1,-10.0,20,5,14,5,0.3571,"['positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
RUS,PS_CLOSE,RUS_home_odds2p2_2p8,PS_CLOSE_rulesrus_home_odds2p2_2p8_train30_n120_ev0p02_top1_ridge10_cap0.08,658,262,30,120,0.02,10.0,262,132.8,5.07,234.8,42,34,5,6,2025-26,7,-70.0,20,7,20,7,0.35,"['drawdown>profit', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,AVG_CLOSE,DNK_draw_odds2p8_3p5,AVG_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n120_ev0p02_top1_ridge10_cap0.08,1398,317,30,120,0.02,10.0,317,493.4,15.56,269.9,43,49,6,5,2025-26,35,132.3,20,6,20,6,0.3,"['positive_months<=negative_months', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
CHN,AVG_CLOSE,CHN_draw_prob0p28_0p34,AVG_CLOSE_ruleschn_draw_prob0p28_0p34_train30_n120_ev0p02_top1_ridge10_cap0.08,649,216,30,120,0.02,10.0,216,215.4,9.97,122.7,35,26,6,5,2025-26,7,-39.8,20,6,20,6,0.3,"['latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,PS_CLOSE,DNK_away_odds2p2_2p8_market_favorite,PS_CLOSE_rulesdnk_away_odds2p2_2p8_market_favorite_train30_n120_ev0p02_top1_ridge10_cap0.08,478,156,30,120,0.02,10.0,156,239.1,15.33,121.2,35,26,8,2,2025-26,4,7.6,20,5,19,5,0.2632,"['latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
RUS,MAX_CLOSE,RUS_home_odds2p2_2p8,MAX_CLOSE_rulesrus_home_odds2p2_2p8_train30_n120_ev0p02_top1_ridge10_cap0.08,665,254,30,120,0.02,10.0,254,338.7,13.33,93.6,51,30,9,2,2025-26,8,22.0,20,5,20,5,0.25,"['latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
RUS,AVG_CLOSE,RUS_home_odds2p2_2p8,AVG_CLOSE_rulesrus_home_odds2p2_2p8_train30_n120_ev0p02_top1_ridge10_cap0.08,693,263,30,120,0.02,10.0,263,241.3,9.17,107.3,45,34,7,4,2025-26,14,45.5,20,4,20,4,0.2,"['latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,MAX_CLOSE,DNK_draw_odds2p8_3p5,MAX_CLOSE_rulesdnk_draw_odds2p8_3p5_train30_n120_ev0p02_top1_ridge10_cap0.08,533,209,30,120,0.02,10.0,209,416.2,19.91,213.3,44,33,9,2,2025-26,2,48.6,20,3,20,3,0.15,"['latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
CHN,PS_CLOSE,CHN_draw_prob0p28_0p34,PS_CLOSE_ruleschn_draw_prob0p28_0p34_train30_n120_ev0p02_top1_ridge10_cap0.08,644,157,30,120,0.02,10.0,157,-37.8,-2.41,190.7,24,24,5,4,2025-26,1,-10.0,20,2,16,2,0.125,"['profit<=0', 'roi<3%', 'drawdown>profit', 'positive_months<=negative_months', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,MAX_CLOSE,DNK_away_odds2p2_2p8_market_favorite,MAX_CLOSE_rulesdnk_away_odds2p2_2p8_market_favorite_train30_n120_ev0p02_top1_ridge10_cap0.08,531,167,30,120,0.02,10.0,167,267.1,15.99,144.8,44,28,7,4,2025-26,5,-5.5,20,2,20,2,0.1,"['latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,AVG_CLOSE,DNK_away_odds2p2_2p8_market_favorite,AVG_CLOSE_rulesdnk_away_odds2p2_2p8_market_favorite_train30_n120_ev0p02_top1_ridge10_cap0.08,442,115,30,120,0.02,10.0,115,-126.1,-10.97,171.8,23,34,5,6,2025-26,4,6.7,20,1,20,1,0.05,"['bets<150', 'profit<=0', 'roi<3%', 'drawdown>profit', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
RUS,MAX_CLOSE,RUS_odds1p0_1p8_prob0p42_0p55,MAX_CLOSE_rulesrus_odds1p0_1p8_prob0p42_0p55_train30_n120_ev0p02_top1_ridge10_cap0.08,7,7,30,120,0.02,10.0,7,17.7,25.29,10.0,4,2,3,0,2025-26,5,1.9,20,0,5,0,0.0,"['bets<150', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
RUS,PS_CLOSE,RUS_odds1p0_1p8_prob0p42_0p55,PS_CLOSE_rulesrus_odds1p0_1p8_prob0p42_0p55_train30_n120_ev0p02_top1_ridge10_cap0.08,55,24,30,120,0.02,10.0,24,43.4,18.08,29.5,10,7,4,3,2025-26,2,-2.2,20,0,14,0,0.0,"['bets<150', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
RUS,AVG_CLOSE,RUS_odds1p0_1p8_prob0p42_0p55,AVG_CLOSE_rulesrus_odds1p0_1p8_prob0p42_0p55_train30_n120_ev0p02_top1_ridge10_cap0.08,139,57,30,120,0.02,10.0,57,59.1,10.37,46.9,22,15,6,4,2025-26,4,11.9,20,0,19,0,0.0,"['bets<150', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
RUS,MAX_CLOSE,RUS_away_odds1p0_1p8,MAX_CLOSE_rulesrus_away_odds1p0_1p8_train30_n120_ev0p02_top1_ridge10_cap0.08,261,82,30,120,0.02,10.0,82,60.0,7.32,59.5,33,20,6,4,2025-26,5,-2.3,20,0,19,0,0.0,"['bets<150', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
RUS,AVG_CLOSE,RUS_away_odds1p0_1p8,AVG_CLOSE_rulesrus_away_odds1p0_1p8_train30_n120_ev0p02_top1_ridge10_cap0.08,332,78,30,120,0.02,10.0,78,50.8,6.51,50.0,31,16,6,3,2025-26,6,4.7,20,0,19,0,0.0,"['bets<150', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
RUS,PS_CLOSE,RUS_away_odds1p0_1p8,PS_CLOSE_rulesrus_away_odds1p0_1p8_train30_n120_ev0p02_top1_ridge10_cap0.08,301,62,30,120,0.02,10.0,62,0.7,0.11,69.3,16,16,4,5,2025-26,3,-15.7,20,0,19,0,0.0,"['bets<150', 'roi<3%', 'drawdown>profit', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
CHN,PS_CLOSE,CHN_draw_odds2p8_3p5,PS_CLOSE_ruleschn_draw_odds2p8_3p5_train30_n120_ev0p02_top1_ridge10_cap0.08,136,44,30,120,0.02,10.0,44,-24.8,-5.64,71.6,11,19,3,4,2024-25,8,-45.3,20,0,13,0,0.0,"['bets<150', 'profit<=0', 'roi<3%', 'drawdown>profit', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,PS_CLOSE,DNK_odds2p8_3p5_prob0p20_0p28,PS_CLOSE_rulesdnk_odds2p8_3p5_prob0p20_0p28_train30_n120_ev0p02_top1_ridge10_cap0.08,37,15,30,120,0.02,10.0,15,-11.4,-7.6,60.0,4,8,2,5,2024-25,2,-20.0,20,0,14,0,0.0,"['bets<150', 'profit<=0', 'roi<3%', 'drawdown>profit', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
CHN,AVG_CLOSE,CHN_draw_odds2p8_3p5,AVG_CLOSE_ruleschn_draw_odds2p8_3p5_train30_n120_ev0p02_top1_ridge10_cap0.08,506,169,30,120,0.02,10.0,169,-164.1,-9.71,191.8,32,39,4,7,2025-26,7,-2.3,20,0,20,0,0.0,"['profit<=0', 'roi<3%', 'drawdown>profit', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
DNK,AVG_CLOSE,DNK_odds2p8_3p5_prob0p20_0p28,AVG_CLOSE_rulesdnk_odds2p8_3p5_prob0p20_0p28_train30_n120_ev0p02_top1_ridge10_cap0.08,160,60,30,120,0.02,10.0,60,-154.1,-25.68,186.6,11,33,4,7,2025-26,8,22.5,20,0,20,0,0.0,"['bets<150', 'profit<=0', 'roi<3%', 'drawdown>profit', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
CHN,MAX_CLOSE,CHN_draw_odds2p8_3p5,MAX_CLOSE_ruleschn_draw_odds2p8_3p5_train30_n120_ev0p02_top1_ridge10_cap0.08,9,2,30,120,0.02,10.0,2,-20.0,-100.0,20.0,0,2,0,2,2024-25,1,-10.0,20,0,4,0,0.0,"['bets<150', 'profit<=0', 'roi<3%', 'drawdown>profit', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
