month,decision,reason,prior_candidates,candidate_count
2018-06,ABSTAIN,insufficient_prior_candidates,0.0,27.0
2018-07,ABSTAIN,insufficient_prior_candidates,27.0,9.0
2018-08,ABSTAIN,no_candidates,,
2018-09,ABSTAIN,no_candidates,,
2018-10,ABSTAIN,no_candidates,,
2018-11,ABSTAIN,no_candidates,,
2018-12,ABSTAIN,no_candidates,,
2019-01,ABSTAIN,no_candidates,,
2019-02,ABSTAIN,no_candidates,,
2019-03,ABSTAIN,no_candidates,,
2019-04,ABSTAIN,no_candidates,,
2019-05,ABSTAIN,no_candidates,,
2019-06,ABSTAIN,no_candidates,,
2019-07,ABSTAIN,no_candidates,,
2019-08,ABSTAIN,no_candidates,,
2019-09,ABSTAIN,no_candidates,,
2019-10,ABSTAIN,no_candidates,,
2019-11,ABSTAIN,no_candidates,,
2019-12,ABSTAIN,no_candidates,,
2020-01,ABSTAIN,no_candidates,,
2020-02,ABSTAIN,no_candidates,,
2020-03,ABSTAIN,no_candidates,,
2020-04,ABSTAIN,no_candidates,,
2020-05,ABSTAIN,no_candidates,,
2020-06,ABSTAIN,no_candidates,,
2020-07,ABSTAIN,no_candidates,,
2020-08,ABSTAIN,no_candidates,,
2020-09,ABSTAIN,no_candidates,,
2020-10,ABSTAIN,no_candidates,,
2020-11,ABSTAIN,no_candidates,,
2020-12,ABSTAIN,no_candidates,,
2021-01,ABSTAIN,no_candidates,,
2021-02,ABSTAIN,no_candidates,,
2021-03,ABSTAIN,no_candidates,,
2021-04,ABSTAIN,no_candidates,,
2021-05,ABSTAIN,no_candidates,,
2021-06,ABSTAIN,no_candidates,,
2021-07,ABSTAIN,no_candidates,,
2021-08,ABSTAIN,no_candidates,,
2021-09,ABSTAIN,no_candidates,,
2021-10,ABSTAIN,no_candidates,,
2021-11,ABSTAIN,no_candidates,,
2021-12,ABSTAIN,no_candidates,,
2022-01,ABSTAIN,no_candidates,,
2022-02,ABSTAIN,no_candidates,,
2022-03,ABSTAIN,no_candidates,,
2022-04,ABSTAIN,no_candidates,,
2022-05,ABSTAIN,no_candidates,,
2022-06,ABSTAIN,no_candidates,,
2022-07,ABSTAIN,no_candidates,,
2022-08,ABSTAIN,no_candidates,,
2022-09,ABSTAIN,no_candidates,,
2022-10,ABSTAIN,no_candidates,,
2022-11,ABSTAIN,insufficient_prior_candidates,0.0,23.0
2022-12,ABSTAIN,insufficient_prior_candidates,23.0,17.0
