date,month,league,home_team,away_team,outcome,actual_result,bucket_id,probability,market_probability,model_market_delta,lower_ev,odds,stake,won,profit
2022-11-06,2022-11,D1,Freiburg,FC Koln,home,home,"D1|home|[1.0,1.8)",0.610751,0.560886,0.049866,0.009141,1.7,1.0,True,0.7
2022-11-08,2022-11,D1,Bayern Munich,Werder Bremen,home,home,"D1|home|[1.0,1.8)",0.884231,0.83612,0.048111,-0.011515,1.14,1.0,True,0.14
2023-02-04,2023-02,D1,Ein Frankfurt,Hertha,home,home,"D1|home|[1.0,1.8)",0.708554,0.647124,0.06143,0.004063,1.45,1.0,True,0.45
2023-02-18,2023-02,D1,Ein Frankfurt,Werder Bremen,home,home,"D1|home|[1.0,1.8)",0.62977,0.590219,0.03955,-0.00585,1.62,1.0,True,0.62
2023-02-19,2023-02,D1,Dortmund,Hertha,home,home,"D1|home|[1.0,1.8)",0.757118,0.71516,0.041958,-0.014442,1.33,1.0,True,0.33
2023-03-10,2023-03,D1,FC Koln,Bochum,home,away,"D1|home|[1.0,1.8)",0.583719,0.547782,0.035937,-0.017734,1.73,1.0,False,-1.0
2023-03-11,2023-03,D1,Bayern Munich,Augsburg,home,home,"D1|home|[1.0,1.8)",0.895644,0.843861,0.051783,-0.005929,1.13,1.0,True,0.13
2023-03-11,2023-03,D1,RB Leipzig,M'gladbach,home,home,"D1|home|[1.0,1.8)",0.718503,0.675676,0.042827,-0.016404,1.4,1.0,True,0.4
2023-03-18,2023-03,D1,Dortmund,FC Koln,home,home,"D1|home|[1.0,1.8)",0.701447,0.654305,0.047142,-0.006008,1.45,1.0,True,0.45
2023-03-31,2023-03,D1,Ein Frankfurt,Bochum,home,draw,"D1|home|[1.0,1.8)",0.681492,0.634039,0.047453,-0.001664,1.5,1.0,False,-1.0
2023-04-01,2023-04,D1,RB Leipzig,Mainz,home,away,"D1|home|[1.0,1.8)",0.672739,0.617978,0.054762,0.004938,1.53,1.0,False,-1.0
2023-04-22,2023-04,D1,Dortmund,Ein Frankfurt,home,home,"D1|home|[1.0,1.8)",0.628035,0.587871,0.040164,-0.008369,1.62,1.0,True,0.62
2023-04-29,2023-04,D1,RB Leipzig,Hoffenheim,home,home,"D1|home|[1.0,1.8)",0.715261,0.662454,0.052807,0.007055,1.44,1.0,True,0.44
2023-04-29,2023-04,D1,Ein Frankfurt,Augsburg,home,draw,"D1|home|[1.0,1.8)",0.661225,0.617978,0.043247,-0.01268,1.53,1.0,False,-1.0
2023-05-13,2023-05,D1,Bayern Munich,Schalke 04,home,home,"D1|home|[1.0,1.8)",0.910681,0.847838,0.062843,0.011246,1.13,1.0,True,0.13
2023-05-21,2023-05,D1,Leverkusen,M'gladbach,home,draw,"D1|home|[1.0,1.8)",0.708001,0.654294,0.053706,0.00373,1.45,1.0,False,-1.0
2023-05-27,2023-05,D1,Dortmund,Mainz,home,draw,"D1|home|[1.0,1.8)",0.942937,0.826366,0.116571,0.056967,1.14,1.0,False,-1.0
2023-05-27,2023-05,D1,Union Berlin,Werder Bremen,home,home,"D1|home|[1.0,1.8)",0.711667,0.662747,0.048921,0.002088,1.44,1.0,True,0.44
2023-10-28,2023-10,D1,RB Leipzig,FC Koln,home,home,"D1|home|[1.0,1.8)",0.713029,0.662747,0.050282,0.002312,1.44,1.0,True,0.44
