date,month,league,home_team,away_team,outcome,actual_result,bucket_id,probability,market_probability,model_market_delta,lower_ev,odds,stake,won,profit
2023-01-01,2023-01,E0,Nott'm Forest,Chelsea,away,draw,"E0|away|[1.0,1.8)",0.592213,0.559482,0.032731,-0.016979,1.7,1.0,False,-1.0
2023-01-05,2023-01,E0,Chelsea,Man City,away,away,"E0|away|[1.0,1.8)",0.607523,0.570939,0.036584,-0.008759,1.67,1.0,True,0.67
2023-08-12,2023-08,E0,Brighton,Luton,home,home,"E0|home|[1.0,1.8)",0.768108,0.719634,0.048474,0.001747,1.33,1.0,True,0.33
2023-08-12,2023-08,E0,Newcastle,Aston Villa,home,home,"E0|home|[1.0,1.8)",0.582366,0.541389,0.040977,-0.006961,1.75,1.0,True,0.75
2023-08-14,2023-08,E0,Man United,Wolves,home,home,"E0|home|[1.0,1.8)",0.773669,0.719634,0.054036,0.009143,1.33,1.0,True,0.33
2023-08-26,2023-08,E0,Arsenal,Fulham,home,draw,"E0|home|[1.0,1.8)",0.856508,0.791304,0.065203,0.009912,1.2,1.0,False,-1.0
2023-08-26,2023-08,E0,Brighton,West Ham,home,away,"E0|home|[1.0,1.8)",0.656451,0.619758,0.036694,-0.018449,1.53,1.0,False,-1.0
2023-10-07,2023-10,E0,Man United,Brentford,home,home,"E0|home|[1.0,1.8)",0.602835,0.571691,0.031145,-0.018354,1.67,1.0,True,0.67
2023-10-21,2023-10,E0,Newcastle,Crystal Palace,home,home,"E0|home|[1.0,1.8)",0.723835,0.653866,0.069969,0.027777,1.45,1.0,True,0.45
2023-10-21,2023-10,E0,Man City,Brighton,home,home,"E0|home|[1.0,1.8)",0.716133,0.67474,0.041393,-0.018446,1.4,1.0,True,0.4
2023-10-23,2023-10,E0,Tottenham,Fulham,home,home,"E0|home|[1.0,1.8)",0.675403,0.631579,0.043824,-0.009431,1.5,1.0,True,0.5
2023-10-28,2023-10,E0,Arsenal,Sheffield United,home,home,"E0|home|[1.0,1.8)",0.890654,0.838634,0.05202,-0.010538,1.13,1.0,True,0.13
2023-10-29,2023-10,E0,Liverpool,Nott'm Forest,home,home,"E0|home|[1.0,1.8)",0.788795,0.745367,0.043427,-0.001835,1.29,1.0,True,0.29
2023-11-11,2023-11,E0,Man United,Luton,home,home,"E0|home|[1.0,1.8)",0.781581,0.717703,0.063878,0.019221,1.33,1.0,True,0.33
2023-11-11,2023-11,E0,Arsenal,Burnley,home,home,"E0|home|[1.0,1.8)",0.877817,0.807765,0.070051,0.017829,1.18,1.0,True,0.18
2023-11-12,2023-11,E0,Aston Villa,Fulham,home,home,"E0|home|[1.0,1.8)",0.659189,0.602677,0.056512,0.010985,1.57,1.0,True,0.57
2023-11-12,2023-11,E0,Liverpool,Brentford,home,home,"E0|home|[1.0,1.8)",0.721813,0.668724,0.053089,-0.010811,1.4,1.0,True,0.4
2023-12-02,2023-12,E0,Arsenal,Wolves,home,home,"E0|home|[1.0,1.8)",0.81194,0.751067,0.060873,-0.004383,1.25,1.0,True,0.25
2023-12-02,2023-12,E0,Brentford,Luton,home,home,"E0|home|[1.0,1.8)",0.694307,0.647124,0.047183,-0.015652,1.45,1.0,True,0.45
2023-12-03,2023-12,E0,Man City,Tottenham,home,draw,"E0|home|[1.0,1.8)",0.788325,0.736196,0.052128,-0.002986,1.29,1.0,False,-1.0
2023-12-05,2023-12,E0,Luton,Arsenal,away,away,"E0|away|[1.0,1.8)",0.870823,0.807765,0.063057,0.010741,1.18,1.0,True,0.18
2023-12-09,2023-12,E0,Crystal Palace,Liverpool,away,away,"E0|away|[1.0,1.8)",0.691389,0.631579,0.05981,0.01569,1.5,1.0,True,0.5
2023-12-09,2023-12,E0,Brighton,Burnley,home,draw,"E0|home|[1.0,1.8)",0.691592,0.638655,0.052937,0.01422,1.5,1.0,False,-1.0
2023-12-17,2023-12,E0,Arsenal,Brighton,home,home,"E0|home|[1.0,1.8)",0.711014,0.65445,0.056563,0.001617,1.44,1.0,True,0.44
2023-12-17,2023-12,E0,Liverpool,Man United,home,draw,"E0|home|[1.0,1.8)",0.772267,0.725076,0.047192,-0.016132,1.3,1.0,False,-1.0
2023-12-23,2023-12,E0,Fulham,Burnley,home,away,"E0|home|[1.0,1.8)",0.602941,0.567077,0.035863,-0.018884,1.67,1.0,False,-1.0
