row_index,date,month,league,home_team,away_team,outcome,actual_result,probability,market_probability,model_market_delta,uncertainty,lower_ev,odds,odds_bucket,won,unit_profit,bucket_id
7195,2022-08-19,2022-08,I2,Bari,Palermo,draw,draw,0.3249780073942187,0.2894656488549619,0.03551235853925683,0.01678494524912915,0.0016274519715411273,3.25,"[2.8,3.5)",True,2.25,"I2|draw|[2.8,3.5)"
7275,2022-08-20,2022-08,I2,Genoa,Benevento,home,draw,0.5738618661771668,0.5263157894736842,0.047546076703482654,0.017819065312008355,0.0008770415572851853,1.8,"[1.8,2.2)",False,-1.0,"I2|home|[1.8,2.2)"
8975,2022-10-29,2022-10,I2,Parma,Como,home,home,0.5954660633802872,0.5546995377503853,0.040766525629901906,0.016576785785454646,-0.01588822808878465,1.7,"[1.0,1.8)",True,0.7,"I2|home|[1.0,1.8)"
8992,2022-10-29,2022-10,I2,Genoa,Brescia,home,draw,0.6715083825346785,0.6104945747546899,0.06101380777998855,0.016576785785454646,0.0020453430263125405,1.53,"[1.0,1.8)",False,-1.0,"I2|home|[1.0,1.8)"
11241,2023-02-25,2023-02,I2,Genoa,Spal,home,home,0.6458775144011317,0.6086603675149267,0.03721714688620503,0.014216298915439721,-0.008291891687463582,1.57,"[1.0,1.8)",True,0.5700000000000001,"I2|home|[1.0,1.8)"
11510,2023-03-06,2023-03,I2,Genoa,Cosenza,home,home,0.7393552698850809,0.6880733944954128,0.05128187538966811,0.01394317688719585,-0.01343955352287618,1.36,"[1.0,1.8)",True,0.3600000000000001,"I2|home|[1.0,1.8)"
11669,2023-03-12,2023-03,I2,Genoa,Ternana,home,home,0.680554332656846,0.6245817532902074,0.055972579366638575,0.01394317688719585,0.019915068327564622,1.53,"[1.0,1.8)",True,0.53,"I2|home|[1.0,1.8)"
11803,2023-03-18,2023-03,I2,Frosinone,Cosenza,home,away,0.7590211042229651,0.7147962830593281,0.04422482116363702,0.01394317688719585,-0.00904635664342679,1.33,"[1.0,1.8)",False,-1.0,"I2|home|[1.0,1.8)"
12300,2023-04-10,2023-04,I2,Frosinone,Ascoli,home,home,0.6105948825993349,0.5700325732899023,0.04056230930943261,0.01397608068134244,-0.015578976835312508,1.65,"[1.0,1.8)",True,0.6499999999999999,"I2|home|[1.0,1.8)"
12837,2023-04-30,2023-04,I2,Cagliari,Ternana,home,home,0.5792943066758496,0.5392195506503745,0.040074756025475056,0.01397608068134244,-0.010693104509612583,1.75,"[1.0,1.8)",True,0.75,"I2|home|[1.0,1.8)"
12851,2023-05-01,2023-05,I2,Benevento,Parma,away,draw,0.45911088988271237,0.43220338983050843,0.026907500052203936,0.013012461353076057,-0.018583457234800038,2.2,"[2.2,2.8)",False,-1.0,"I2|away|[2.2,2.8)"
12860,2023-05-01,2023-05,I2,Frosinone,Reggina,home,home,0.6094658388408212,0.5747126436781609,0.03475319516266029,0.013942307979498034,-0.01738617407881682,1.65,"[1.0,1.8)",True,0.6499999999999999,"I2|home|[1.0,1.8)"
12997,2023-05-07,2023-05,I2,Parma,Brescia,home,home,0.5858771508340455,0.5484353462181424,0.037441804615903074,0.013942307979498034,-0.010552721861632919,1.73,"[1.0,1.8)",True,0.73,"I2|home|[1.0,1.8)"
13103,2023-05-13,2023-05,I2,Sudtirol,Cittadella,draw,draw,0.3934385541270955,0.3493975903614458,0.0440409637656497,0.013020958975056248,0.02712750691050614,2.7,"[2.2,2.8)",True,1.7000000000000002,"I2|draw|[2.2,2.8)"
13113,2023-05-13,2023-05,I2,Frosinone,Genoa,draw,home,0.3707511765544563,0.3291481631005248,0.04160301345393147,0.013020958975056248,0.037417630980260075,2.9,"[2.8,3.5)",False,-1.0,"I2|draw|[2.8,3.5)"
13199,2023-05-19,2023-05,I2,Perugia,Benevento,home,home,0.6080680496187907,0.5689677299756157,0.03910031964317495,0.013942307979498034,-0.00781001146238125,1.67,"[1.0,1.8)",True,0.6699999999999999,"I2|home|[1.0,1.8)"
