row_index,date,month,league,home_team,away_team,outcome,actual_result,probability,market_probability,model_market_delta,uncertainty,lower_ev,odds,odds_bucket,won,unit_profit,bucket_id
7450,2022-08-27,2022-08,P1,Boavista,Benfica,away,away,0.746994408488854,0.6914119359534208,0.05558247253543325,0.018565800309497105,-0.009337092876074427,1.36,"[1.0,1.8)",True,0.3600000000000001,"P1|away|[1.0,1.8)"
7544,2022-08-30,2022-08,P1,Benfica,Pacos Ferreira,home,home,0.9536278547851897,0.8826784726065301,0.07094938217865965,0.019857108312669694,-0.010203008739128716,1.06,"[1.0,1.8)",True,0.06000000000000005,"P1|home|[1.0,1.8)"
7601,2022-09-02,2022-09,P1,Estoril,Sp Lisbon,away,away,0.6951743424613577,0.6418691631412705,0.05330517932008716,0.017544510696337078,-0.017436743940720256,1.45,"[1.0,1.8)",True,0.44999999999999996,"P1|away|[1.0,1.8)"
7681,2022-09-03,2022-09,P1,Gil Vicente,Porto,away,away,0.712717305440916,0.6500776404176282,0.06263966502328788,0.017544510696337078,0.0010488244321935625,1.44,"[1.0,1.8)",True,0.43999999999999995,"P1|away|[1.0,1.8)"
7862,2022-09-11,2022-09,P1,Rio Ave,Sp Braga,away,away,0.6462417489485419,0.600404620505123,0.04583712844341892,0.017544510696337078,-0.01294533594403846,1.57,"[1.0,1.8)",True,0.5700000000000001,"P1|away|[1.0,1.8)"
8017,2022-09-17,2022-09,P1,Boavista,Sp Lisbon,away,home,0.7096883470363561,0.6418691631412705,0.06781918389508557,0.017544510696337078,0.0036085626930275616,1.45,"[1.0,1.8)",False,-1.0,"P1|away|[1.0,1.8)"
8412,2022-10-08,2022-10,P1,Portimonense,Porto,away,away,0.7187708735259837,0.6690140845070423,0.04975678901894143,0.016868274751025227,-0.017336361715058257,1.4,"[1.0,1.8)",True,0.3999999999999999,"P1|away|[1.0,1.8)"
9002,2022-10-29,2022-10,P1,Arouca,Sp Lisbon,away,home,0.7019902669690349,0.6441717791411044,0.05781848782793053,0.016868274751025227,-0.006573111283886046,1.45,"[1.0,1.8)",False,-1.0,"P1|away|[1.0,1.8)"
9007,2022-10-29,2022-10,P1,Santa Clara,Porto,away,draw,0.7182951123501891,0.6676557863501484,0.05063932600004062,0.016868274751025227,-0.018002427361170747,1.4,"[1.0,1.8)",False,-1.0,"P1|away|[1.0,1.8)"
9462,2022-11-13,2022-11,P1,Benfica,Gil Vicente,home,home,0.8783977753980605,0.8263659342796034,0.052031841118457156,0.01732867246522715,-0.01838122265657005,1.14,"[1.0,1.8)",True,0.1399999999999999,"P1|home|[1.0,1.8)"
9464,2022-11-13,2022-11,P1,Famalicao,Sp Lisbon,away,away,0.6218642181533017,0.5747126436781609,0.047151574475140845,0.016154847441562502,-0.0005795383256302911,1.65,"[1.0,1.8)",True,0.6499999999999999,"P1|away|[1.0,1.8)"
9855,2022-12-29,2022-12,P1,Sp Lisbon,Pacos Ferreira,home,home,0.9143556875319905,0.8367784031478807,0.07757728438410982,0.016952648115441483,0.014065434540700306,1.13,"[1.0,1.8)",True,0.1299999999999999,"P1|home|[1.0,1.8)"
10069,2023-01-08,2023-01,P1,Maritimo,Sp Lisbon,away,home,0.7319831168492074,0.6818181818181818,0.05016493503102559,0.01568989147455073,0.0028105155245192748,1.4,"[1.0,1.8)",False,-1.0,"P1|away|[1.0,1.8)"
10336,2023-01-21,2023-01,P1,Pacos Ferreira,Sp Braga,away,away,0.6996894673555802,0.6410256410256411,0.05866382632993916,0.01568989147455073,-0.01504061073131746,1.44,"[1.0,1.8)",True,0.43999999999999995,"P1|away|[1.0,1.8)"
10754,2023-02-05,2023-02,P1,Sp Braga,Famalicao,home,home,0.7184659980148876,0.6803939122649956,0.03807208574989207,0.01613129425425431,-0.016731414735113415,1.4,"[1.0,1.8)",True,0.3999999999999999,"P1|home|[1.0,1.8)"
10773,2023-02-06,2023-02,P1,Rio Ave,Sp Lisbon,away,away,0.6959462213306182,0.64073565162245,0.05521056970816818,0.015065784874096802,0.02132065468478217,1.5,"[1.0,1.8)",True,0.5,"P1|away|[1.0,1.8)"
10916,2023-02-12,2023-02,P1,Maritimo,Sp Braga,away,away,0.6477166702322976,0.5959637003927942,0.05175296983950339,0.015065784874096802,-0.006738109987624696,1.57,"[1.0,1.8)",True,0.5700000000000001,"P1|away|[1.0,1.8)"
11142,2023-02-20,2023-02,P1,Chaves,Sp Lisbon,away,away,0.7009382413520019,0.6558682952734998,0.04506994607850212,0.015065784874096802,-0.012343662671816746,1.44,"[1.0,1.8)",True,0.43999999999999995,"P1|away|[1.0,1.8)"
