date,month,league,home_team,away_team,outcome,actual_result,bucket_id,probability,market_probability,model_market_delta,lower_ev,odds,stake,won,profit
2023-02-01,2023-02,T1,Galatasaray,Umraniyespor,home,home,"T1|home|[1.0,1.8)",0.855024,0.787966,0.067058,0.008526,1.2,1.0,True,0.2
2023-02-02,2023-02,T1,Konyaspor,Istanbulspor,home,away,"T1|home|[1.0,1.8)",0.706867,0.637627,0.06924,0.003807,1.45,1.0,False,-1.0
2023-05-07,2023-05,T1,Konyaspor,Kayserispor,home,draw,"T1|home|[1.0,1.8)",0.617952,0.559093,0.058859,0.007037,1.67,1.0,False,-1.0
2023-05-08,2023-05,T1,Galatasaray,Buyuksehyr,home,home,"T1|home|[1.0,1.8)",0.707988,0.643458,0.064529,-0.002005,1.44,1.0,True,0.44
2023-08-21,2023-08,T1,Samsunspor,Fenerbahce,away,away,"T1|away|[1.0,1.8)",0.666134,0.600858,0.065276,0.009335,1.55,1.0,True,0.55
2023-10-28,2023-10,T1,Rizespor,Galatasaray,away,away,"T1|away|[1.0,1.8)",0.676042,0.621756,0.054286,0.011206,1.53,1.0,True,0.53
2023-11-11,2023-11,T1,Hatayspor,Galatasaray,away,home,"T1|away|[1.0,1.8)",0.719969,0.660793,0.059176,-0.013415,1.4,1.0,False,-1.0
2024-01-11,2024-01,T1,Sivasspor,Galatasaray,away,draw,"T1|away|[1.0,1.8)",0.697193,0.648703,0.048491,-0.017102,1.44,1.0,False,-1.0
2024-01-14,2024-01,T1,Gaziantep,Fenerbahce,away,away,"T1|away|[1.0,1.8)",0.753917,0.704646,0.04927,-0.016742,1.33,1.0,True,0.33
2024-03-17,2024-03,T1,Kasimpasa,Galatasaray,away,away,"T1|away|[1.0,1.8)",0.697297,0.652884,0.044414,-0.008866,1.45,1.0,True,0.45
2024-04-15,2024-04,T1,Alanyaspor,Galatasaray,away,away,"T1|away|[1.0,1.8)",0.676638,0.629518,0.04712,-0.005585,1.5,1.0,True,0.5
2024-04-26,2024-04,T1,Ad. Demirspor,Galatasaray,away,away,"T1|away|[1.0,1.8)",0.690754,0.652884,0.03787,-0.018264,1.45,1.0,True,0.45
2024-09-15,2024-09,T1,Kasimpasa,Fenerbahce,away,away,"T1|away|[1.0,1.8)",0.677954,0.638941,0.039013,-0.017533,1.48,1.0,True,0.48
2024-10-06,2024-10,T1,Ad. Demirspor,Samsunspor,away,away,"T1|away|[1.0,1.8)",0.595327,0.553936,0.041391,-0.01169,1.7,1.0,True,0.7
2025-03-01,2025-03,T1,Ad. Demirspor,Bodrumspor,away,draw,"T1|away|[1.0,1.8)",0.604995,0.542556,0.062439,0.023536,1.73,1.0,False,-1.0
2025-03-02,2025-03,T1,Kasimpasa,Galatasaray,away,draw,"T1|away|[1.0,1.8)",0.629039,0.583027,0.046012,-0.002593,1.62,1.0,False,-1.0
2025-03-02,2025-03,T1,Fenerbahce,Antalyaspor,home,home,"T1|home|[1.0,1.8)",0.786946,0.743607,0.043339,-0.018887,1.27,1.0,True,0.27
2025-03-08,2025-03,T1,Trabzonspor,Hatayspor,home,away,"T1|home|[1.0,1.8)",0.746934,0.678821,0.068113,0.010874,1.38,1.0,False,-1.0
2025-03-09,2025-03,T1,Alanyaspor,Galatasaray,away,away,"T1|away|[1.0,1.8)",0.607713,0.571491,0.036221,-0.019311,1.65,1.0,True,0.65
2025-03-16,2025-03,T1,Goztep,Eyupspor,home,draw,"T1|home|[1.0,1.8)",0.579323,0.533333,0.04599,-0.011413,1.75,1.0,False,-1.0
2025-03-29,2025-03,T1,Sivasspor,Ad. Demirspor,home,home,"T1|home|[1.0,1.8)",0.744879,0.671904,0.072974,0.008038,1.38,1.0,True,0.38
2025-09-27,2025-09,T1,Eyupspor,Goztep,away,draw,"T1|away|[1.0,1.8)",0.591501,0.523391,0.06811,0.032479,1.79,1.0,False,-1.0
2025-11-30,2025-11,T1,Karagumruk,Besiktas,away,away,"T1|away|[1.0,1.8)",0.60582,0.557249,0.048571,-0.019025,1.66,1.0,True,0.66
