row_index,date,month,league,home_team,away_team,outcome,actual_result,probability,market_probability,model_market_delta,uncertainty,lower_ev,odds,odds_bucket,won,unit_profit,bucket_id
6866,2022-08-05,2022-08,D1,Ein Frankfurt,Bayern Munich,away,away,0.6874589774506721,0.6451612903225807,0.042297687128091344,0.01856964716580047,0.003333995427307501,1.5,"[1.0,1.8)",True,0.5,"D1|away|[1.0,1.8)"
7009,2022-08-13,2022-08,D1,RB Leipzig,FC Koln,home,draw,0.7046091723103396,0.6627466613514053,0.04186251095893434,0.01986392458122824,-0.013966843270079687,1.44,"[1.0,1.8)",False,-1.0,"D1|home|[1.0,1.8)"
7096,2022-08-14,2022-08,D1,Bayern Munich,Wolfsburg,home,home,0.9018362303377597,0.8447536353175019,0.05708259502025781,0.01986392458122824,-0.012191017552684591,1.12,"[1.0,1.8)",True,0.1200000000000001,"D1|home|[1.0,1.8)"
7303,2022-08-21,2022-08,D1,Bochum,Bayern Munich,away,away,0.8540464229979956,0.8075788165864264,0.04646760641156922,0.01856964716580047,-0.014137404518009822,1.18,"[1.0,1.8)",True,0.17999999999999994,"D1|away|[1.0,1.8)"
7372,2022-08-27,2022-08,D1,Hoffenheim,Augsburg,home,home,0.7010990741988025,0.6538661131292164,0.04723296106958608,0.01986392458122824,-0.01220903305451737,1.45,"[1.0,1.8)",True,0.44999999999999996,"D1|home|[1.0,1.8)"
7378,2022-08-27,2022-08,D1,Bayern Munich,M'gladbach,home,draw,0.8671566819573491,0.802675585284281,0.06448109667306812,0.01986392458122824,-0.00019454629617743358,1.18,"[1.0,1.8)",False,-1.0,"D1|home|[1.0,1.8)"
7779,2022-09-10,2022-09,D1,Bayern Munich,Stuttgart,home,draw,0.8865520295457198,0.8267477203647416,0.05980430918097812,0.018782962122702584,-0.010743263137760528,1.14,"[1.0,1.8)",False,-1.0,"D1|home|[1.0,1.8)"
7941,2022-09-17,2022-09,D1,Leverkusen,Werder Bremen,home,draw,0.6360767761639663,0.5903799428981247,0.04569683326584162,0.018782962122702584,-0.00615695939356542,1.61,"[1.0,1.8)",False,-1.0,"D1|home|[1.0,1.8)"
8339,2022-10-08,2022-10,D1,Dortmund,Bayern Munich,away,draw,0.614267299079718,0.5785594734103152,0.03570782566940278,0.016893093575799562,-0.014332560918534742,1.65,"[1.0,1.8)",False,-1.0,"D1|away|[1.0,1.8)"
8340,2022-10-08,2022-10,D1,Leverkusen,Schalke 04,home,home,0.706662054810031,0.6538661131292164,0.052795941680814584,0.018101593125009724,-0.0015873305567192242,1.45,"[1.0,1.8)",True,0.44999999999999996,"D1|home|[1.0,1.8)"
